id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,断路器名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
1,国调.三峡左岸/500kV.5113开关,500,国调.三峡左岸厂.500.nd28798,国调.三峡左岸厂.500.nd28799,28798,28799,4,4
2,国调.三峡左岸/500kV.5123开关,500,国调.三峡左岸厂.500.nd28800,国调.三峡左岸厂.500.nd28801,28800,28801,4,4
3,国调.三峡左岸/500kV.5133开关,500,国调.三峡左岸厂.500.nd28802,国调.三峡左岸厂.500.nd28803,28802,28803,4,4
4,国调.三峡左岸/500kV.5143开关,500,国调.三峡左岸厂.500.nd28804,国调.三峡左岸厂.500.nd28805,28804,28805,4,4
5,国调.三峡左岸/500kV.5153开关,500,国调.三峡左岸厂.500.nd28806,国调.三峡左岸厂.500.nd28807,28806,28807,4,4
6,国调.三峡左岸/500kV.5112开关,500,国调.三峡左岸厂.500.nd28808,国调.三峡左岸厂.500.nd28809,28808,28809,4,4
7,国调.三峡左岸/500kV.5122开关,500,国调.三峡左岸厂.500.nd28810,国调.三峡左岸厂.500.nd28811,28810,28811,4,4
8,国调.三峡左岸/500kV.5132开关,500,国调.三峡左岸厂.500.nd28812,国调.三峡左岸厂.500.nd28813,28812,28813,4,4
9,国调.三峡左岸/500kV.5152开关,500,国调.三峡左岸厂.500.nd28814,国调.三峡左岸厂.500.nd28815,28814,28815,4,4
10,国调.三峡左岸/500kV.5111开关,500,国调.三峡左岸厂.500.nd28816,国调.三峡左岸厂.500.nd28817,28816,28817,4,4
11,国调.三峡左岸/500kV.5131开关,500,国调.三峡左岸厂.500.nd28818,国调.三峡左岸厂.500.nd28819,28818,28819,4,4
12,国调.三峡左岸/500kV.5141开关,500,国调.三峡左岸厂.500.nd28820,国调.三峡左岸厂.500.nd28821,28820,28821,4,4
13,国调.三峡左岸/500kV.5151开关,500,国调.三峡左岸厂.500.nd28822,国调.三峡左岸厂.500.nd28823,28822,28823,4,4
14,国调.三峡左岸/500kV.5213开关,500,国调.三峡左岸厂.500.nd28824,国调.三峡左岸厂.500.nd28825,28824,28825,4,4
15,国调.三峡左岸/500kV.5223开关,500,国调.三峡左岸厂.500.nd28826,国调.三峡左岸厂.500.nd28827,28826,28827,4,4
16,国调.三峡左岸/500kV.5233开关,500,国调.三峡左岸厂.500.nd28828,国调.三峡左岸厂.500.nd28829,28828,28829,4,4
17,国调.三峡左岸/500kV.5212开关,500,国调.三峡左岸厂.500.nd28830,国调.三峡左岸厂.500.nd28831,28830,28831,4,4
18,国调.三峡左岸/500kV.5222开关,500,国调.三峡左岸厂.500.nd28832,国调.三峡左岸厂.500.nd28833,28832,28833,4,4
19,国调.三峡左岸/500kV.5232开关,500,国调.三峡左岸厂.500.nd28834,国调.三峡左岸厂.500.nd28835,28834,28835,4,4
20,国调.三峡左岸/500kV.5211开关,500,国调.三峡左岸厂.500.nd28836,国调.三峡左岸厂.500.nd28837,28836,28837,4,4
21,国调.三峡左岸/500kV.5221开关,500,国调.三峡左岸厂.500.nd28838,国调.三峡左岸厂.500.nd28839,28838,28839,4,4
22,国调.三峡左岸/500kV.5231开关,500,国调.三峡左岸厂.500.nd28840,国调.三峡左岸厂.500.nd28841,28840,28841,4,4
23,国调.三峡左岸/500kV.5824开关,500,国调.三峡左岸厂.500.nd28842,国调.三峡左岸厂.500.nd28843,28842,28843,4,4
24,国调.三峡左岸/500kV.5813开关,500,国调.三峡左岸厂.500.nd28844,国调.三峡左岸厂.500.nd28845,28844,28845,4,4
25,国调.复龙换流/500kV.5111开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2070,2071,1,1
26,国调.复龙换流/500kV.5112开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2072,2073,1,1
27,国调.复龙换流/500kV.5113开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2074,2075,1,1
28,国调.复龙换流/500kV.5121开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2076,2077,1,1
29,国调.复龙换流/500kV.5122开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2078,2079,1,1
30,国调.复龙换流/500kV.5123开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2080,2081,1,1
31,国调.复龙换流/500kV.5131开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2082,2083,1,1
32,国调.复龙换流/500kV.5132开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2084,2085,1,1
33,国调.复龙换流/500kV.5133开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2086,2087,1,1
34,国调.复龙换流/500kV.5141开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2088,2089,1,1
35,国调.复龙换流/500kV.5142开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2090,2091,1,1
36,国调.复龙换流/500kV.5143开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2092,2093,1,1
37,国调.复龙换流/500kV.5151开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2094,2095,1,1
38,国调.复龙换流/500kV.5152开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2096,2097,1,1
39,国调.复龙换流/500kV.5153开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2098,2099,1,1
40,国调.复龙换流/500kV.5211开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2100,2101,1,1
41,国调.复龙换流/500kV.5212开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2102,2103,1,1
42,国调.复龙换流/500kV.5213开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2104,2105,1,1
43,国调.复龙换流/500kV.5221开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2106,2107,1,1
44,国调.复龙换流/500kV.5222开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2108,2109,1,1
45,国调.复龙换流/500kV.5223开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2110,2111,1,1
46,国调.复龙换流/500kV.5231开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2112,2113,1,1
47,国调.复龙换流/500kV.5232开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2114,2115,1,1
48,国调.复龙换流/500kV.5233开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2116,2117,1,1
49,国调.复龙换流/500kV.5251开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2118,2119,1,1
50,国调.复龙换流/500kV.5252开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2120,2121,1,1
51,国调.复龙换流/500kV.5253开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2122,2123,1,1
52,国调.复龙换流/500kV.5243开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2124,2125,1,1
53,国调.复龙换流/500kV.5621开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2126,2127,1,1
54,国调.复龙换流/500kV.5622开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2128,2129,1,1
55,国调.复龙换流/500kV.5623开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2130,2131,1,1
56,国调.复龙换流/500kV.5624开关,500,国调.复龙换流站.500.nd2132,国调.复龙换流站.500.2,2132,2133,1,1
57,国调.复龙换流/500kV.5631开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2134,2135,1,1
58,国调.复龙换流/500kV.5632开关,500,国调.复龙换流站.500.2,国调.复龙换流站.500.2,2136,2137,1,1
