CN,sub
18887,56
18430,56
22947,1067
18959,315
18749,315
18961,315
22952,1067
17402,12
17403,12
17468,20
17471,20
17487,20
17481,20
24180,1685
17511,22
17512,22
17513,22
50333,1067
50334,1067
50162,1
50164,1
50335,1685
50337,1685
50166,15
50168,15
50339,1685
50341,1685
50170,15
50172,15
17983,149
17984,149
17914,135
17912,135
17891,127
17887,127
20,37
20,37
50176,36
50177,36
20,37
20,37
20,37
20,37
50180,36
50181,36
17586,62
18528,261
18537,262
18068,168
17600,63
17997,154
18652,293
17648,78
18446,235
50183,189
50185,189
18235,197
18236,197
18234,197
18318,212
18549,264
18550,264
18548,264
50254,443
50188,201
18310,211
18312,211
17832,115
19459,116
50190,116
50191,115
18241,198
20775,511
20774,511
17855,120
17856,120
17909,135
17913,135
18364,220
18012,156
18346,216
18347,216
18433,232
18662,295
18663,295
18661,295
21243,142
21308,142
50192,142
18555,265
17976,148
17975,148
18086,173
18085,173
18143,181
17979,148
17977,148
17948,142
21303,547
18780,181
50193,154
50195,154
19982,483
18319,212
18699,301
18705,301
18071,169
50197,166
18122,177
18121,177
18591,274
18592,274
18167,183
18106,174
50199,174
50201,174
18115,174
18087,173
20234,445
19508,462
18682,298
18683,298
18258,199
18368,221
18386,225
18387,225
18209,57
18207,57
18532,262
50203,252
18724,308
18408,229
18247,201
18246,201
18531,262
50205,177
18463,241
18285,204
18283,204
17971,147
17970,147
19456,443
21301,547
21307,547
18305,209
18306,209
18302,209
18301,209
18328,214
18332,214
18605,281
18604,281
50207,215
18337,215
18338,215
50209,217
18384,225
18385,225
18379,224
18380,224
18365,220
18482,247
18483,247
50258,152
50259,152
18426,56
18414,230
18413,230
18502,251
50211,251
18444,235
18343,216
18344,216
50214,225
50216,225
18499,251
21133,537
18520,259
18072,169
18554,265
50217,250
50219,250
24309,48
24308,48
18578,273
18580,273
938,456
17616,68
24051,208
18295,208
18622,285
18620,285
19488,451
19489,451
18029,58
19487,451
18647,293
18644,292
18641,290
18642,290
946,51
18660,295
18659,295
18957,101
50222,301
18711,305
20780,511
17739,94
18551,264
18623,285
18455,239
50224,252
17724,90
17796,107
17797,107
17795,107
17936,140
18746,315
18748,315
18212,191
17901,55
17900,55
18329,214
18326,214
18316,212
18317,212
50226,170
18458,240
18475,244
18637,290
18638,290
18427,56
18425,56
19505,462
18432,56
50228,299
18256,201
18708,304
19507,462
18019,157
18358,217
18354,217
50230,217
18351,218
18352,218
17991,152
17990,152
18428,56
18217,49
18216,49
18321,212
18322,212
18697,301
18698,301
17740,94
18485,249
19482,270
18559,266
18558,266
18597,279
18596,279
50232,287
50234,287
18669,296
18668,296
18671,296
18670,296
18001,155
18716,306
18402,52
18725,308
18018,157
23687,58
18403,52
18401,52
18467,54
18466,54
17924,46
18888,56
50236,50
18764,50
18030,58
17813,45
19983,483
17805,108
18775,328
17814,45
18771,157
18076,170
17925,46
18787,97
18450,237
18147,181
18461,240
18582,273
18585,273
17754,96
18562,266
18798,271
17753,96
17803,108
17918,135
19258,383
19117,383
18805,274
18590,274
19164,394
18460,240
18479,47
19243,380
19242,380
19266,385
19265,385
50237,265
17937,140
19281,386
17938,140
50244,386
18810,337
18813,47
18816,108
18640,290
50245,386
18819,339
19068,394
18823,101
18608,282
18845,345
947,341
18260,199
18047,165
18838,240
18459,240
26244,286
19079,376
19078,376
18851,168
18712,305
18713,305
18842,54
18841,54
19186,391
19185,391
18855,349
18862,351
18366,220
18451,237
18843,247
18844,247
18560,266
18561,266
18869,280
17920,136
17919,136
50240,250
50241,250
18400,52
18399,52
19501,461
19500,461
18871,305
18870,305
18193,189
17726,92
18883,101
21319,373
17857,120
18890,285
18889,285
18194,189
17858,120
19203,387
19226,395
18227,194
18226,194
18028,58
18896,93
18899,93
17751,93
17749,93
18259,199
19087,397
18938,165
17904,55
17905,55
19085,400
18943,199
18610,284
19701,286
19086,400
19091,393
19090,393
18690,299
18689,299
17939,140
17940,140
18966,363
18696,301
18703,301
19111,403
19096,403
19114,403
19099,403
19208,407
19204,407
19101,403
18986,268
18984,268
19230,407
19210,407
18291,207
18809,337
18808,49
948,364
20235,445
19027,365
18050,166
18051,166
19275,375
19294,375
19253,381
18619,285
18999,370
18998,370
17974,148
19018,372
19019,372
19001,370
19000,370
18995,369
19048,369
18785,232
20236,445
26138,226
26142,226
19050,426
19051,426
17576,61
18525,260
19303,415
19358,252
18199,189
19310,189
19170,413
19169,413
19017,372
19174,414
19173,414
18618,285
17884,127
50267,451
18834,131
17973,148
19039,367
19308,390
19307,390
19041,367
19040,367
18991,369
18139,179
18536,262
26023,262
18208,57
18271,202
19369,271
19368,271
18282,204
18286,204
19330,418
19329,418
18988,369
19365,263
19364,263
19367,271
18574,271
19366,271
50248,285
19055,424
19063,424
19057,424
19059,424
17617,70
19406,405
19407,405
19425,432
19424,432
18803,202
19409,271
17822,113
19429,542
19441,441
19440,441
50253,436
19103,403
19437,437
19436,437
19438,439
18611,284
19490,451
50261,451
17921,136
18478,47
21134,537
18434,232
50265,299
19261,384
19262,384
19544,468
17800,108
20040,488
19744,220
20277,500
7800,464
19960,478
20088,491
20598,509
19936,476
50260,476
20108,494
19543,468
19042,367
19043,367
19044,367
19056,424
19058,424
18138,179
50268,385
50270,385
19328,418
19327,418
19326,418
19331,418
19332,418
21060,527
21062,527
21067,529
50272,529
50274,78
21044,523
21420,569
21045,523
17987,151
18519,259
18825,64
18826,64
17602,64
18827,64
18098,174
18108,174
21101,532
17821,111
18296,208
19176,394
50276,402
21141,537
21138,537
21137,537
18150,181
19981,483
18219,192
21163,540
18521,259
18680,298
21198,541
19313,416
21173,192
21199,541
20915,370
50255,250
21242,218
21241,218
21178,192
21176,192
21261,550
21263,550
21298,551
21300,551
18612,284
18778,214
21314,214
21374,558
21375,559
21379,559
935,562
50278,556
18303,209
21438,570
21460,890
21461,890
19395,429
19396,429
18648,293
19388,429
19391,429
19390,429
26024,262
21472,893
20959,424
20958,424
18884,101
50279,391
19002,144
18895,93
17746,93
19004,144
50282,391
20861,395
20862,395
18237,197
21575,909
50283,253
19414,525
19415,525
21590,912
21587,912
21509,902
21530,902
19389,429
18651,293
21602,916
20903,367
20904,367
17623,72
17652,78
21610,917
21611,917
17950,142
17949,142
17809,110
17808,110
18252,201
21629,924
18480,246
21642,926
21641,926
18114,174
18113,174
21657,930
21668,932
21669,932
21679,218
21678,218
26236,53
20547,53
21449,546
21452,546
21685,935
21683,935
19291,399
19292,399
934,544
21693,938
21696,938
21698,939
21820,941
21782,958
21787,958
21713,943
21712,943
18273,202
18272,202
17715,88
17713,88
18423,56
18422,56
17804,108
21727,379
21726,379
18007,155
18008,155
21736,951
21735,951
17568,59
21751,947
21750,947
21752,947
21753,947
21749,947
21748,947
21764,955
19361,423
19362,423
19238,409
21773,957
21774,957
21775,957
21801,961
21800,961
17952,142
18635,289
21809,964
21102,532
19052,426
19372,426
21823,968
21850,969
21841,974
21831,972
19053,426
19371,426
21883,980
19689,385
21899,46
1334,983
18994,369
21905,984
17760,103
21908,985
22074,211
18313,211
21923,988
21922,988
22056,993
22057,993
21932,991
21933,991
18861,351
21955,986
21954,986
21952,986
21953,986
21280,548
21279,548
21272,548
21271,548
18707,304
20520,402
20521,402
17679,83
17678,83
21973,994
21976,994
21981,186
21982,186
22037,445
22036,445
21991,1005
21992,1005
21998,421
22008,421
22006,55
20379,55
22009,1009
21619,920
21618,920
22062,77
22063,77
18655,294
22064,294
22065,294
22072,294
50286,1019
50288,253
22079,199
22080,199
22110,1024
22092,1020
50289,295
50292,56
50293,56
28020,2
28021,2
28021,2
28021,2
28020,2
28020,2
22341,1155
22342,1155
22347,1155
50291,268
22150,1079
22435,1180
22378,1169
22468,1184
50297,369
50299,525
50301,525
50303,1172
50305,544
50307,478
23085,1345
17677,83
50309,204
50156,6
50158,7
23156,1364
23166,1366
23209,1373
22158,1091
21532,902
21531,902
21533,902
21534,902
21516,902
21517,902
20273,266
20274,266
17438,18
17435,18
23347,76
17430,18
17427,18
23361,1404
21910,985
23384,1408
23400,1410
17881,127
17878,127
23409,1413
23410,1413
17585,62
17584,62
23414,1413
23415,1413
23411,1413
1354,1415
21032,418
21033,418
20254,376
20253,376
23465,173
19233,407
19235,407
12211,1463
23466,984
17770,103
50311,1471
50313,1471
23482,1471
23483,1471
23484,1471
23479,1471
23498,1480
23497,1480
23514,218
23515,218
23517,1487
50316,94
23527,1489
19346,420
19347,420
23555,1501
23554,1501
18349,218
18350,218
23564,1504
23563,1504
23590,137
23589,137
23642,411
23641,411
18846,345
50317,1519
23569,1505
23568,1505
23572,1505
23573,1505
21158,538
21157,538
17546,24
17543,24
17540,24
20956,424
20957,424
20902,367
23701,1536
18786,76
23734,1543
23779,1576
23780,1576
23768,1574
50319,1578
50321,1578
23523,46
23816,58
23827,1589
23872,539
23873,539
17848,119
17847,119
23864,1595
23865,1595
23896,1603
23897,1603
23888,1604
23891,1604
23946,986
23947,986
23909,1609
24067,1612
24068,1612
24069,1612
23942,1616
17867,122
23945,1616
21949,986
21950,986
23952,1626
21746,947
21747,947
18545,48
18546,48
19397,429
23978,1633
23995,1638
50323,252
24029,947
50325,1645
18189,188
24049,1647
24052,1650
19026,365
19034,366
24054,1650
24061,1653
17732,94
24082,1659
20518,402
20519,402
24091,1665
24092,1665
17660,79
17661,79
24098,1668
24099,1668
24131,1672
18195,189
24387,189
18244,198
24146,1679
24147,1679
18415,230
18416,230
24198,1685
18893,142
24183,1685
24186,1685
24219,53
24220,53
24213,1696
24214,1696
24243,399
24246,399
21793,959
50327,305
24259,1714
24254,1713
24257,1713
1467,1519
50329,1718
50331,1718
24271,1718
24272,1718
24274,1718
24273,1718
24232,1706
24221,1699
24296,1722
24312,1724
24313,1724
17582,62
17583,62
24318,974
24320,1762
18839,54
18840,54
24330,1736
24348,1738
18950,361
24352,1741
18238,197
24372,1747
24381,1749
18621,285
18112,174
18111,174
17988,152
17989,152
50343,208
24416,1757
24417,1757
50345,287
50347,287
24436,189
24437,189
18464,241
23496,1471
23495,1471
23863,1595
24446,1775
24447,1775
24448,1775
24464,1782
24478,1785
24479,1785
24693,1790
24692,1790
24658,2452
50349,2452
50351,1793
50353,1793
24569,938
24568,938
24526,1796
24527,1796
24529,1796
24528,1796
24530,1796
24541,1799
24559,379
24560,230
24567,367
18691,299
18239,197
21269,548
20385,49
26753,2455
26756,2455
24626,964
20460,313
20461,313
24640,994
24573,1812
24572,1812
24655,1831
18445,235
24708,1843
50355,1845
18148,181
18149,181
24737,1507
24688,1790
50357,1790
24750,1856
24758,1863
24746,1859
24679,1805
24762,1869
24736,1527
50359,209
24779,1871
23932,1617
23933,1617
20515,402
19259,405
19270,405
50361,1790
24749,1856
24812,1886
24811,1886
19125,391
19141,391
21458,890
21459,890
20516,402
20517,402
24843,1895
24847,1897
24861,1899
18105,174
18104,174
17673,83
17674,83
24895,1909
24922,1914
24936,1917
20462,313
20463,313
18511,253
23336,1399
23480,1471
23481,1471
25004,1931
25003,1931
25027,1935
50365,357
50366,1938
25051,1944
25289,1948
25077,1949
25082,1949
25113,1953
25141,1961
1879,1964
11033,1203
25180,1507
18055,166
25184,1970
24168,1689
25215,1974
25216,1974
25220,1974
25221,1974
20611,405
25228,1377
50367,1413
25233,1880
20233,445
25250,1984
25259,1988
21510,902
21511,902
19628,461
19627,461
18814,253
18687,299
18198,189
18197,189
50369,68
25312,2001
25353,2007
24975,1924
25305,1999
25304,1999
17658,79
17659,79
24670,1835
23112,1354
24649,1830
18165,183
17916,135
25379,2015
25380,2015
25382,2015
25381,2015
25416,2018
25417,2018
18684,298
20010,298
25420,2024
25426,2031
24269,1718
24270,1718
25449,2036
25450,2036
25480,2043
1936,2047
50371,63
25502,2052
25566,2057
25565,2057
25567,2057
25568,2057
25525,2061
17873,125
19299,125
19491,451
25539,2065
25543,2065
18491,250
18490,250
25552,2066
25555,2066
50373,2074
21011,451
1970,2099
17820,111
18075,170
19254,381
25656,2103
25607,2091
25693,2123
50375,1116
25702,2129
19434,436
25797,142
25796,142
25744,2449
25737,2448
25739,2448
25766,2139
25825,2158
18077,170
25847,2165
25856,2168
19278,386
19279,386
17593,44
17592,44
20271,266
20272,266
25890,959
21273,548
21274,548
