id,I_nd,J_nd
1,34552,34553
2,34554,34555
3,34556,34557
4,34558,34559
5,34560,34561
6,34562,34563
7,34564,34565
8,34566,34567
9,34568,34569
10,34570,34571
11,34572,34573
12,34574,34575
13,34576,34577
14,34578,34579
15,34580,34581
16,34582,34583
17,34584,34585
18,34586,34587
19,34588,34589
20,34590,34591
21,34592,34593
22,34594,34595
23,34596,34597
24,34598,34599
25,34600,34601
26,34602,34603
27,34604,34605
28,34606,34607
29,34608,34609
30,34610,34611
31,34612,34613
32,34614,34615
33,34616,34617
34,34618,34619
35,34620,34621
36,34622,34623
37,34624,34625
38,34626,34627
39,34628,34629
40,34630,34631
41,34632,34633
42,34634,34635
43,34636,34637
44,34638,34639
45,34640,34641
46,34642,34643
47,34644,34645
48,34646,34647
49,34648,34649
50,34650,34651
51,34652,34653
52,34654,34655
53,34656,34657
54,34658,34659
55,34660,34661
56,34662,34663
57,34664,34665
58,1,2070
59,2071,17373
60,17373,2072
61,2073,17374
62,17374,2074
63,2075,2
64,1,2076
65,2077,17375
66,1,2082
67,2083,17376
68,17375,2078
69,2079,17377
70,17377,2080
71,2081,2
72,17376,2084
73,2085,17378
74,17378,2086
75,2087,2
76,1,2088
77,2089,17379
78,17379,2090
79,2091,17380
80,17380,2092
81,2093,2
82,1,2094
83,2095,17381
84,17381,2096
85,2097,17382
86,17382,2098
87,2099,2
88,1,2100
89,2101,17383
90,17383,2102
91,2103,17384
92,17384,2104
93,2105,2
94,1,2106
95,2107,17385
96,17385,2108
97,2109,17386
98,17386,2110
99,2111,2
100,1,2112
101,2113,17387
102,17387,2114
103,2115,17388
104,17388,2116
105,2117,2
106,1,2118
107,2119,17389
108,17389,2120
109,2121,17390
110,17390,2122
111,2123,2
112,2125,2
113,2127,17376
114,2129,17376
115,2131,17376
116,2133,17376
117,2135,17387
118,2137,17387
119,2139,17387
120,2141,17387
121,17374,2142
122,17374,2144
123,17374,2146
124,17374,2148
125,17390,2150
126,17390,2152
127,17390,2154
128,17390,2156
129,34666,34667
130,34668,34669
131,34670,34671
132,34672,34673
133,34674,34675
134,34676,34677
135,34678,34679
136,34680,34681
137,34682,34683
138,34684,34685
139,34686,34687
140,34688,34689
141,34690,34691
142,34692,34693
143,34694,34695
144,34696,34697
145,34698,34699
146,34700,34701
147,34702,34703
148,34704,34705
149,34706,34707
150,34708,34709
151,34710,34711
152,34712,34713
153,4,2158
154,2159,17391
155,17391,2160
156,2161,17392
157,17392,2162
158,2163,3
159,4,2164
160,2165,17393
161,17393,2166
162,2167,17394
163,17394,2168
164,2169,3
165,4,2170
166,2171,17395
167,17395,2172
168,2173,17396
169,17396,2174
170,2175,17397
171,17391,17398
172,17393,17399
173,17394,17400
174,17396,17401
175,17402,17392
176,17403,17395
177,17404,2176
178,17405,2178
179,17406,2180
180,17407,2182
181,17397,3
182,6,2184
183,2185,17408
184,17408,2186
185,2187,5
186,6,2188
187,2189,17409
188,17409,2190
189,2191,17410
190,17410,2192
191,2193,5
192,6,2194
193,2195,17411
194,17411,2196
195,2197,17412
196,17412,2198
197,2199,5
198,6,2200
199,2201,17413
200,17413,2202
201,2203,17414
202,17414,2204
203,2205,5
204,6,2206
205,2207,17415
206,17415,2208
207,2209,17416
208,17416,2210
209,2211,5
210,6,2212
211,2213,17417
212,17417,2214
213,2215,17418
214,17418,2216
215,2217,5
216,6,2218
217,2219,17419
218,17419,2220
219,2221,17420
220,17420,2222
221,2223,5
222,6,2224
223,2225,17421
224,17421,2226
225,2227,17422
226,17422,2228
227,2229,5
228,17423,17409
229,17415,2230
230,17415,2232
231,17415,2234
232,17415,2236
233,17418,2238
234,17418,2240
235,17418,2242
236,17418,2244
237,17419,2246
238,17419,2248
239,17419,2250
240,17419,2252
241,17422,2254
242,17422,2256
243,17422,2258
244,17422,2260
245,7,2262
246,7,2264
247,7,2266
248,7,2268
249,8,2270
250,8,2272
251,8,2274
252,8,2276
253,34714,34715
254,34716,34717
255,34718,34719
256,34720,34721
257,34722,34723
258,34724,34725
259,34726,34727
260,34728,34729
261,34730,34731
262,34732,34733
263,34734,34735
264,34736,34737
265,34738,34739
266,34740,34741
267,34742,34743
268,34744,34745
269,34746,34747
270,34748,34749
271,34750,34751
272,34752,34753
273,34754,34755
274,34756,34757
275,34758,34759
276,34760,34761
277,34762,34763
278,34764,34765
279,34766,34767
280,34768,34769
281,34770,34771
282,14,2278
283,2279,17424
284,17424,2280
285,2281,17425
286,17425,2282
287,2283,13
288,17425,17426
289,17427,17424
290,14,2284
291,2285,17428
292,17428,2286
293,2287,17429
294,17429,2288
295,2289,13
296,17430,17429
297,17428,17431
298,14,2290
299,2291,17432
300,17432,2292
301,2293,17433
302,17433,2294
303,2295,13
304,17433,17434
305,17435,17432
306,14,2296
307,2297,17436
308,17436,2298
309,2299,17437
310,17437,2300
311,2301,13
312,17438,17437
313,17436,17439
314,17440,17426
315,17426,17441
316,17442,17431
317,17431,17443
318,17444,17434
319,17434,17445
320,17446,17439
321,17439,17447
322,17448,2302
323,17449,2304
324,17450,2306
325,17451,2308
326,17452,2310
327,17453,2312
328,17454,2314
329,17455,2316
330,9,2336
331,2337,17456
332,17456,2338
333,2339,17457
334,17457,2340
335,2341,10
336,9,2342
337,2343,17458
338,17458,2344
339,2345,17459
340,17459,2346
341,2347,10
342,9,2348
343,2349,17460
344,17460,2350
345,2351,17461
346,17461,2352
347,2353,10
348,11,2318
349,2319,17462
350,17462,2320
351,2321,17463
352,17463,2322
353,2323,12
354,11,2324
355,2325,17464
356,17464,2326
357,2327,17465
358,17465,2328
359,2329,12
360,11,2330
361,2331,17466
362,17466,2332
363,2333,17467
364,17467,2334
365,2335,12
366,17468,17456
367,17458,17469
368,17459,17470
369,17471,17461
370,17457,17472
371,17460,17473
372,17474,2356
373,17475,2358
374,17476,2360
375,34772,34773
376,34774,34775
377,34776,34777
378,34778,34779
379,17463,17477
380,17464,17478
381,17465,17479
382,17466,17480
383,17481,17467
384,17482,2354
385,17483,2362
386,17484,2364
387,17485,2366
388,17486,2368
389,17487,17462
390,17427,17488
391,17430,17489
392,17490,2370
393,17491,2372
394,17492,2374
395,17493,2376
396,17494,2378
397,17495,2380
398,17496,2382
399,17497,2384
400,17498,2386
401,15,2388
402,2389,17499
403,17499,2390
404,2391,17500
405,17500,2392
406,2393,17501
407,17501,2394
408,2395,16
409,15,2396
410,2397,17502
411,17502,2398
412,2399,17503
413,17503,2400
414,2401,16
415,15,2402
416,2403,17504
417,17504,2404
418,2405,17505
419,17505,2406
420,2407,16
421,15,2408
422,2409,17506
423,17506,2410
424,2411,17507
425,17507,2412
426,2413,16
427,15,2414
428,2415,17508
429,17508,2416
430,2417,17509
431,17509,2418
432,2419,17510
433,17510,2420
434,2421,16
435,17511,17500
436,17512,17505
437,17513,17509
438,17501,17514
439,17503,17515
440,17502,17516
441,17504,17517
442,17507,17518
443,17506,17519
444,17510,17520
445,17508,17521
446,17499,17522
447,17,12548
448,12549,17523
449,17523,12550
450,12551,17524
451,17524,12552
452,12553,17525
453,17525,12554
454,12555,18
455,17,12556
456,12557,17526
457,17526,12558
458,12559,17527
459,17527,12560
460,12561,17528
461,17528,12562
462,12563,18
463,17,12564
464,12565,17529
465,17529,12566
466,12567,17530
467,17530,12568
468,12569,17531
469,17531,12570
470,12571,18
471,17532,12536
472,17533,12538
473,17534,12540
474,17535,12542
475,17536,12544
476,17537,12546
477,17523,17538
478,17525,17539
479,17540,17524
480,17526,17541
481,17528,17542
482,17543,17527
483,17529,17544
484,17531,17545
485,17546,17530
486,34780,34781
487,34782,34783
488,34784,34785
489,34786,34787
490,34788,34789
491,34790,34791
492,34792,34793
493,34794,34795
494,34796,34797
495,34798,34799
496,34800,34801
497,34802,34803
498,34804,34805
499,34806,34807
500,34808,34809
501,34810,34811
502,34812,34813
503,34814,34815
504,34816,34817
505,34818,34819
506,34820,34821
507,34822,34823
508,34824,34825
509,34826,34827
510,34828,34829
511,17547,13497
512,34830,34831
513,34832,34833
514,34834,34835
515,34836,34837
516,34838,34839
517,34840,34841
518,34842,34843
519,34844,34845
520,34846,34847
521,34848,34849
522,34850,34851
523,34852,34853
524,2423,17548
525,17549,2424
526,17550,17551
527,17552,17553
528,17554,17555
529,17556,17557
530,34854,34855
531,34856,34857
532,34858,34859
533,34860,34861
534,34862,34863
535,34864,34865
536,34866,34867
537,34868,34869
538,34870,34871
539,34872,34873
540,34874,34875
541,34876,34877
542,34878,34879
543,34880,34881
544,34882,34883
545,34884,34885
546,34886,34887
547,34888,34889
548,34890,34891
549,34892,34893
550,34894,34895
551,34896,34897
552,34898,34899
553,34900,34901
554,34902,34903
555,34904,34905
556,34906,34907
557,34908,34909
558,34910,34911
559,34912,34913
560,34914,34915
561,34916,34917
562,34918,34919
563,34920,34921
564,34922,34923
565,34924,34925
566,34926,34927
567,34928,34929
568,34930,34931
569,34932,34933
570,34934,34935
571,34936,34937
572,34938,34939
573,34940,34941
574,34942,34943
575,34944,34945
576,34946,34947
577,34948,34949
578,34950,34951
579,34952,34953
580,2435,23
581,17558,2434
582,2437,17558
583,17559,2436
584,2439,17559
585,25,2438
586,2447,23
587,17560,2446
588,2449,17560
589,17552,2448
590,2451,17552
591,25,2450
592,2441,23
593,17556,2440
594,2443,17556
595,17554,2442
596,2445,17554
597,25,2444
598,2453,23
599,17550,2452
600,2455,17550
601,17561,2454
602,2457,17561
603,25,2456
604,2465,2463
605,17562,2464
606,2467,17562
607,27,2466
608,17563,17562
609,2472,2470
610,2471,17564
611,17564,2468
612,2469,26
613,17564,17565
614,419,2553
615,420,2553
616,2554,17566
617,419,2556
618,420,2555
619,2558,419
620,2558,420
621,17567,2557
622,2560,419
623,2560,420
624,17568,2559
625,2562,419
626,2562,420
627,17569,2561
628,96,17570
629,96,2564
630,97,2563
631,2566,96
632,17571,2565
633,2568,97
634,17572,2567
635,98,2569
636,2570,17573
637,99,2571
638,2572,17574
639,2574,98
640,2573,99
641,99,98
642,100,2574
643,100,2573
644,2576,98
645,100,17575
646,17576,2575
647,2578,99
648,100,17577
649,17578,2577
650,373,2579
651,374,2579
652,373,2581
653,374,2581
654,373,2583
655,374,2583
656,2584,17579
657,373,2585
658,374,2585
659,2586,17580
660,373,2588
661,374,2587
662,2590,373
663,2590,374
664,17581,2589
665,34954,34955
666,2592,373
667,2592,374
668,17582,2591
669,817,17582
670,2594,373
671,2594,374
672,17583,2593
673,817,17583
674,2596,373
675,2596,374
676,17584,2595
677,817,17584
678,2598,373
679,2598,374
680,17585,2597
681,817,17585
682,2600,373
683,2600,374
684,17586,2599
685,817,17586
686,2602,373
687,2602,374
688,817,2601
689,110,2475
690,111,2475
691,112,17587
692,2476,17587
693,110,2477
694,111,2477
695,112,17588
696,2478,17588
697,110,2604
698,111,2603
699,2480,110
700,2480,111
701,112,17589
702,17589,2479
703,2482,110
704,2482,111
705,112,17590
706,17590,2481
707,2484,110
708,2484,111
709,112,17591
710,17591,2483
711,2486,110
712,2486,111
713,112,17592
714,17592,2485
715,2488,110
716,2488,111
717,112,17593
718,17593,2487
719,2490,110
720,2490,111
721,112,17594
722,17594,2489
723,2492,110
724,2492,111
725,112,17595
726,17595,2491
727,2606,110
728,2606,111
729,112,2605
730,107,2607
731,108,2609
732,2610,17596
733,109,17596
734,107,2612
735,108,2611
736,2614,107
737,17597,2613
738,109,17597
739,2616,107
740,17598,2615
741,109,17598
742,2618,108
743,17599,2617
744,109,17599
745,2620,108
746,17600,2619
747,109,17600
748,2622,108
749,109,2621
750,101,2623
751,102,2623
752,101,2625
753,102,2625
754,101,2628
755,102,2627
756,2630,101
757,2630,102
758,17601,2629
759,2632,101
760,2632,102
761,17602,2631
762,30,2633
763,31,2635
764,31,2637
765,30,2641
766,2640,31
767,17603,2639
768,17604,2643
769,421,2645
770,422,2645
771,2646,17605
772,421,2648
773,422,2647
774,2650,421
775,2650,422
776,17606,2649
777,2652,421
778,2652,422
779,17607,2651
780,2654,421
781,2654,422
782,17608,2653
783,2656,421
784,2656,422
785,17609,2655
786,2658,421
787,2658,422
788,17610,2657
789,2660,421
790,2660,422
791,17611,2659
792,2662,421
793,2662,422
794,17612,2661
795,2664,421
796,2664,422
797,17613,2663
798,105,2665
799,106,2665
800,824,17614
801,2666,17614
802,105,2668
803,106,2667
804,2670,106
805,824,2669
806,2672,105
807,2672,106
808,824,17615
809,17615,2671
810,2674,105
811,2674,106
812,824,17616
813,17616,2673
814,396,2675
815,398,2679
816,398,2681
817,397,2677
818,2684,398
819,17617,2683
820,2686,398
821,17618,2685
822,397,2687
823,17619,17620
824,17621,17622
825,35,2689
826,36,2689
827,35,2691
828,36,2691
829,35,2693
830,36,2693
831,35,2695
832,36,2695
833,35,2698
834,36,2697
835,2700,35
836,2700,36
837,34956,34957
838,17623,2699
839,2702,35
840,2702,36
841,34958,34959
842,17624,2701
843,2704,35
844,2704,36
845,34960,34961
846,17625,2703
847,2706,35
848,2706,36
849,34962,34963
850,17626,2705
851,17627,17628
852,17629,17630
853,103,2707
854,104,2707
855,2708,17631
856,103,2710
857,104,2709
858,2712,103
859,2712,104
860,17632,2711
861,2714,103
862,2714,104
863,17633,2713
864,32,2715
865,34,2719
866,34,2721
867,34,2723
868,33,2717
869,2726,34
870,17634,2725
871,2728,34
872,17635,2727
873,115,2729
874,2730,17636
875,5882,115
876,17637,5881
877,113,2731
878,114,2731
879,2732,17638
880,113,2733
881,114,2733
882,2734,17639
883,113,2735
884,114,2736
885,2738,113
886,2738,114
887,17640,2737
888,2740,113
889,2740,114
890,17641,2739
891,2742,113
892,2742,114
893,17642,2741
894,2744,113
895,2744,114
896,17643,2743
897,2746,113
898,2746,114
899,17644,2745
900,2748,113
901,2748,114
902,17645,2747
903,116,17646
904,118,17646
905,117,2749
906,118,2750
907,2752,116
908,2752,117
909,17647,2751
910,2754,116
911,2754,117
912,17648,2753
913,2756,116
914,2756,117
915,17649,2755
916,2758,116
917,2758,117
918,17650,2757
919,2760,116
920,2760,117
921,17651,2759
922,2762,117
923,2762,118
924,17652,2761
925,2764,117
926,2764,118
927,17653,2763
928,2766,117
929,2766,118
930,17654,2765
931,2768,117
932,2768,118
933,17655,2767
934,121,2769
935,122,2769
936,2770,17656
937,123,17656
938,121,2771
939,122,2771
940,2772,17657
941,123,17657
942,121,2774
943,122,2773
944,2776,121
945,2776,122
946,123,2775
947,2778,121
948,2778,122
949,17658,2777
950,123,17658
951,2780,121
952,2780,122
953,17659,2779
954,123,17659
955,2782,121
956,2782,122
957,17660,2781
958,123,17660
959,2784,121
960,2784,122
961,17661,2783
962,123,17661
963,2786,121
964,2786,122
965,17662,2785
966,123,17662
967,723,2791
968,723,2793
969,2796,723
970,17663,2795
971,2798,723
972,17664,2797
973,125,2800
974,2801,17665
975,127,17665
976,2803,17666
977,127,17666
978,2805,125
979,2804,126
980,126,125
981,127,2805
982,127,2804
983,2807,125
984,17667,2806
985,127,17667
986,2809,125
987,17668,2808
988,127,17668
989,17669,2810
990,127,17669
991,17670,2812
992,127,17670
993,128,2814
994,129,2814
995,130,17671
996,2815,17671
997,128,2816
998,129,2816
999,130,17672
1000,2817,17672
1001,128,2819
1002,129,2818
1003,2821,128
1004,2821,129
1005,130,2820
1006,2823,128
1007,2823,129
1008,130,17673
1009,17673,2822
1010,2825,128
1011,2825,129
1012,130,17674
1013,17674,2824
1014,2827,128
1015,2827,129
1016,130,17675
1017,17675,2826
1018,2829,128
1019,2829,129
1020,130,17676
1021,17676,2828
1022,2831,128
1023,2831,129
1024,130,17677
1025,17677,2830
1026,2833,128
1027,2833,129
1028,130,17678
1029,17678,2832
1030,2835,128
1031,2835,129
1032,130,17679
1033,17679,2834
1034,2837,128
1035,2837,129
1036,130,17680
1037,17680,2836
1038,39,2840
1039,39,2842
1040,2845,39
1041,17681,2844
1042,17682,37
1043,17683,38
1044,138,2848
1045,139,2848
1046,2849,17684
1047,140,17684
1048,138,2850
1049,139,2850
1050,2851,17685
1051,140,17685
1052,138,2853
1053,139,2852
1054,2855,138
1055,2855,139
1056,17686,2854
1057,140,17686
1058,2857,138
1059,2857,139
1060,17687,2856
1061,140,17687
1062,2859,138
1063,2859,139
1064,17688,2858
1065,140,17688
1066,2861,138
1067,2861,139
1068,17689,2860
1069,140,17689
1070,2863,138
1071,2863,139
1072,17690,2862
1073,140,17690
1074,2865,138
1075,2865,139
1076,17691,2864
1077,140,17691
1078,2867,138
1079,2867,139
1080,17692,2866
1081,140,17692
1082,2869,138
1083,2869,139
1084,140,2868
1085,423,2870
1086,424,2870
1087,2871,17693
1088,425,2872
1089,426,2872
1090,2873,17694
1091,423,2875
1092,424,2874
1093,2877,425
1094,2878,424
1095,2879,426
1096,425,2881
1097,426,2880
1098,2883,423
1099,2883,424
1100,17695,2882
1101,2885,423
1102,2885,424
1103,17696,2884
1104,2887,423
1105,2887,424
1106,17697,2886
1107,2889,423
1108,2889,424
1109,17698,2888
1110,2891,423
1111,2891,424
1112,17699,2890
1113,2893,423
1114,2893,424
1115,17700,2892
1116,2895,425
1117,2895,426
1118,17701,2894
1119,2897,425
1120,2897,426
1121,17702,2896
1122,2899,425
1123,2899,426
1124,17703,2898
1125,17704,2900
1126,17705,2901
1127,2903,427
1128,2905,427
1129,2907,427
1130,2909,427
1131,34964,34965
1132,2911,428
1133,2913,428
1134,2915,428
1135,2917,428
1136,34966,34967
1137,2919,429
1138,17706,2918
1139,2921,17706
1140,17707,2920
1141,2923,17707
1142,430,2922
1143,2925,429
1144,17708,2924
1145,2927,17708
1146,17709,2926
1147,2929,17709
1148,430,2928
1149,2931,429
1150,17710,2930
1151,2933,17710
1152,17711,2932
1153,2935,17711
1154,430,2934
1155,2937,429
1156,17712,2936
1157,2939,17712
1158,17713,2938
1159,2941,17713
1160,430,2940
1161,2943,429
1162,17714,2942
1163,2945,17714
1164,17715,2944
1165,2947,17715
1166,430,2946
1167,119,2948
1168,120,2948
1169,2949,17716
1170,119,2950
1171,120,2950
1172,2951,17717
1173,119,2952
1174,120,2952
1175,2953,17718
1176,2954,119
1177,2955,120
1178,2957,119
1179,2957,120
1180,17719,2956
1181,2959,119
1182,2959,120
