id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,刀闸名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
1,国调.三峡左岸/500kV.51132刀闸,500,国调.三峡左岸厂.500.nd34552,国调.三峡左岸厂.500.nd34553,34552,34553,4,4
2,国调.三峡左岸/500kV.51131刀闸,500,国调.三峡左岸厂.500.nd34554,国调.三峡左岸厂.500.nd34555,34554,34555,4,4
3,国调.三峡左岸/500kV.51122刀闸,500,国调.三峡左岸厂.500.nd34556,国调.三峡左岸厂.500.nd34557,34556,34557,4,4
4,国调.三峡左岸/500kV.51121刀闸,500,国调.三峡左岸厂.500.nd34558,国调.三峡左岸厂.500.nd34559,34558,34559,4,4
5,国调.三峡左岸/500kV.51112刀闸,500,国调.三峡左岸厂.500.nd34560,国调.三峡左岸厂.500.nd34561,34560,34561,4,4
6,国调.三峡左岸/500kV.51111刀闸,500,国调.三峡左岸厂.500.nd34562,国调.三峡左岸厂.500.nd34563,34562,34563,4,4
7,国调.三峡左岸/500kV.51136刀闸,500,国调.三峡左岸厂.500.nd34564,国调.三峡左岸厂.500.nd34565,34564,34565,4,4
8,国调.三峡左岸/500kV.51232刀闸,500,国调.三峡左岸厂.500.nd34566,国调.三峡左岸厂.500.nd34567,34566,34567,4,4
9,国调.三峡左岸/500kV.51231刀闸,500,国调.三峡左岸厂.500.nd34568,国调.三峡左岸厂.500.nd34569,34568,34569,4,4
10,国调.三峡左岸/500kV.51236刀闸,500,国调.三峡左岸厂.500.nd34570,国调.三峡左岸厂.500.nd34571,34570,34571,4,4
11,国调.三峡左岸/500kV.51222刀闸,500,国调.三峡左岸厂.500.nd34572,国调.三峡左岸厂.500.nd34573,34572,34573,4,4
12,国调.三峡左岸/500kV.51221刀闸,500,国调.三峡左岸厂.500.nd34574,国调.三峡左岸厂.500.nd34575,34574,34575,4,4
13,国调.三峡左岸/500kV.51332刀闸,500,国调.三峡左岸厂.500.nd34576,国调.三峡左岸厂.500.nd34577,34576,34577,4,4
14,国调.三峡左岸/500kV.51331刀闸,500,国调.三峡左岸厂.500.nd34578,国调.三峡左岸厂.500.nd34579,34578,34579,4,4
15,国调.三峡左岸/500kV.51336刀闸,500,国调.三峡左岸厂.500.nd34580,国调.三峡左岸厂.500.nd34581,34580,34581,4,4
16,国调.三峡左岸/500kV.51322刀闸,500,国调.三峡左岸厂.500.nd34582,国调.三峡左岸厂.500.nd34583,34582,34583,4,4
17,国调.三峡左岸/500kV.51321刀闸,500,国调.三峡左岸厂.500.nd34584,国调.三峡左岸厂.500.nd34585,34584,34585,4,4
18,国调.三峡左岸/500kV.51312刀闸,500,国调.三峡左岸厂.500.nd34586,国调.三峡左岸厂.500.nd34587,34586,34587,4,4
19,国调.三峡左岸/500kV.51311刀闸,500,国调.三峡左岸厂.500.nd34588,国调.三峡左岸厂.500.nd34589,34588,34589,4,4
