id,name,Ref_bus,off,F_sys
序号,电气岛名,参考母线名,死岛标志,系统频率量测
1,四川.岛0,国调.锦东厂.500.263,0,''
2,四川.岛1,国调.复龙换流站.500.21,0,''
3,四川.岛2,国调.复龙换流站.500.24,0,''
4,四川.岛3,国调.复龙换流站.500.27,0,''
5,四川.岛4,国调.复龙换流站.500.30,0,''
6,四川.岛5,国调.锦屏换流站.500.249,0,''
7,四川.岛6,国调.锦屏换流站.500.252,0,''
8,四川.岛7,国调.锦屏换流站.500.255,0,''
9,四川.岛8,国调.锦屏换流站.500.258,0,''
10,四川.岛9,'',0,''
11,四川.岛10,'',0,''
12,四川.岛11,'',0,''
13,四川.岛12,'',0,''
14,四川.岛13,国调.德阳换流站.500.6450,0,''
15,四川.岛14,国调.德阳换流站.500.6453,0,''
16,四川.岛15,'',0,''
17,四川.岛16,'',0,''
18,四川.岛17,'',0,''
19,四川.岛18,'',0,''
20,四川.岛19,'',0,''
21,四川.岛20,'',0,''
22,四川.岛21,'',0,''
23,四川.岛22,国调.宜宾换流.500.8930,0,''
24,四川.岛23,国调.宜宾换流.500.8933,0,''
25,四川.岛24,国调.宜宾换流.500.8936,0,''
26,四川.岛25,国调.宜宾换流.500.8939,0,''
27,四川.岛26,'',0,''
28,四川.岛27,西南.澜沧江站.220.9888,0,''
29,四川.岛28,'',0,''
30,四川.岛29,'',0,''
31,四川.岛30,'',0,''
32,四川.岛31,'',0,''
33,四川.岛32,'',0,''
34,四川.岛33,'',0,''
35,四川.岛34,'',0,''
36,四川.岛35,'',0,''
37,四川.岛36,'',0,''
38,四川.岛37,'',0,''
39,四川.岛38,'',0,''
40,四川.岛39,'',0,''
41,四川.岛40,'',0,''
42,四川.岛41,'',0,''
43,四川.岛42,'',0,''
44,四川.岛43,'',0,''
45,四川.岛44,'',0,''
46,四川.岛45,'',0,''
47,四川.岛46,'',0,''
48,四川.岛47,'',0,''
49,四川.岛48,'',0,''
50,四川.岛49,'',0,''
51,四川.岛50,'',0,''
52,四川.岛51,'',0,''
53,四川.岛52,'',0,''
54,四川.岛53,'',0,''
55,四川.岛54,'',0,''
56,四川.岛55,'',0,''
57,四川.岛56,'',0,''
58,四川.岛57,'',0,''
59,四川.岛58,'',0,''
60,四川.岛59,'',0,''
61,四川.岛60,'',0,''
62,四川.岛61,'',0,''
63,四川.岛62,'',0,''
64,四川.岛63,'',0,''
65,四川.岛64,'',0,''
66,四川.岛65,'',0,''
67,四川.岛-1,'',1,''
