index,sub
11,6
12,5
13,10
21,6
22,5
23,10
31,8
32,9
33,11
41,8
42,9
43,11
421,41
422,42
423,43
431,41
432,42
433,43
571,85
572,519
573,84
1031,255
1032,505
1033,254
1081,259
1082,486
1083,258
1101,270
1102,512
1103,269
1231,304
1232,303
1233,302
1291,308
1292,499
1293,307
1471,194
1472,485
1473,446
1541,92
1542,475
1543,91
1701,249
1702,497
1703,248
2251,542
2252,434
2253,433
2391,361
2392,440
2393,360
2401,152
2402,563
2403,465
2431,334
2432,335
2433,333
2441,239
2442,470
2443,238
2491,62
2492,472
2493,531
2501,62
2502,472
2503,531
2531,120
2532,568
2533,322
2541,120
2542,568
2543,322
2551,136
2552,473
2553,474
2561,93
2562,94
2563,95
2571,93
2572,94
2573,95
2581,148
2582,554
2583,521
2591,148
2592,554
2593,521
2601,311
2602,309
2603,310
2651,478
2652,479
2653,480
2681,201
2682,199
2683,200
2761,378
2762,376
2763,377
2771,378
2772,376
2773,377
2781,268
2782,266
2783,267
2791,268
2792,266
2793,267
2811,75
2812,502
2813,74
2851,131
2852,130
2853,129
2861,273
2862,271
2863,272
2871,330
2872,506
2873,329
2881,506
2882,508
2883,329
2901,159
2902,157
2903,158
2911,214
2912,212
2913,213
2921,214
2922,212
2923,213
2931,135
2932,55
2933,134
2941,135
2942,55
2943,134
2951,192
2952,49
2953,193
2961,513
2962,516
2963,515
3001,315
3002,313
3003,314
3011,315
3012,313
3013,314
3021,180
3022,181
3023,182
3031,180
3032,181
3033,182
3041,57
3042,189
3043,190
3051,57
3052,189
3053,190
3061,399
3062,397
3063,398
3071,399
3072,397
3073,398
3091,510
3092,553
3093,518
3101,56
3102,230
3103,231
3111,56
3112,230
3113,231
3121,403
3122,402
3123,404
3131,403
3132,402
3133,404
3141,176
3142,174
3143,175
3151,176
3152,174
3153,175
3161,403
3162,402
3163,404
3171,127
3172,125
3173,126
3181,127
3182,125
3183,126
3191,144
3192,142
3193,143
3201,144
3202,142
3203,143
3211,88
3212,53
3213,87
3221,88
3222,53
3223,87
3241,460
3242,458
3243,459
3251,211
3252,209
3253,210
3261,211
3262,209
3263,210
3271,217
3272,218
3273,219
3281,113
3282,509
3283,112
3291,407
3292,405
3293,406
3301,407
3302,405
3303,406
3311,407
3312,405
3313,406
3331,276
3332,277
3333,275
3341,229
3342,503
3343,228
3351,441
3352,564
3353,522
3361,369
3362,367
3363,368
3371,369
3372,367
3373,368
3381,273
3382,271
3383,272
3391,426
3392,424
3393,425
3401,426
3402,424
3403,425
3411,428
3412,429
3413,430
3421,428
3422,429
3423,430
3431,428
3432,429
3433,430
3441,417
3442,418
3443,419
3451,417
3452,418
3453,419
3461,417
3462,418
3463,419
3531,536
3532,534
3533,535
3551,217
3552,218
3553,219
3561,192
3562,49
3563,193
3621,550
3622,548
3623,549
3631,550
3632,548
3633,549
3641,550
3642,548
3643,549
3651,214
3652,212
3653,213
3711,559
3712,560
3713,561
3721,559
3722,560
3723,561
3791,133
3792,572
3793,132
3801,191
3802,590
3803,591
3811,250
3812,582
3813,583
3821,250
3822,582
3823,583
3831,47
3832,576
3833,577
3841,47
3842,576
3843,577
3851,121
3852,581
3853,585
3861,105
3862,580
3863,586
3871,105
3872,580
3873,586
3881,108
3882,592
3883,596
3891,108
3892,592
3893,596
3901,60
3902,594
3903,593
3911,285
3912,584
3913,589
3921,285
3922,584
3923,589
3931,388
3932,597
3933,598
3941,388
3942,597
3943,598
3951,301
3952,601
3953,602
3961,301
3962,601
3963,602
3971,295
3972,587
3973,588
3981,295
3982,587
3983,588
3991,281
3992,605
3993,606
4001,281
4002,605
4003,606
4011,216
4012,603
4013,607
4021,216
4022,603
4023,607
4031,61
4032,604
4033,869
4041,61
4042,604
4043,869
4051,149
4052,608
4053,609
4061,149
4062,608
4063,609
4071,224
4072,612
4073,613
4081,86
4082,610
4083,611
4091,86
4092,610
4093,611
4101,390
4102,616
4103,617
4111,390
4112,616
4113,617
4121,225
4122,618
4123,619
4131,225
4132,618
4133,619
4141,290
4142,625
4143,623
4151,461
4152,620
4153,621
4161,461
4162,620
4163,621
4171,46
4172,622
4173,624
4181,46
4182,622
4183,624
4191,391
4192,627
4193,626
4201,391
4202,627
4203,626
4211,156
4212,628
4213,629
4221,156
4222,628
4223,629
4231,305
4232,632
4233,633
4241,305
4242,632
4243,633
4251,170
4252,630
4253,631
4261,170
4262,630
4263,631
4271,451
4272,636
4273,637
4281,451
4282,636
4283,637
4291,155
4292,595
4293,638
4301,389
4302,640
4303,639
4311,389
4312,640
4313,639
4321,52
4322,634
4323,635
4331,52
4332,634
4333,635
4341,106
4342,642
4343,641
4351,106
4352,642
4353,641
4361,166
4362,643
4363,644
4371,166
4372,643
4373,644
4381,154
4382,579
4383,578
4391,154
4392,579
4393,578
4401,372
4402,645
4403,647
4411,372
4412,645
4413,647
4421,537
4422,646
4423,648
4431,537
4432,646
4433,648
4441,293
4442,649
4443,650
4451,293
4452,649
4453,650
4461,235
4462,652
4463,651
4471,235
4472,652
4473,651
4481,445
4482,656
4483,658
4491,445
4492,656
4493,658
4501,179
4502,655
4503,657
4511,179
4512,655
4513,657
4521,226
4522,653
4523,654
4531,226
4532,653
4533,654
4541,167
4542,660
4543,659
4551,167
4552,660
4553,659
4561,177
4562,661
4563,663
4571,177
4572,661
4573,663
4581,83
4582,662
4583,664
4591,83
4592,662
4593,664
4601,203
4602,665
4603,666
4611,203
4612,665
4613,666
4621,385
4622,667
4623,668
4631,385
4632,667
4633,668
4641,251
4642,670
4643,669
4651,251
4652,670
4653,669
4661,251
4662,670
4663,669
4671,178
4672,614
4673,615
4681,178
4682,614
4683,615
4691,462
4692,671
4693,2206
4701,462
4702,671
4703,2206
4711,286
4712,674
4713,673
4721,286
4722,674
4723,673
4731,287
4732,675
4733,678
4741,287
4742,675
4743,678
4751,262
4752,676
4753,677
4761,262
4762,676
4763,677
4771,128
4772,680
4773,679
4781,240
4782,683
4783,684
4791,240
4792,683
4793,684
4801,241
4802,685
4803,686
4811,462
4812,671
4813,2206
4821,48
4822,691
4823,692
4831,48
4832,691
4833,692
4841,454
4842,689
4843,690
4851,454
4852,689
4853,690
4921,222
4922,694
4923,695
4931,222
4932,694
4933,695
4941,58
4942,696
4943,697
4951,58
4952,696
4953,697
4961,455
4962,698
4963,2357
4971,296
4972,701
4973,700
4981,296
4982,701
4983,700
4991,375
4992,702
4993,703
5001,375
5002,702
5003,703
5031,186
5032,704
5033,705
5041,186
5042,704
5043,705
5051,383
5052,707
5053,708
5061,383
5062,707
5063,708
5091,67
5092,711
5093,710
5101,202
5102,715
5103,714
5111,202
5112,715
5113,714
5121,64
5122,713
5123,712
5131,64
5132,713
5133,712
5141,169
5142,717
5143,716
5151,169
5152,717
5153,716
5161,386
5162,719
5163,718
5171,386
5172,719
5173,718
5181,77
5182,720
5183,721
5191,77
5192,720
5193,721
5221,380
5222,725
5223,726
5231,215
5232,727
5233,728
5241,463
5242,730
5243,729
5251,463
5252,730
5253,729
5261,379
5262,731
5263,732
5271,379
5272,731
5273,732
5281,394
5282,733
5283,734
5291,101
5292,736
5293,735
5301,101
5302,736
5303,735
5311,140
5312,723
5313,724
5321,140
5322,723
5323,724
5331,147
5332,737
5333,738
5341,147
5342,737
5343,738
5351,197
5352,739
5353,740
5361,197
5362,739
5363,740
5371,45
5372,741
5373,742
5381,45
5382,741
5383,742
5391,261
5392,1495
5393,743
5401,261
5402,1495
5403,743
5411,261
5412,1495
5413,743
5421,261
5422,1495
5423,743
5491,73
5492,681
5493,682
5501,54
5502,687
5503,688
5511,89
5512,747
5513,748
5521,89
5522,747
5523,748
5531,89
5532,747
5533,748
5541,447
5542,749
5543,750
5551,447
5552,749
5553,750
5561,204
5562,745
5563,746
5571,204
5572,745
5573,746
5591,260
5592,753
5593,754
5601,260
5602,753
5603,754
5611,82
5612,755
5613,756
5621,82
5622,755
5623,756
5631,298
5632,752
5633,757
5641,298
5642,752
5643,757
5651,265
5652,758
5653,759
5661,265
5662,758
5663,759
5671,443
5672,575
5673,574
5681,443
5682,575
5683,574
5691,119
5692,760
5693,761
5701,119
5702,760
5703,761
5711,184
5712,763
5713,764
5721,184
5722,763
5723,764
5731,392
5732,765
5733,766
5741,392
5742,765
5743,766
5751,137
5752,770
5753,771
5761,185
5762,772
5763,773
5771,97
5772,776
5773,777
5781,44
5782,778
5783,779
5791,44
5792,778
5793,779
5801,79
5802,780
5803,781
5811,79
5812,780
5813,781
5821,297
5822,782
5823,783
5831,297
5832,782
5833,783
5841,299
5842,784
5843,785
5851,253
5852,786
5853,787
5861,173
5862,788
5863,789
5871,173
5872,788
5873,789
5881,252
5882,790
5883,791
5891,252
5892,790
5893,791
5901,384
5902,774
5903,775
5911,384
5912,774
5913,775
5921,198
5922,792
5923,793
5931,198
5932,792
5933,793
5941,76
5942,794
5943,797
5951,76
5952,794
5953,797
5961,247
5962,795
5963,796
5971,247
5972,795
5973,796
5981,263
5982,798
5983,799
5991,263
5992,798
5993,799
6001,232
6002,1494
6003,802
6011,232
6012,1494
6013,802
6021,294
6022,800
6023,801
6031,294
6032,800
6033,801
6041,141
6042,803
6043,804
6051,221
6052,889
6053,806
6061,221
6062,889
6063,806
6071,365
6072,807
6073,808
6081,365
6082,807
6083,808
6121,111
6122,812
6123,811
6131,365
6132,807
6133,808
6141,511
6142,768
6143,813
6151,511
6152,768
6153,813
6161,511
6162,768
6163,813
6171,511
6172,768
6173,813
6181,59
6182,814
6183,815
6191,274
6192,767
6193,816
6201,274
6202,767
6203,816
6231,63
6232,818
6233,819
6241,63
6242,818
6243,819
6271,207
6272,820
6273,821
6281,208
6282,823
6283,824
6291,208
6292,823
6293,824
6301,393
6302,825
6303,826
6311,393
6312,825
6313,826
6341,280
6342,762
6343,828
6351,396
6352,830
6353,829
6361,396
6362,830
6363,829
6371,395
6372,599
6373,600
6381,395
6382,599
6383,600
6391,400
6392,831
6393,832
6401,400
6402,831
6403,832
6411,68
6412,833
6413,834
6471,370
6472,835
6473,836
6481,370
6482,835
6483,836
6491,370
6492,835
6493,836
6501,423
6502,837
6503,838
6511,423
6512,837
6513,838
6521,366
6522,839
6523,840
6531,366
6532,839
6533,840
6541,371
6542,841
6543,842
6551,371
6552,841
6553,842
6561,371
6562,841
6563,842
6571,241
6572,685
6573,686
6581,427
6582,845
6583,846
6591,427
6592,845
6593,2359
6601,432
6602,849
6603,850
6611,432
6612,849
6613,850
6621,414
6622,847
6623,848
6631,414
6632,847
6633,848
6641,60
6642,594
6643,593
6651,415
6652,851
6653,852
6661,415
6662,851
6663,852
6671,421
6672,843
6673,844
6681,421
6682,843
6683,844
6691,422
6692,853
6693,854
6701,412
6702,856
6703,855
6711,412
6712,856
6713,855
6721,412
6722,856
6723,855
6741,422
6742,853
6743,854
6751,411
6752,857
6753,858
6761,97
6762,776
6763,777
6771,215
6772,727
6773,728
6781,413
6782,859
6783,860
6791,413
6792,859
6793,860
6801,525
6802,861
6803,862
6811,525
6812,861
6813,862
6821,290
6822,625
6823,623
6831,427
6832,845
6833,2359
6841,73
6842,681
6843,682
6851,416
6852,863
6853,864
6861,416
6862,863
6863,864
6871,410
6872,865
6873,866
6881,410
6882,865
6883,866
6891,410
6892,865
6893,866
6901,68
6902,833
6903,834
6911,420
6912,867
6913,868
6921,420
6922,867
6923,868
6931,111
6932,812
6933,811
6941,284
6942,769
6943,870
6951,284
6952,769
6953,870
6961,253
6962,786
6963,787
6971,128
6972,680
6973,679
6981,77
6982,720
6983,721
6991,532
6992,871
6993,872
7001,532
7002,871
7003,872
7011,533
7012,873
7013,874
7021,533
7022,873
7023,874
7031,280
7032,762
7033,828
7041,538
7042,875
7043,876
7051,538
7052,875
7053,876
7061,539
7062,878
7063,877
7071,539
7072,878
7073,877
7081,540
7082,879
7083,880
7091,540
7092,879
7093,880
7101,546
7102,882
7103,881
7111,546
7112,882
7113,881
7121,541
7122,883
7123,884
7131,541
7132,883
7133,884
7141,552
7142,885
7143,886
7151,552
7152,885
7153,886
7161,547
7162,887
7163,888
7171,547
7172,887
7173,888
7181,890
7182,891
7183,892
7191,890
7192,891
7193,892
7201,893
7202,894
7203,895
7211,532
7212,871
7213,872
7231,897
7232,898
7233,1339
7241,897
7242,898
7243,1339
7251,897
7252,898
7253,1339
7261,897
7262,898
7263,1339
7271,899
7272,900
7273,901
7281,229
7282,503
7283,228
7291,904
7292,902
7293,903
7301,904
7302,902
7303,903
7311,904
7312,902
7313,903
7341,899
7342,900
7343,901
7351,899
7352,900
7353,901
7361,906
7362,908
7363,907
7371,906
7372,908
7373,907
7381,909
7382,910
7383,911
7391,909
7392,910
7393,911
7401,912
7402,913
7403,914
7411,912
7412,913
7413,914
7431,917
7432,918
7433,919
7441,917
7442,918
7443,919
7451,920
7452,921
7453,922
7461,920
7462,921
7463,922
7491,926
7492,925
7493,927
7501,926
7502,925
7503,927
7511,926
7512,925
7513,927
7521,224
7522,612
7523,613
7531,54
7532,687
7533,688
7541,78
7542,929
7543,928
7551,78
7552,929
7553,928
7561,299
7562,784
7563,785
7591,121
7592,581
7593,585
7601,932
7602,933
7603,934
7611,932
7612,933
7613,934
7621,935
7622,936
7623,937
7631,935
7632,936
7633,937
7671,943
7672,944
7673,945
7681,943
7682,944
7683,945
7691,946
7692,947
7693,948
7701,946
7702,947
7703,948
7711,949
7712,954
7713,950
7721,949
7722,954
7723,950
7731,951
7732,952
7733,953
7741,951
7742,952
7743,953
7751,191
7752,590
7753,591
7781,958
7782,959
7783,960
7791,958
7792,959
7793,960
7801,961
7802,962
7803,963
7811,961
7812,962
7813,963
7821,964
7822,965
7823,966
7831,964
7832,965
7833,966
7921,969
7922,975
7923,976
7931,980
7932,979
7933,978
7941,980
7942,979
7943,978
8011,59
8012,814
8013,815
8021,985
8022,986
8023,987
8031,985
8032,986
8033,987
8041,988
8042,989
8043,990
8051,988
8052,989
8053,990
8061,983
8062,991
8063,992
8071,983
8072,991
8073,992
8081,994
8082,995
8083,996
8091,994
8092,995
8093,996
8101,999
8102,998
8103,997
8111,1005
8112,1004
8113,1003
8121,1000
8122,1001
8123,1002
8131,1006
8132,1007
8133,1008
8161,1013
8162,1014
8163,1015
8171,1013
8172,1014
8173,1015
8181,993
8182,1011
8183,1012
8191,993
8192,1011
8193,1012
8201,1018
8202,1017
8203,1016
8211,1018
8212,1017
8213,1016
8221,1020
8222,1021
8223,1023
8331,1091
8332,1093
8333,1092
8391,1026
8392,1096
8393,1027
8471,1111
8472,1112
8473,1110
8611,1129
8612,1130
8613,1131
8701,1149
8702,1148
8703,1147
8711,1149
8712,1148
8713,1147
8821,1031
8822,1029
8823,1030
9051,1191
9052,1189
9053,1188
9161,1207
9162,1211
9163,1208
9221,1227
9222,1228
9223,1229
9281,1239
9282,1240
9283,1241
9371,1242
9372,1243
9373,1244
9461,284
9462,769
9463,1250
9471,1216
9472,1253
9473,1254
9491,1257
9492,1258
9493,1259
9501,1257
9502,1260
9503,1259
9621,1272
9622,1273
9623,1271
9761,1218
9762,1289
9763,1288
9821,514
9822,1297
9823,1296
9831,514
9832,1297
9833,1296
10061,551
10062,1330
10063,1331
10071,551
10072,1330
10073,1331
10151,893
10152,894
10153,895
10161,893
10162,894
10163,895
10291,1363
10292,1368
10293,1362
10301,1363
10302,1368
10303,1362
10381,1377
10382,1378
10383,1379
10391,1377
10392,1378
10393,1379
10401,51
10402,1162
10403,1162
10431,1384
10432,1385
10433,1383
10501,1395
10502,1396
10503,1397
10511,1395
10512,1396
10513,1397
10541,1403
10542,1400
10543,1401
10551,1403
10552,1400
10553,1401
10561,201
10562,199
10563,200
10571,1404
10572,1405
10573,1406
10581,1404
10582,1405
10583,1406
10631,1412
10632,1413
10633,1414
10641,1412
10642,1413
10643,1414
10651,64
10652,713
10653,712
10661,1425
10662,1427
10663,1428
10671,1425
10672,1427
10673,1428
10681,1458
10682,1457
10683,1456
10691,1458
10692,1457
10693,1456
10701,67
10702,711
10703,710
10731,984
10732,1471
10733,1470
10741,984
10742,1471
10743,1470
10751,1480
10752,1481
10753,1482
10761,1480
10762,1481
10763,1482
10821,208
10822,823
10823,824
10841,1491
10842,1492
10843,1493
10851,1491
10852,1492
10853,1493
10871,1486
10872,1499
10873,1498
10881,1486
10882,1499
10883,1498
10891,1501
10892,1502
10893,1503
10901,1501
10902,1502
10903,1503
10911,1504
10912,1505
10913,1506
10921,1504
10922,1505
10923,1506
10931,1507
10932,1508
10933,1509
10981,1514
10982,1515
10983,1516
10991,1514
10992,1515
10993,1516
11141,1527
11142,1528
11143,1529
11151,1527
11152,1528
11153,1529
11701,1543
11702,1323
11703,1542
12441,1578
12442,1576
12443,1577
12451,1578
12452,1576
12453,1577
12461,1581
12462,1583
12463,1582
12471,1581
12472,1583
12473,1582
12481,235
12482,652
12483,651
12501,1584
12502,1585
12503,1586
12511,1584
12512,1585
12513,1586
12531,1589
12532,1590
12533,1591
12631,1595
12632,1596
12633,1597
12641,1595
12642,1596
12643,1597
12651,148
12652,554
12653,521
12781,1604
12782,1601
12783,1602
12901,1616
12902,1617
12903,1618
13151,1630
13152,1631
13153,1632
13161,1630
13162,1631
13163,1632
13171,1633
13172,1634
13173,1635
13181,1633
13182,1634
13183,1635
13221,141
13222,803
13223,804
13331,1650
13332,1651
13333,1652
13341,1653
13342,1654
13343,1655
13351,1653
13352,1654
13353,1655
13741,1662
13742,1663
13743,1664
13751,1662
13752,1663
13753,1664
13761,1665
13762,1666
13763,1667
13821,1668
13822,1670
13823,1669
13851,1642
13852,1803
13853,1803
13861,1642
13862,1803
13863,1803
13871,1642
13872,1803
13873,1803
13881,1642
13882,1803
13883,1803
13891,1642
13892,1803
13893,1803
13901,1642
13902,1803
13903,1803
13911,1642
13912,1803
13913,1803
13921,1642
13922,1803
13923,1803
13931,1642
13932,1803
13933,1803
13941,1642
13942,1803
13943,1803
13951,1642
