id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
序号,变压器名,绕组类型,高压端电压等级,中压端电压等级,低压端电压等级,高压端额定容量,中压端额定容量,低压端额定容量,高压端分接头最高档位,高压端分接头最低档位,高压端分接头额定档位,高压端分接头级差,高压端额定电压,中压端分接头最高档位,中压端分接头最低档位,中压端分接头额定档位,中压端分接头级差,中压端额定电压,低压端额定电压,高压绕组电阻,高压绕组电抗,中压绕组电阻,中压绕组电抗,低压绕组电阻,低压绕组电抗,高压端所在拓扑节点,中压端所在拓扑节点,低压端所在拓扑节点,高压端有功功率,高压端无功功率,中压端有功功率,中压端无功功率,低压端有功功率,低压端无功功率,高压侧分接头位置,中压侧分接头位置,高压侧开断标志,中压侧开断标志,低压侧开断标志,高压端有功功率量测,高压端无功功率量测,中压端有功功率量测,中压端无功功率量测,低压端有功功率量测,低压端无功功率量测,高压端分接头位置遥测,中压端分接头位置遥测,并联电导,并联电纳,高压端物理节点,中压端物理节点,低压端物理节点,高压端计算节点,中压端计算节点,低压端计算节点,高压端电气岛号,中压端电气岛号,低压端电气岛号,高压绕组电阻标么值,高压绕组电抗标么值,中压绕组电阻标么值,中压绕组电抗标么值,低压绕组电阻标么值,低压绕组电抗标么值,高压端变比,中压端变比,低压端变比,高压端基准电压,中压端基准电压,低压端基准电压
1,国调.长治/1#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.000,1000.000,1,1,1,0.000000,525.000,115.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.长治站.1000.nd41380,国调.长治站.500.nd41382,国调.长治站.110.nd41381,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,'','','','','','','','','','',41380,41382,41381,133,143,145,-1,-1,-1,0.000100,0.001000,0.000100,0.001000,0.000100,0.001000,1.000000,1.000000,1.000000,1000.000000,525.000000,115.000000
2,国调.长治/2#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.000,1000.000,1,1,1,0.000000,525.000,115.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.长治站.1000.nd41383,国调.长治站.500.nd41385,国调.长治站.110.nd41384,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,'','','','','','','','','','',41383,41385,41384,134,144,146,-1,-1,-1,0.000100,0.001000,0.000100,0.001000,0.000100,0.001000,1.000000,1.000000,1.000000,1000.000000,525.000000,115.000000
3,国调.荆门/2#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.000,1000.000,1,1,1,0.000000,525.000,115.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.荆门.1000.nd41386,国调.荆门.500.nd41388,国调.荆门.110.nd41387,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,'','','','','','','','','','',41386,41388,41387,173,183,185,-1,-1,-1,0.000100,0.001000,0.000100,0.001000,0.000100,0.001000,1.000000,1.000000,1.000000,1000.000000,525.000000,115.000000
4,国调.荆门/1#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.000,1000.000,1,1,1,0.000000,525.000,115.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.荆门.1000.nd41389,国调.荆门.500.nd41391,国调.荆门.110.nd41390,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,'','','','','','','','','','',41389,41391,41390,174,184,186,-1,-1,-1,0.000100,0.001000,0.000100,0.001000,0.000100,0.001000,1.000000,1.000000,1.000000,1000.000000,525.000000,115.000000
5,国调.官地电厂/1#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.官地电厂.500.189,'',国调.官地电厂.20.194,-455.391,-110.689,0.000,0.000,456.052,162.725,0,0,0,0,0,-458.20,-111.90,'','','','','','','','',17398,-1,17404,189,-2,194,0,-1,0,0.000283,0.022226,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
6,国调.官地电厂/2#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.官地电厂.500.189,'',国调.官地电厂.20.195,-536.924,-90.217,0.000,0.000,537.818,160.446,0,0,0,0,0,-538.80,-91.10,'','','','','','','','',17400,-1,17405,189,-2,195,0,-1,0,0.000283,0.022226,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
7,国调.官地电厂/3#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.官地电厂.500.189,'',国调.官地电厂.20.196,-522.097,-101.685,0.000,0.000,522.950,168.715,0,0,0,0,0,-524.10,-101.60,'','','','','','','','',17399,-1,17406,189,-2,196,0,-1,0,0.000283,0.022226,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
8,国调.官地电厂/4#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.官地电厂.500.189,'',国调.官地电厂.20.197,-527.721,-105.157,0.000,0.000,528.594,173.756,0,0,0,0,0,-529.50,-106.50,'','','','','','','','',17401,-1,17407,189,-2,197,0,-1,0,0.000283,0.022226,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
9,国调.锦屏换流站/511#变压器,2,500,0,35,2400,0,2400,5,1,3,-0.025,535.000,17,1,1,-0.012500,0.000,35.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.锦屏换流站.500.240,'',国调.锦屏换流站.35.nd7,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,1,1.28,0.74,'','','','','','','','',2237,-1,7,240,-2,261,0,-1,-1,0.000282,0.022422,0.000000,0.000000,0.000280,0.022420,1.077279,0.000000,1.000000,525.000000,0.000000,37.000000
10,国调.锦屏换流站/512#变压器,2,500,0,35,2400,0,2400,5,1,3,-0.025,535.000,17,1,1,-0.012500,0.000,35.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.锦屏换流站.500.240,'',国调.锦屏换流站.35.nd8,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,1,1.01,0.63,'','','','','','','','',2261,-1,8,240,-2,262,0,-1,-1,0.000282,0.022422,0.000000,0.000000,0.000280,0.022420,1.077279,0.000000,1.000000,525.000000,0.000000,37.000000
11,国调.向家坝电厂/1#变压器,2,500,0,20,880,0,880,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.向家坝.500.277,'',国调.向家坝.20.278,-728.646,35.111,0.000,0.000,730.300,98.314,0,0,0,0,0,-728.20,33.00,'','','','','','','','',17472,-1,17482,277,-2,278,0,-1,0,0.000283,0.022821,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
12,国调.向家坝电厂/2#变压器,2,500,0,20,890,0,890,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.向家坝.500.277,'',国调.向家坝.20.279,-722.840,24.957,0.000,0.000,724.466,106.202,0,0,0,0,0,-723.80,22.00,'','','','','','','','',17469,-1,17474,277,-2,279,0,-1,0,0.000283,0.022821,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
13,国调.向家坝电厂/3#变压器,2,500,0,20,890,0,890,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.向家坝.500.277,'',国调.向家坝.20.280,-713.847,50.524,0.000,0.000,715.439,77.879,0,0,0,0,0,-712.80,48.40,'','','','','','','','',17470,-1,17475,277,-2,280,0,-1,0,0.000283,0.022821,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
14,国调.向家坝电厂/4#变压器,2,500,0,20,890,0,890,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.向家坝.500.277,'',国调.向家坝.20.281,-717.033,8.946,0.000,0.000,718.631,119.981,0,0,0,0,0,-717.20,2.20,'','','','','','','','',17473,-1,17476,277,-2,281,0,-1,0,0.000283,0.022821,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
15,国调.向家坝电厂/5#变压器,2,500,0,20,880,0,880,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.向家坝.500.276,'',国调.向家坝.20.282,-716.770,22.685,0.000,0.000,718.367,106.094,0,0,0,0,0,-715.00,11.00,'','','','','','','','',17477,-1,17483,276,-2,282,0,-1,0,0.000283,0.022821,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
16,国调.向家坝电厂/6#变压器,2,500,0,20,880,0,880,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.向家坝.500.276,'',国调.向家坝.20.283,-730.963,18.113,0.000,0.000,732.623,115.765,0,0,0,0,0,-726.00,4.40,'','','','','','','','',17478,-1,17484,276,-2,283,0,-1,0,0.000283,0.022821,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,20.000000
