name,CN_I,CN_J,TxI,TxJ
国调.官地电厂/1#变压器,17398,17404,51,52
国调.官地电厂/2#变压器,17400,17405,61,62
国调.官地电厂/3#变压器,17399,17406,71,72
国调.官地电厂/4#变压器,17401,17407,81,82
国调.锦屏换流站/511#变压器,2237,7,91,92
国调.锦屏换流站/512#变压器,2261,8,101,102
国调.向家坝电厂/1#变压器,17472,17482,111,112
国调.向家坝电厂/2#变压器,17469,17474,121,122
国调.向家坝电厂/3#变压器,17470,17475,131,132
国调.向家坝电厂/4#变压器,17473,17476,141,142
国调.向家坝电厂/5#变压器,17477,17483,151,152
国调.向家坝电厂/6#变压器,17478,17484,161,162
国调.向家坝电厂/7#变压器,17479,17485,171,172
国调.向家坝电厂/8#变压器,17480,17486,181,182
国调.锦东厂/1#变压器,17440,17448,191,192
国调.锦东厂/2#变压器,17441,17449,201,202
国调.锦东厂/3#变压器,17442,17450,211,212
国调.锦东厂/4#变压器,17443,17451,221,222
国调.锦东厂/5#变压器,17444,17452,231,232
国调.锦东厂/6#变压器,17445,17453,241,242
国调.锦东厂/7#变压器,17446,17454,251,252
国调.锦东厂/8#变压器,17447,17455,261,262
国调.溪洛渡电厂/1#变压器,17514,17490,271,272
国调.溪洛渡电厂/2#变压器,17522,17491,281,282
国调.溪洛渡电厂/3#变压器,17515,17492,291,292
国调.溪洛渡电厂/4#变压器,17516,17493,301,302
国调.溪洛渡电厂/5#变压器,17517,17494,311,312
国调.溪洛渡电厂/6#变压器,17518,17495,321,322
国调.溪洛渡电厂/7#变压器,17519,17496,331,332
国调.溪洛渡电厂/8#变压器,17520,17497,341,342
国调.溪洛渡电厂/9#变压器,17521,17498,351,352
国调.锦西厂/1#变压器,17538,17532,361,362
国调.锦西厂/2#变压器,17539,17533,371,372
国调.锦西厂/3#变压器,17541,17534,381,382
国调.锦西厂/4#变压器,17542,17535,391,392
国调.锦西厂/5#变压器,17544,17536,401,402
国调.锦西厂/6#变压器,17545,17537,411,412
四川.海虹厂/11#变压器,17864,19838,441,442
