ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
1,1,0,0.02,200,0,1,4,0.1,0.1,1,0.01,10,-10,0,1,5.36,-3.67,0.075,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#7
2,2,0.05,0.02,310,1,1,1,1,7.16,1,0.02,10,-10,0,1,5.6,-5,0.042,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
3,3,-0.02,0.02,40,1,1,4,0.1,0.1,5.81,0.02,10,-10,0,1,5.64,-4.8,0.075,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#1
4,4,-0.02,0.02,40,1,1,4,0.1,0.1,6.19,0.02,10,-10,0,1,6.04,-5.29,0.075,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#2
5,5,-0.02,0.02,40,1,1,4,0.1,0.1,5.88,0.02,10,-10,0,1,5.56,-4.97,0.076,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#3
6,6,0,0.02,10,0,1.8,1.8,0.01,0.01,13.04,0.02,20,-20,0,1,6.32,-5.37,0.0855,0,0,1000000,-1000000,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0.02,10,0,1.8,1.8,0.01,0.01,15.56,0.02,20,-20,0,1,6.42,-5.67,0.0855,0,0,1000000,-1000000,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0.02,10,0,1.8,1.8,0.1,0.1,20.115,0.01,20,-20,0,1,5.97,-5.37,0.086,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___3
9,9,0,0.03,10,0,1.8,1.8,0.1,0.1,14.52,0.02,20,-20,0,1,6.17,-4.22,0.086,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#4
10,10,0,0.02,45,0,14.5,14.5,0.1,0.1,1.25,0.01,10,-10,0,1,6.96,-5.42,0.0624,1,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___33_
11,11,0,0.02,45,0,14.85,14.85,0.1,0.01,1,0.02,7.42,-5.7,0,1,7.38,-5.74,0.083,1,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___34_
12,12,0,0.02,4.93,0,1,1,1,1,9,0.01,10,-10,0,1,8.35,-7.07,0.103,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#61
13,13,0,0.02,4.92,0,1,1,1,1,9,0.01,10,-10,0,1,7.89,-6.61,0.103,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#62
14,14,0.05,0.02,20,0,1.2,1,0.1,0.1,1,0.02,10,-10,0,1,5.84,-5.69,0.041,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1
15,15,0.05,0.02,20,0,1.2,1,0.1,0.1,1,0.02,10,-10,0,1,5.38,-5.32,0.041,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1
16,16,0.092,0.02,135,1,2,2,1,4,1,0.02,20,-20,0,1,5.2,-4.4,0.054,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,1,0,0,0,0,0,0,_____
17,17,0,0.02,47,1,0.01,0.01,1,7.01,7.24,0.02,10,-10,0,1,5.886,-4.98,0.044,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___G1_
18,18,0,0.02,30,0,10,10,1,1,1,0.01,7.42,-5.7,0,1,5.8,-4.4,0.068,1,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____
19,19,0.04,0.02,47,1,0.01,0.01,1,7.01,7.24,0.02,10,-10,0,1,5.886,-4.98,0.044,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___G1_
20,20,0.04,0.02,47,1,0.01,0.01,1,7.01,7.24,0.02,10,-10,0,1,5.925,-4.945,0.044,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___G1_
21,21,0.04,0.02,47,1,0.01,0.01,1,7.01,7.24,0.02,10,-10,0,1,5.56,-4.82,0.044,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___G1_
