ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,kh1_feed,kb_adjust,t5_adjust,vrmax,vrmin,ke_exciter,te_exciter,vemax,c1_exciter,c2_exciter,kc_load,kd_exciter,efdmax,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
1,1,0.000000,0.020000,1.000000,0.000000,8.000000,8.000000,0.300000,0.050000,60.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,0.000000,3.380000,0.010000,29.000000,-17.299999,1.000000,1.360000,9999.000000,1.270000,0.000080,0.195000,2.190000,5.080000,0,99999.000000,-99999.000000,99999.000000,-99999.000000,0,0,0,1,1,1,0,0,0,___#32
2,2,-0.030000,0.020000,300.000000,1.000000,4.000000,40.000000,0.300000,0.020000,1.400000,0.020000,10.000000,-10.000000,0.000000,1.000000,0.000000,3.720000,0.010000,42.340000,-9.140000,1.000000,1.360000,7.284000,0.051000,0.118000,0.195000,2.606000,6.070000,0,99999.000000,-99999.000000,99999.000000,-99999.000000,0,0,0,1,1,1,0,0,0,___32_
3,3,-0.010000,0.020000,1100.000000,1.000000,3.000000,30.000000,0.200000,0.030000,1.000000,0.010000,20.000000,-20.000000,0.000000,1.000000,0.000000,1.000000,0.010000,11.808000,-6.197000,1.000000,0.480000,8.281000,0.020540,0.353410,0.337000,2.282000,6.932000,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12__#1
4,4,0.000000,0.020000,300.000000,1.000000,3.000000,30.000000,0.300000,0.060000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,0.000000,1.400000,0.010000,18.100000,-8.000000,1.000000,0.300000,6.770000,0.000609,0.921477,0.300000,1.030000,5.640000,0,99999.000000,-99999.000000,99999.000000,-99999.000000,0,0,0,0,0,0,0,0,0,9__#31
5,5,0.000000,0.020000,27.000000,0.000000,5.000000,5.000000,0.131000,0.030000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,0.000000,2.500000,0.010000,10.300000,-8.900000,1.000000,0.500000,6.102000,0.025080,0.525910,0.142000,1.400000,5.640000,0,99999.000000,-99999.000000,99999.000000,-99999.000000,0,0,0,1,1,2,0,0,0,__#32
6,6,0.000000,0.020000,28.230000,0.000000,3.080000,1.000000,0.120000,0.010000,1.800000,0.010000,10.000000,-10.000000,0.000000,1.000000,0.000000,1.770000,0.010000,30.000000,-30.000000,1.000000,1.000000,6.720000,0.083886,0.318777,0.290000,0.480000,5.600000,0,99999.000000,-99999.000000,99999.000000,-99999.000000,0,0,0,1,1,3,0,0,0,___#12
7,7,-0.002361,0.010000,46.880000,1.000000,3.000000,30.000000,0.200000,0.030000,6.900000,0.010000,20.000000,-20.000000,0.000000,1.000000,0.000000,2.133000,0.010000,9.900000,-8.840000,1.000000,0.260000,6.490000,0.000030,1.641000,0.300000,0.960000,5.530000,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,1,1,4,0,0,0,__#2
8,8,-0.002360,0.010000,46.880000,1.000000,3.000000,30.000000,0.200000,0.030000,6.900000,0.010000,20.000000,-20.000000,0.000000,1.000000,0.000000,2.133000,0.010000,10.943000,-9.848000,1.000000,0.260000,6.450000,0.000030,1.641000,0.300000,0.960000,5.500000,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,1,1,4,0,0,0,__#3
9,9,-0.002360,0.010000,46.880000,1.000000,3.000000,30.000000,0.200000,0.030000,6.900000,0.010000,20.000000,-20.000000,0.000000,1.000000,0.000000,2.133000,0.010000,8.860000,-8.000000,1.000000,0.260000,6.450000,0.000030,1.641000,0.300000,0.960000,5.500000,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,1,1,4,0,0,0,__#4
10,10,-0.040000,0.020000,15.000000,0.000000,0.184000,1.000000,1.816000,0.001000,1.000000,0.010000,20.000000,-20.000000,0.000000,1.000000,0.000000,3.267000,0.010000,27.860000,-8.630000,1.000000,0.440000,7.973000,0.000125,0.395970,0.240200,2.130000,7.002000,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,1,1,5,0,0,0,24_25___
