ID,Par_No,K_REV,DEATH,TR,TB,Topen,TC,VELC,VELO,PMAX,PMIN,TCH,FHP,TRH,FIP,TCO,FLP,LND,TSH,TD,TW,K_MP,TDLY,VMAX,VMIN,Note
1,1,20.000000,0.024000,0.020000,0.020000,0.093000,3.276000,-1.000000,0.800000,1.060000,0.000000,0.200000,0.310000,11.890000,0.690000,1.000000,0.000000,0.900000,10.000000,600.000000,6.000000,3.000000,20.000000,1.110000,0.400000,bpaGOV2
2,2,20.000000,0.024000,0.020000,0.020000,0.380000,0.790000,-1.000000,0.800000,1.060000,0.050000,0.180000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,bpaGOV2
3,3,20.000000,0.024000,0.020000,0.020000,1.093000,0.057000,-1.000000,0.800000,1.060000,0.050000,0.180000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,bpaGOV2
4,4,20.000000,0.024000,0.020000,0.020000,0.389000,0.021000,-1.000000,0.800000,1.060000,0.050000,0.180000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,bpaGOV2
5,5,20.000000,0.024000,0.020000,0.020000,0.716000,0.007000,-1.000000,0.800000,1.060000,0.050000,0.180000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,bpaGOV2
6,6,20.000000,0.024000,0.020000,0.020000,1.580000,0.028000,-1.000000,0.800000,1.060000,0.050000,0.180000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,bpaGOV2
7,7,20.000000,0.018800,0.020000,0.020000,1.978000,0.028000,-1.000000,0.800000,1.060000,0.050000,0.180000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,bpaGOV2
8,8,20.000000,0.005000,0.020000,0.020000,2.000000,2.000000,-1.000000,0.100000,1.050000,-0.050000,0.300000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,___G1
9,9,20.000000,0.001300,0.020000,0.020000,2.000000,2.000000,-1.000000,0.100000,1.050000,-0.050000,0.300000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,___G7
10,10,20.000000,0.001300,0.020000,0.020000,2.000000,2.000000,-3.000000,1.200000,1.050000,-0.050000,0.300000,1.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,___G2
11,11,25.000000,0.002000,0.020000,0.030000,2.000000,1.000000,-1.000000,0.100000,1.050000,-0.030000,0.200000,0.280000,24.000000,0.280000,0.300000,0.440000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,
