ID,Par_No,DEATH,K_REV,T1,KMLD,KP1,KD1,KI1,IMAX1,IMIN1,PMAX1,PMIN1,KMLDF,FFMAX,FFMIN,KMAP,KP2,KD2,KI2,IMAX2,IMIN2,PMAX2,PMIN2,CMAX,CMIN,TC,Topen,VELC,VELO,PMAX,PMIN,TF,KP,KD,KI,IMAX,IMIN,PIDMAX,PIDMIN,TCH,FHP,TRH,FIP,TCO,FLP,LND,TSH,TD,TW,K_MP,TDLY,VMAX,VMIN,T4,Note
1,1,0.001300,22.222221,0.020000,1,0.100000,0.000000,0.125000,1.060000,-1.060000,1.060000,-1.060000,1,0.003700,-0.003700,0,0.200000,0.000000,0.400000,1.060000,0.400000,1.060000,0.400000,1.060000,0.400000,1.700000,1.360000,-1.000000,1.000000,1.060000,0.400000,0.020000,6.500000,0.000000,0.000000,0.000000,0.000000,10.000000,-10.000000,1.200000,0.310000,20.000000,0.690000,1.000000,0.000000,0.500000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,___2#
2,2,0.001300,20.000000,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-1.500000,1.200000,1.050000,-0.040000,0.020000,1.000000,0.000000,0.100000,2.000000,-2.000000,2.000000,-2.000000,0.150000,0.300000,14.400000,0.330000,0.300000,0.370000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
3,3,0.020000,25.000000,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-1.000000,0.100000,1.050000,-0.030000,0.020000,1.000000,0.000000,0.000000,2.000000,-2.000000,2.000000,-2.000000,0.200000,0.270000,16.500000,0.270000,0.500000,0.460000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
4,4,0.003300,20.000000,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-1.000000,0.100000,1.100000,-0.030000,0.020000,1.000000,0.000000,0.000000,2.000000,-2.000000,2.000000,-2.000000,0.200000,0.280000,13.500000,0.280000,0.300000,0.440000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
5,5,0.002000,22.200001,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-1.000000,0.100000,1.050000,-0.030000,0.020000,1.000000,0.000000,0.000000,2.000000,-2.000000,2.000000,-2.000000,0.200000,0.270000,15.600000,0.270000,0.400000,0.460000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
6,6,0.000000,22.200001,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-1.000000,0.100000,1.050000,-0.040000,0.020000,1.000000,0.000000,0.000000,2.000000,-2.000000,2.000000,-2.000000,0.200000,0.300000,9.000000,0.350000,0.300000,0.350000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
7,7,0.000000,22.200001,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-5.000000,1.200000,1.050000,-0.040000,0.020000,1.000000,0.000000,0.000000,2.000000,-2.000000,2.000000,-2.000000,0.200000,0.300000,9.000000,0.350000,0.300000,0.350000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
8,8,0.004000,22.200001,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-1.000000,0.100000,1.050000,-0.040000,0.020000,1.000000,0.000000,0.100000,2.000000,-2.000000,2.000000,-2.000000,0.200000,0.300000,12.200000,0.350000,0.300000,0.350000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
9,9,0.004000,22.200001,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-2.000000,1.200000,1.050000,-0.040000,0.020000,1.000000,0.000000,0.100000,2.000000,-2.000000,2.000000,-2.000000,0.200000,0.300000,12.200000,0.350000,0.300000,0.350000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
10,10,0.001330,20.000000,0.010000,1,0.800000,0.000000,0.066700,2.000000,-2.000000,2.000000,-2.000000,2,0.100000,-1.000000,2,1.000000,0.000000,0.330000,2.000000,-2.000000,2.000000,-2.000000,2.000000,-2.000000,1.000000,2.000000,-1.000000,0.100000,1.050000,-0.040000,0.020000,1.000000,0.000000,0.100000,2.000000,-2.000000,2.000000,-2.000000,0.150000,0.300000,14.400000,0.330000,0.300000,0.370000,0.600000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
