ID,Par_No,T1,DEATH,K_REV,KMCT,KP1,KD1,KI1,IMAX1,IMIN1,PMAX1,PMIN1,K2,FFMAX,FFMIN,TC,Topen,VELC,VELO,PMAX,PMIN,TF,KP,KD,KI,IMAX,IMIN,PIDMAX,PIDMIN,TCH,FHP,TRH,FIP,TCO,FLP,LND,TSH,TD,TW,K_MP,TDLY,VMAX,VMIN,T4,Note
1,1,0.020000,0.001300,20.000000,3,0.160000,0.000000,0.040000,1.050000,-1.000000,1.000000,-1.000000,0.800000,0.004000,-0.004000,2.600000,2.260000,-1.000000,1.000000,1.000000,0.000000,0.020000,10.000000,0.000000,20.000000,1.000000,-1.000000,1.000000,-1.000000,0.250000,0.290000,16.000000,0.710000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,GO1_  4_
2,2,0.020000,0.001300,20.000000,3,0.262500,0.000000,0.046800,1.050000,-1.000000,1.000000,-1.000000,0.570000,0.004000,-0.004000,2.350000,2.310000,-1.000000,1.000000,1.000000,0.000000,0.020000,6.500000,0.000000,10.000000,1.000000,-1.000000,1.000000,-1.000000,0.190000,0.290000,17.000000,0.710000,1.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,GO1_  4_
3,3,0.020000,0.001300,20.000000,3,0.100000,0.000000,0.026600,10.000000,-10.000000,10.000000,-10.000000,1.000000,0.003670,-0.003670,1.130000,1.510000,-1.000000,1.000000,1.000000,0.000000,0.020000,7.000000,0.000000,5.000000,0.100000,-0.100000,10.000000,-10.000000,0.200000,0.310000,11.890000,0.690000,1.000000,0.000000,0.900000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,___#61
4,4,0.020000,0.001300,20.000000,3,0.250000,0.000000,0.100000,1.000000,-1.000000,1.000000,-1.000000,0.450000,0.003000,-0.003000,1.490000,2.100000,-1.000000,1.000000,1.000000,0.000000,0.020000,20.000000,0.000000,30.000000,0.100000,-0.100000,1.000000,-1.000000,0.300000,0.290000,18.000000,0.710000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,___
5,5,0.010000,0.001320,20.000000,3,0.100000,0.000000,0.150000,1.000000,-1.000000,1.000000,-1.000000,0.540000,0.004000,-0.004000,0.700000,0.875000,-1.000000,1.000000,1.000000,0.000000,0.050000,3.500000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.300000,0.310000,10.000000,0.690000,1.000000,0.000000,0.000000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,
6,6,0.020000,0.001320,20.000000,3,0.600000,0.000000,0.066700,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.004000,-0.004000,3.210000,3.570000,-1.000000,1.000000,1.000000,0.000000,0.002000,2.500000,0.000000,25.000000,1.000000,-1.000000,1.000000,-1.000000,0.250000,0.330000,15.000000,0.670000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7,7,0.020000,0.001300,20.000000,3,1.000000,0.000000,0.030000,1.060000,-1.000000,1.000000,-1.000000,0.000000,0.003700,-0.003700,1.040000,2.400000,-1.000000,1.000000,1.000000,0.000000,0.020000,28.000000,0.000000,2.000000,0.100000,-0.100000,2.000000,-2.000000,0.200000,0.310000,12.000000,0.690000,1.000000,0.000000,0.900000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,GOV 1_
8,8,0.020000,0.001300,20.000000,3,1.000000,0.000000,0.030000,1.060000,-1.000000,10.000000,-10.000000,0.000000,0.003700,-0.003700,1.030000,1.090000,-1.000000,1.000000,1.000000,0.000000,0.020000,28.000000,0.000000,2.000000,0.100000,-0.100000,2.000000,-2.000000,0.300000,0.310000,16.000000,0.690000,1.000000,0.000000,0.950000,0.010000,0.010000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,GOV 1_
9,9,0.020000,0.001300,20.000000,3,0.260000,0.000000,0.020000,1.050000,-1.000000,1.000000,-1.000000,0.900000,0.004000,-0.004000,1.990000,2.220000,-1.000000,1.000000,1.000000,0.000000,0.020000,5.000000,0.000000,3.000000,1.000000,-1.000000,1.000000,-1.000000,0.160000,0.294300,24.000000,0.705700,1.000000,0.000000,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,GO1_  4_
10,10,0.020000,0.001300,20.000000,3,0.095000,0.000000,0.006000,1.050000,-1.000000,1.000000,-1.000000,1.200000,0.004000,-0.004000,2.170000,1.960000,-1.000000,1.000000,1.100000,0.000000,0.020000,6.000000,0.000000,3.000000,0.100000,-0.100000,1.000000,-1.000000,0.200000,0.294300,20.000000,0.705700,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,___
