ID,Par_No,TYPE1,TYPE2,TYPE3,T1,TR1,DB1,DB1MAX,DB1MIN,KW,T2,TR2,EP,DB2,DB2MAX,DB2MIN,T3,TR3,BP,DB3,DB3MAX,DB3MIN,KP,KD,KI,TD,INTMAX,INTMIN,PIDMAX,PIDMIN,YC,Tclose,Topen,VELC,VELO,PMAX,PMIN,TF,KP1,KD1,KI1,INTMAX1,INTMIN1,PIDMAX1,PIDMIN1,T4,Tw,Kwtype,At,Tr,YNL,DBWP,DBWN,pchoice,promax1,promin1,promax2,promin2,ratelimp,ratelimn,Note
1,1,0,1,0,0.020000,0.020000,0.000800,0.004000,-0.004000,1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.040000,0.000000,99999.000000,-99999.000000,14.000000,0.000000,9.000000,0.035000,1.100000,-1.100000,1.100000,-1.100000,0.000000,9.260000,29.380000,-1.000000,1.000000,1.000000,-0.030000,0.020000,30.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.020000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
2,2,0,1,1,0.000000,0.020000,0.001000,0.002000,-0.002000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,6.000000,0.000000,6.250000,0.100000,1.100000,-1.100000,1.100000,-1.100000,0.000000,15.000000,15.000000,-1.000000,0.700000,1.050000,-0.030000,0.020000,30.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.300000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
3,3,0,1,1,0.000000,0.020000,0.000800,0.100000,-0.100000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,10.000000,0.000000,5.000000,0.260000,1.200000,-1.000000,1.000000,-1.000000,0.000000,8.850000,8.850000,-1.000000,1.000000,1.000000,-1.000000,0.020000,25.000000,0.000000,0.000000,1.000000,-1.000000,0.430000,-1.000000,0.020000,2.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
4,4,0,1,0,0.000000,0.020000,0.001000,1.000000,-1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.040000,0.000000,99999.900000,-99999.900000,7.000000,0.000000,8.000000,0.350000,1.100000,-1.100000,1.100000,-1.100000,0.000000,22.700000,13.200000,-1.000000,1.000000,1.000000,-0.030000,0.000000,30.000000,0.000000,50.000000,0.100000,-0.100000,10.000000,-10.000000,0.010000,1.800000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,1
5,5,0,1,1,0.020000,0.020000,0.000800,0.003000,-0.003000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,99999.900000,-99999.900000,8.000000,0.000000,6.670000,0.300000,1.100000,-1.100000,1.100000,-1.100000,0.000000,12.500000,20.400000,-1.000000,1.000000,1.100000,-0.030000,0.010000,25.000000,0.000000,0.100000,1.100000,-1.100000,1.100000,-1.100000,0.020000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
6,6,0,1,0,0.000000,0.020000,0.000600,0.004600,-0.004600,1.290000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.030000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,25.000000,0.000000,0.000000,0.075000,1.100000,-1.100000,1.100000,-1.100000,0.000000,6.260000,6.260000,-1.000000,0.510000,1.100000,-0.030000,0.020000,10.000000,0.000000,0.100000,1.100000,-1.100000,1.100000,-1.100000,0.200000,0.500000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
7,7,0,1,0,0.000000,0.020000,0.000600,0.004600,-0.004600,1.290000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.030000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,25.000000,0.000000,0.000000,0.075000,1.100000,-1.100000,1.100000,-1.100000,0.000000,6.950000,6.950000,-1.000000,0.930000,1.050000,-0.030000,0.020000,7.000000,0.000000,0.100000,1.050000,-1.050000,1.050000,-1.050000,0.200000,0.500000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
8,8,0,1,0,0.000000,0.020000,0.000600,0.004600,-0.004600,1.290000,0.000000,0.000000,0.000000,0.000000,9999.000000,-9999.000000,0.030000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,25.000000,0.000000,0.000000,0.075000,1.100000,-1.100000,1.100000,-1.100000,0.000000,14.240000,18.870001,-1.000000,1.000000,1.050000,-0.030000,0.020000,7.000000,0.000000,0.100000,1.050000,-1.050000,1.050000,-1.050000,0.200000,0.500000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
9,9,0,1,1,0.000000,0.020000,0.000800,0.004000,-0.004000,2.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,99999.900000,-99999.900000,6.000000,1.440000,5.000000,0.371000,1.100000,-1.100000,1.100000,-1.100000,0.000000,2.370000,2.760000,-1.000000,1.000000,1.000000,-0.030000,0.020000,3.500000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.200000,2.400000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
10,10,0,1,1,0.000000,0.020000,0.001000,0.002400,-0.002400,2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,9.000000,0.300000,6.000000,0.050000,1.100000,-1.100000,1.000000,0.000000,0.000000,8.200000,23.600000,-1.000000,1.000000,1.100000,0.000000,0.020000,45.000000,0.000000,40.000000,0.000000,-0.300000,1.100000,-1.100000,0.000000,0.800000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,2
11,11,0,1,1,0.000000,0.020000,0.000800,0.002400,-0.002400,2.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,9.000000,0.000000,6.000000,0.300000,1.000000,-1.000000,1.100000,0.000000,0.000000,8.490000,8.690000,-1.100000,1.000000,1.100000,0.000000,0.020000,20.000000,0.000000,0.500000,1.100000,-1.100000,1.100000,-1.100000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,2
12,12,0,1,1,0.000000,0.020000,0.000800,0.002400,-0.002400,2.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,1.000000,-1.000000,9.000000,0.000000,3.000000,0.300000,1.000000,-1.000000,1.100000,0.000000,0.000000,23.000000,10.700000,-1.000000,1.000000,1.100000,0.000000,0.020000,3.800000,0.000000,10.000000,0.007000,0.000000,1.100000,-1.100000,0.000000,0.600000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,9999.900000,-99999.900000,9999.900000,-99999.900000,9999.900000,-99999.900000,2
13,13,0,1,1,0.020000,0.020000,0.004000,0.002500,-0.002500,1.800000,0.020000,0.020000,0.050000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.050000,0.000000,9999.000000,-9999.000000,4.000000,0.000000,1.000000,0.300000,1.100000,-1.100000,1.100000,-1.100000,0.000000,9.000000,9.000000,-1.000000,0.600000,1.100000,-0.030000,0.020000,40.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.500000,1.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
14,14,0,1,0,0.010000,0.010000,0.010000,1.000000,-1.000000,1.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,5.000000,0.000000,2.000000,0.060000,1.000000,-1.000000,1.000000,-1.000000,0.000000,18.500000,19.100000,-1.000000,1.000000,1.050000,-0.030000,0.020000,26.000000,0.000000,0.000000,0.200000,-0.200000,1.100000,-1.100000,0.000000,4.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
15,15,0,1,1,0.020000,0.020000,0.004000,0.004000,-0.004000,1.900000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,4.000000,1.370000,3.300000,0.054000,1.000000,-1.000000,1.100000,-1.000000,0.000000,7.170000,8.210000,-1.000000,1.000000,1.100000,-0.030000,0.020000,6.000000,0.000000,0.000000,1.000000,-1.000000,1.100000,-1.000000,0.000000,0.160000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
16,16,0,1,1,0.020000,0.020000,0.004000,0.004000,-0.004000,1.900000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,5.000000,9.960000,3.300000,0.056000,1.000000,-1.000000,1.100000,-1.000000,0.000000,10.400000,9.660000,-1.000000,1.000000,1.100000,0.000000,0.020000,10.000000,0.000000,0.000000,1.000000,-1.000000,1.100000,-1.000000,0.010000,0.160000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
17,17,0,1,1,0.020000,0.020000,0.004000,0.004000,-0.004000,1.900000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,5.000000,3.810000,3.300000,0.053000,1.000000,-1.000000,1.100000,-1.000000,0.000000,7.850000,8.040000,-1.000000,1.000000,1.100000,0.000000,0.020000,8.000000,0.000000,0.000000,1.000000,-1.000000,1.100000,-1.000000,0.010000,0.160000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
18,18,0,1,1,0.020000,0.020000,0.004000,0.004000,-0.004000,1.900000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,0.020000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,10.000000,5.150000,5.000000,0.023000,1.000000,-1.000000,1.100000,-1.000000,0.000000,8.140000,6.320000,-1.000000,1.000000,1.100000,0.000000,0.020000,10.000000,0.000000,0.000000,1.000000,-1.000000,1.100000,-1.000000,0.010000,0.160000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
19,19,0,1,1,0.000000,0.010000,0.004000,1.000000,-1.000000,1.500000,0.020000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,0.020000,0.000000,0.040000,0.000000,9999.000000,-9999.000000,5.000000,0.000000,0.832000,0.035000,1.100000,-1.100000,1.100000,-1.100000,0.000000,7.000000,16.200001,-1.000000,1.000000,1.100000,-0.030000,0.020000,20.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.500000,1.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
20,20,0,1,1,0.000000,0.020000,0.010000,0.002000,-0.002000,1.600000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,6.000000,0.000000,6.000000,0.371000,1.200000,-1.000000,1.200000,0.000000,0.000000,5.180000,8.780000,-1.000000,1.000000,1.100000,-0.030000,0.020000,10.000000,0.000000,30.000000,1.000000,-0.250000,0.590000,-1.000000,0.000000,0.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
