ID,Par_No,T1,TR1,DB1P,DB1N,MAX1,MIN1,Rti1,Rtd1,mode,T2,TR2,EP,DB2,MAX2,MIN2,Rti2,Rtd2,Kp1,Ki1,Kd1,Td1,Intmax1,Intmin1,Pidmax1,Pidmin1,NMC,NPA,T3,TR3,BP,DB3,MAX3,MIN3,Kp2,Ki2,Kd2,Td2,INTMAX2,INTMIN2,PIDMAX2,PIDMIN2,KW,wcp,wcn,Dbip,Dbin,Tdy1,Tdy2,Maxi,Mini,Kpi,Kii,Kdi,bpi,Kp,Kd,Ki,Intmax,Intmin,Pidmax,Pidmin,Tc,Topen,Tf,Tdy,VELC,VELO,PMAX,PMIN,Y1,Q1,Y2,Q2,Y3,Q3,A,B,Tw,Rti0,Rtd0,Dp1,Dp2,Tqm,Kp3,Ki3,Kd3,Td3,DBhp,T4,Note
1,1,0.010000,0.020000,0.000800,-0.000800,0.002400,-0.002400,9999.900000,-9999.900000,2,0.000000,0.000000,1.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,0.001000,0.001000,0.040000,0.000000,9999.900000,-9999.900000,5.000000,0.625000,0.000000,0.300000,1.000000,-1.000000,1.100000,-1.100000,1.500000,0.010000,-0.010000,0.000000,0.000000,0.500000,999.000000,1.100000,-1.100000,5.100000,0.330000,1.500000,0.010000,30.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,8.330000,8.330000,0.010000,0.200000,-0.400000,0.400000,1.100000,-0.030000,0.100000,0.100000,0.500000,0.500000,1.100000,1.100000,1.000000,0.500000,1.400000,9999.900000,-9999.900000,0.030000,0.050000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,
2,2,0.020000,0.020000,0.000800,-0.000800,999.999023,-999.999023,999.989990,-99.999001,2,0.800000,0.300000,0.040000,0.000000,999.000000,-999.000000,9999.900000,-9999.900000,0.200000,0.120000,0.000000,0.100000,1.100000,-1.100000,1.100000,-1.100000,2,1,0.000000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,5.000000,7.000000,0.000000,0.200000,1.100000,-1.100000,1.100000,-1.100000,1.350000,999.989990,-99.900002,0.000000,0.000000,9999.900000,99.990000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,11.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,4.620000,3.820000,0.020000,0.010000,-1.000000,0.380000,1.000000,-0.003000,0.500000,0.500000,0.800000,0.800000,1.100000,1.100000,0.600000,0.500000,0.500000,999.989990,-99.989998,0.060000,0.000000,0.000000,0.000000,0.100000,0.000000,0.100000,0.000000,0.200000,____1_
3,3,0.010000,0.020000,0.000800,-0.000800,9999.900000,-9999.900000,9999.900000,-9999.900000,2,0.800000,0.300000,0.040000,0.000000,999.000000,-999.000000,9999.900000,-9999.900000,0.200000,0.120000,0.000000,0.100000,1.100000,-1.100000,1.100000,-1.100000,2,1,0.010000,0.020000,0.040000,0.000000,9999.000000,-9999.000000,5.000000,7.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,1.350000,999.900024,-999.900024,0.000000,0.000000,9999.900000,9999.900000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,5.710000,5.710000,0.020000,0.010000,-1.000000,0.430000,1.000000,-1.000000,0.100000,0.100000,0.500000,0.500000,1.100000,1.100000,1.000000,0.800000,0.500000,9999.900000,-9999.900000,0.060000,0.000000,0.000000,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,____2_
4,4,0.010000,0.020000,0.002000,-0.002000,1.100000,-1.100000,9999.000000,-9999.000000,2,0.000000,0.000000,1.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,0.010000,0.020000,0.040000,0.000000,9999.900000,-9999.900000,3.000000,1.000000,1.000000,0.035000,1.100000,-1.100000,1.100000,-1.100000,1.520000,0.010000,-0.010000,0.004000,-0.004000,0.550000,999.000000,9999.000000,-9999.000000,3.000000,0.200000,1.000000,0.010000,30.000000,0.000000,0.000000,1.100000,-1.000000,1.100000,-1.000000,9.600000,14.500000,0.020000,0.500000,-1.000000,1.000000,1.010000,-0.300000,0.100000,0.100000,0.500000,0.500000,1.010000,1.010000,1.000000,0.500000,3.000000,9999.900000,-9999.900000,0.030000,0.050000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,______
5,5,0.010000,0.020000,0.002000,-0.002000,1.100000,-1.100000,9999.000000,-9999.000000,2,0.000000,0.000000,1.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,0.000000,0.020000,0.040000,0.000000,9999.900000,-9999.900000,3.000000,1.000000,1.000000,0.035000,1.100000,-1.100000,1.100000,-1.100000,1.520000,0.010000,-0.010000,0.004000,-0.004000,0.550000,999.000000,9999.000000,-9999.000000,3.000000,0.200000,1.000000,0.010000,50.000000,0.000000,0.000000,1.100000,-1.000000,1.100000,-1.000000,9.600000,14.500000,0.020000,0.500000,-1.000000,1.000000,1.010000,-0.300000,0.100000,0.100000,0.500000,0.500000,1.010000,1.010000,1.000000,0.500000,3.000000,9999.900000,-9999.900000,0.030000,0.050000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,______
6,6,0.020000,0.020000,0.002000,-0.002000,1.100000,-1.100000,9999.000000,-9999.000000,2,0.000000,0.000000,1.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,0.000000,0.020000,0.040000,0.000000,9999.900000,-9999.900000,3.000000,1.000000,1.000000,0.035000,1.100000,-1.100000,1.100000,-1.100000,1.520000,0.010000,-0.010000,0.004000,-0.004000,0.550000,999.000000,9999.000000,-9999.000000,3.000000,0.200000,1.000000,0.010000,30.000000,0.000000,0.000000,1.100000,-1.000000,1.100000,-1.000000,9.350000,15.000000,0.010000,0.500000,-1.000000,1.000000,1.010000,-0.300000,0.100000,0.100000,0.500000,0.500000,1.010000,1.010000,1.000000,0.500000,3.180000,9999.900000,-9999.900000,0.030000,0.050000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,______
7,7,0.020000,0.020000,0.002000,-0.002000,1.100000,-1.100000,9999.900000,-9999.900000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0.000000,0.020000,0.040000,0.000000,9999.900000,-9999.900000,3.000000,1.000000,1.000000,0.035000,1.100000,-1.100000,1.100000,-1.100000,1.520000,0.010000,-0.010000,0.004000,-0.004000,0.550000,9999.000000,9999.000000,-9999.000000,3.000000,0.200000,1.000000,0.010000,30.000000,0.000000,0.000000,1.100000,-1.000000,1.100000,-1.000000,9.350000,15.000000,0.010000,0.020000,-1.000000,1.000000,1.100000,0.000000,0.100000,0.100000,0.500000,0.500000,1.010000,1.010000,1.000000,0.500000,3.180000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,_
8,8,0.010000,0.020000,0.000800,-0.000800,9999.900000,-9999.900000,9999.900000,-9999.900000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.500000,0.020000,0.040000,0.000000,9999.000000,-0.060000,10.000000,12.500000,0.000000,0.050000,1.000000,-1.000000,1.000000,-1.000000,1.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.000000,0.000000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,1.000000,90.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,11.315000,9.590000,0.020000,0.400000,-1.000000,1.000000,1.100000,0.000000,0.460000,0.600000,0.580000,0.800000,0.795000,1.100000,1.000000,0.750000,0.200000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9,9,0.010000,0.020000,0.000800,-0.000800,0.003600,-0.003600,9999.900000,-9999.900000,2,0.000000,0.000000,1.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,0.010000,0.020000,0.040000,0.000000,9999.900000,-9999.900000,4.000000,1.000000,0.000000,0.190000,1.100000,-1.100000,1.100000,-1.100000,1.000000,0.010000,-0.010000,0.000000,0.000000,0.500000,9999.000000,9999.900000,-9999.900000,2.200000,0.150000,0.500000,0.010000,19.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,9.480000,15.000000,0.020000,0.150000,-1.000000,0.530000,1.100000,-0.050000,0.100000,0.100000,0.528500,0.500000,1.000000,1.100000,1.000000,0.500000,1.750000,9999.900000,-9999.900000,0.030000,0.050000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,______
10,10,0.010000,0.020000,0.000800,-0.000800,0.003600,-0.003600,9999.900000,-9999.900000,2,0.000000,0.000000,1.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,0.000000,0.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,0.010000,0.020000,0.040000,0.000000,9999.900000,-9999.900000,4.000000,1.000000,0.000000,0.190000,1.100000,-1.100000,1.100000,-1.100000,1.000000,0.010000,-0.010000,0.000000,0.000000,0.500000,9999.000000,9999.900000,-9999.900000,2.200000,0.150000,0.500000,0.010000,26.000000,0.000000,0.000000,9999.900000,-9999.900000,9999.900000,-9999.900000,8.750000,23.100000,0.020000,0.100000,-0.550000,1.000000,1.100000,-0.050000,0.100000,0.100000,0.577600,0.500000,1.000000,1.100000,1.000000,0.500000,1.500000,9999.900000,-9999.900000,0.030000,0.050000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,______
