ID,Par_No,kl1,ifdlim,ifdinf,B,C,T,kl2,tl1,tl2,valid1,valid2,Note
1,1,15.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,___#32
2,2,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,__#32
3,3,20.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,___#12
4,4,15.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,__#2
5,5,20.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,24_25___
6,6,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
7,7,999.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
8,8,1.000000,10.000000,2.420000,420.000000,0.850000,0.600000,10.000000,0.100000,0.500000,0,1,_______
9,9,40.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2017_11_3______
10,10,20.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,__#10
11,11,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
12,12,20.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,__#1
13,13,20.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,8__#1
14,14,20.000000,-20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
15,15,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
16,16,20.000000,19.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,__2_7_
17,17,20.000000,18.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,__#1
18,18,40.000000,5.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
19,19,1.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
20,20,99.000000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,_29_
21,21,40.000000,12.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
22,22,10.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
23,23,10.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
24,24,40.000000,19.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
25,25,30.000000,8.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
26,26,40.000000,5.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
27,27,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
28,28,10.000000,14.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
29,29,6.500000,8.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
30,30,10.000000,10.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,____6#____
31,31,0.310000,19.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
32,32,99.990000,99.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
33,33,20.000000,999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
34,34,5.600000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
35,35,20.000000,15.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
36,36,52.400000,14.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
37,37,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
38,38,1.000000,7.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
39,39,1.000000,9.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
40,40,1.000000,8.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
41,41,20.000000,5.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,
