ID,Par_No,TS1,VEMAX,TS2,TS3,A,B,TS4,TS5,KSVS,KSD,BMAX,BMAXP,BMINP,BMIN,TS6,DV,KS1,TS7,TS8,TS9,AP,BP,TS13,TS14,TS15,TS16,KS3,VSCSMAX,IERR,KS2,TS10,TS11,TS12,Vscsmin,Note
1,1,0.020000,0.220000,0.100000,0.100000,1,1,1.000000,1.000000,200.000000,0.000000,0.800000,0.500000,0.000000,0.000000,0.060000,0.200000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
2,2,0.020000,0.220000,0.100000,0.100000,1,1,1.000000,1.000000,200.000000,0.000000,1.200000,1.200000,-1.200000,-1.200000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
3,3,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,1.200000,0.150000,-0.150000,-0.150000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
4,4,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,6.240000,0.150000,-0.150000,-5.760000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
5,5,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.150000,0.150000,-0.150000,-0.150000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
6,6,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.250000,0.150000,-0.150000,-0.250000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
7,7,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.300000,0.150000,-0.150000,-0.300000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
8,8,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.600000,0.150000,-0.150000,-0.600000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
9,9,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,1.200000,0.150000,-0.150000,-0.900000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
10,10,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.200000,0.150000,-0.150000,-0.200000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
11,11,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,1.560000,0.150000,-0.150000,-1.200000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
12,12,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.360000,0.150000,-0.150000,-0.360000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
13,13,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.525000,0.150000,-0.150000,-0.525000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
14,14,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,1.925000,0.150000,-0.150000,-1.925000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
15,15,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,1.250000,0.150000,-0.150000,-1.525000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
16,16,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,3.120000,0.150000,-0.150000,-2.880000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
17,17,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.150000,0.150000,-0.150000,-0.310000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
18,18,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,1.480000,0.150000,-0.150000,-1.320000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
19,19,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.210000,0.150000,-0.150000,-0.210000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
20,20,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,2.400000,0.150000,-0.150000,-2.400000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
21,21,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,0.627500,0.150000,-0.150000,-0.627500,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
22,22,0.020000,0.110000,0.100000,0.100000,1,1,1.000000,1.000000,5.000000,0.000000,1.000000,0.150000,-0.150000,-1.000000,0.060000,0.100000,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,
