ID,Par_No,Tr,pmax,pmin,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,uth,uat,tqa,dqr,Kq,T1,T2,Qcmax,Qcmin,qd,tqd,Note
1,1,5.000000,1.000000,0.000000,0.000000,-0.280000,0.250000,-0.280000,0.350000,-0.280000,0.500000,-0.280000,0.650000,-0.268000,0.750000,-0.260000,1.000000,-0.230000,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.050000,0.000000,3.125000,1.000000,__#3
2,2,5.000000,1.000000,0.000000,0.000000,-0.318700,0.212500,-0.297500,0.425000,-0.276200,0.531200,-0.265600,0.637500,-0.255000,0.743700,-0.233700,0.850000,-0.212500,0.500000,0.500000,0.000000,1.562500,10.000000,0.000000,60.000000,0.050000,0.000000,3.125000,1.000000,bpavr1112
3,3,5.000000,1.000000,0.000000,0.000000,-0.222500,0.105900,-0.222500,0.225600,-0.222500,0.450200,-0.222500,0.529700,-0.222500,0.674800,-0.222500,0.900400,-0.095300,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.200000,0.000000,3.125000,1.000000,bpavr1112
4,4,5.000000,1.000000,0.000000,0.000000,-0.233100,0.105900,-0.225600,0.225600,-0.217200,0.450200,-0.201300,0.529700,-0.190700,0.674800,-0.169500,0.900400,-0.095300,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.200000,0.000000,3.125000,1.000000,bpavr1112
5,5,5.000000,1.000000,0.000000,0.000000,-0.286000,0.105900,-0.286000,0.211900,-0.286000,0.450200,-0.286000,0.529700,-0.278500,0.675300,-0.264800,0.900400,-0.148300,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.200000,0.000000,3.125000,1.000000,bpavr1112
6,6,5.000000,1.000000,0.000000,0.000000,-0.275400,0.105900,-0.275400,0.211900,-0.275400,0.450200,-0.275400,0.529700,-0.267900,0.675300,-0.254200,0.900400,-0.148300,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.200000,0.000000,3.125000,1.000000,bpavr1112
7,7,5.000000,1.000000,0.000000,0.000000,-0.286000,0.105900,-0.283500,0.211900,-0.281000,0.450200,-0.275400,0.529700,-0.271700,0.675300,-0.264800,0.900400,-0.148300,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.200000,0.000000,3.125000,1.000000,bpavr1112
8,8,5.000000,1.000000,0.000000,0.000000,-0.349600,0.105900,-0.347100,0.211900,-0.344600,0.450200,-0.339000,0.529700,-0.335200,0.675300,-0.328400,0.900400,-0.180100,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.200000,0.000000,3.125000,1.000000,bpavr1112
9,9,5.000000,1.000000,0.000000,0.000000,-0.177900,0.153300,-0.159500,0.306700,-0.159500,0.460000,-0.159500,0.690000,-0.159500,0.920000,-0.159500,0.999700,0.000000,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.050000,0.000000,3.125000,1.000000,bpavr1112
10,10,5.000000,1.000000,0.000000,0.000000,-0.177900,0.153400,-0.159500,0.306700,-0.159500,0.460100,-0.159500,0.690200,-0.159500,0.920200,-0.159500,1.000000,0.000000,0.500000,0.500000,0.060000,1.562500,10.000000,0.000000,60.000000,0.050000,0.000000,3.125000,1.000000,bpavr1112
