ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
1,1,0.0000,1.013000,0.361300,0.263000,0.746000,0.746000,0.246000,0.209000,0.000000,6.580000,0.070000,0.000000,0.171000,7.666900,1.000000,0.126000,6.833700,0.000000,___2_?
2,2,0.0000,1.037000,0.242000,0.175000,0.619000,0.619000,0.167000,0.171000,0.000000,7.026000,0.068000,0.211000,0.145000,6.900000,1.000000,0.116000,6.900000,0.000000,__________0.005779
3,3,0.0000,1.000000,0.272000,0.184000,0.632000,0.632000,0.197000,0.250200,0.000000,7.797000,0.085000,0.205000,0.064000,6.930000,1.000000,0.000000,2.000000,0.000000,___#1____0.003942_
4,4,0.0000,1.057000,0.314000,0.233000,0.745000,0.745000,0.247000,0.224000,0.001864,10.602000,0.135000,0.336000,0.336000,9.331000,1.000000,0.132000,11.589220,0.000000,__1-1#_
5,5,0.0000,1.997000,0.295700,0.175900,1.930000,0.417700,0.207300,0.214600,0.000000,8.510000,0.030000,0.760000,0.050000,6.400000,1.000000,0.103000,5.800000,0.000000,___32_
6,6,0.0000,1.854800,0.256800,0.169300,1.854800,0.256800,0.169400,0.186700,0.000000,7.880000,0.050000,1.025000,0.050000,7.360000,1.000000,0.073000,7.840000,0.000000,___34_
7,7,0.0000,1.892800,0.275100,0.198500,1.892900,0.275100,0.198500,0.222300,0.000000,8.446000,0.179200,0.938000,0.179200,6.400000,1.000000,0.175000,5.981600,0.000000,___61_
8,8,0.0000,1.104000,0.272000,0.191000,0.653000,0.653000,0.297000,0.238000,0.003483,6.060000,0.067000,0.073000,0.033000,5.910000,1.000000,0.000000,2.000000,0.000000,_____
9,9,0.0000,0.938100,0.353700,0.283900,0.647500,0.647500,0.314400,0.298800,0.000000,3.440000,0.046600,0.094400,0.050000,2.160000,1.000000,0.110000,9.700000,0.000000,_____
10,10,0.0000,1.038000,0.259000,0.163000,0.651000,0.651000,0.186000,0.181000,0.010420,1.313000,0.037000,0.151000,0.151000,6.700000,1.000000,0.000000,2.000000,0.000000,_____
11,11,0.0000,0.985600,0.295500,0.185400,0.619400,0.619400,0.190300,0.188000,0.000000,6.590000,0.102000,0.237000,0.073000,4.970000,1.000000,0.156000,4.910000,0.000000,_____
12,12,0.0000,1.112800,0.296100,0.201900,0.716800,0.716800,0.218400,0.210000,0.000000,6.547000,0.066100,0.326300,0.032600,4.989300,1.000000,0.000000,2.000000,0.000000,_____
