id,name,volt,Eq,R,X,B,I_node,J_node,I_P,I_Q,J_P,J_Q,I_off,J_off,Ih,Pi_meas,Qi_meas,Pj_meas,Qj_meas,I_nd,J_nd,I_bs,J_bs,I_island,J_island,R*,X*,B*
序号,线路名,电压等级,等值线路标志,线路电阻,线路电抗,线路单端电纳,I端所在拓扑节点,J端所在拓扑节点,I端有功功率,I端无功功率,J端有功功率,J端无功功率,I端开断标志,J端开断标志,允许载流量,I端有功功率量测,I端无功功率量测,J端有功功率量测,J端无功功率量测,I端物理节点,J端物理节点,I端计算节点,J端计算节点,I端电气岛号,J端电气岛号,线路电阻标幺值,线路电抗标幺值,线路单端电纳标幺值
1,谭德二线,500,0,0.1522,3.3025,2.84E-05,西南.谭家湾站.500.2846,国调.德阳换流站.500.6424,289.513,-91.26,-289.464,76.372,0,0,4861.53,289.13,-91.9,-287.6,77.08,18887,22949,2846,6424,0,0,0.000055,0.001198,0.078281
2,谭德一线,500,0,0.179,3.36,5.48E-05,西南.谭家湾站.500.2846,国调.德阳换流站.500.6424,283.863,-99.259,-283.807,69.508,0,0,4861.53,285.27,-91.41,-283.69,75.44,18430,22954,2846,6424,0,0,0.000065,0.001219,0.151109
3,德宝直流极1线路,500,0,1.5,22.25,1.90E-04,国调.德阳换流站.500.6424,重庆.宝鸡等值虚厂.500.364,290.335,84.003,-289.785,-181.351,0,0,3835.2,290.37,84.02,-283,108.67,22947,26814,6424,364,0,0,0.000544,0.008073,0.523577
4,泸复二线,500,0,2.0337,26.390001,2.11E-04,西南.泸州站.500.3630,国调.复龙换流站.500.2,-50.846,42.011,50.867,-76.078,0,0,3641.6,-48.71,46.28,49.28,-84.16,18959,17386,3630,2,0,0,0.000738,0.009575,0.582413
5,泸复三线,500,0,2.0143,25.684,2.16E-04,西南.泸州站.500.3630,国调.复龙换流站.500.2,-52.212,41.152,52.235,-78.065,0,0,3641.6,-47.49,45.06,48.33,-83.42,18749,17388,3630,2,0,0,0.000731,0.009318,0.596693
6,泸复一线,500,0,2.0908,26.296101,2.10E-04,西南.泸州站.500.3630,国调.复龙换流站.500.2,-50.973,42.551,50.995,-75.908,0,0,3641.6,-52.37,46.28,49.27,-83.89,18961,17383,3630,2,0,0,0.000759,0.009541,0.578865
7,德宝直流极2线路,500,0,1.5,22.25,1.90E-04,国调.德阳换流站.500.6424,重庆.宝鸡等值虚厂.500.365,282.956,85.94,-282.425,-183.568,0,0,3835.2,282.99,85.96,-275.61,109.71,22952,28024,6424,365,0,0,0.000544,0.008073,0.523577
8,官月Ⅰ线,500,0,0.83,9.88,6.69E-05,国调.官地电厂.500.189,国调.月城站.500.3933,1027.382,166.389,-1024.195,-166.105,0,0,4183.288,1030.7,164.1,-1027.83,-165.62,17402,19374,189,3933,0,0,0.000301,0.003585,0.184517
9,官月Ⅱ线,500,0,0.11,9.88,6.67E-05,国调.官地电厂.500.189,国调.月城站.500.3933,1014.708,241.48,-1014.282,-240.775,0,0,4183.288,1011.1,249.6,-1013.22,-248.43,17403,19376,189,3933,0,0,0.00004,0.003585,0.183737
10,向复一线,500,0,0.606,9.876001,7.80E-05,国调.向家坝.500.277,国调.复龙换流站.500.2,1441.193,-59.658,-1436.618,91.295,0,0,5348.6,1434.4,-46.2,-1432.08,58.64,17468,17384,277,2,0,0,0.00022,0.003583,0.214905
11,向复二线,500,0,0.606,9.876001,7.80E-05,国调.向家坝.500.277,国调.复龙换流站.500.2,1441.193,-59.658,-1436.618,91.295,0,0,5348.6,1443.2,-57.2,-1443.02,68.07,17471,17381,277,2,0,0,0.00022,0.003583,0.214905
