bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,Par_Group,Name_Ctrl,Type_Ctrl,Value_Ctrl,Gen_Model,Gen_Par,AVR_Model,AVR_Par,GOV_Model,GOV_Par,PSS_Model,PSS_Par,Rate_MVA,Rate_MW,Xdp,Xdpp,X2,Tj,P_rate
24,24,1,1,2,1.0867,-25.163,0.1005,0.201,1.1,0.8519,0,0,1.4,-0.49,0,0.0,0,0,,0,0,3,172,12,295,8,115,4,125,258.82,220.0,0.1,0.05,0.05,14.0014,220.00000000000003
25,25,1,1,2,1.0867,-25.162,0.1005,0.201,1.35,-0.22,0,0,1.24,-0.22,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,270.0
37,37,1,1,3,1.01,0.0,0.4868,0.8621,7.4,1.4934,0,0,3.8,-0.38,0,0.0,0,0,,0,0,3,220,11,378,4,35,0,0,1166.0,1050.0,0.2,0.1,0.1,7.922,1480.0
38,38,1,1,2,1.01,1.6791,0.5454,0.8993,7.4,0.3282,0,0,3.8,-0.38,0,0.0,0,0,,0,0,3,220,11,378,4,35,0,0,1166.0,1050.0,0.2,0.1,0.1,7.922,1480.0
39,39,1,1,2,1.01,1.6712,0.201,0.4019,3.7,0.97,0,0,1.9,-0.19,0,0.0,0,0,,0,0,3,1252,0,0,0,0,0,0,660.0,660.0,0.2,0.1,0.1,10.083,740.0
40,40,1,1,2,1.0475,0.16082,0.6029,1.2057,11.1,2.0778,0,0,5.7,-0.57,0,0.0,0,0,,0,0,3,220,11,378,4,35,0,0,1166.0,1050.0,0.2,0.1,0.1,7.922,2220.0
41,41,1,1,2,1.0475,0.1677,0.6029,1.2057,11.1,-0.5697,0,0,5.7,-0.57,0,0.0,0,0,,0,0,3,220,11,378,4,35,0,0,1166.0,1050.0,0.2,0.1,0.1,7.922,2220.0
57,57,1,1,2,1.1017,-10.255999999999998,0.2612,0.6029,2.3773,0.8368,0,0,3.04,-0.66,0,0.0,0,0,,0,0,3,214,12,365,4,27,4,166,100.0,467.0,0.2,0.1,0.1,28.02658,475.46
58,58,1,1,2,1.1017,-10.255999999999998,0.5426,1.2057,3.1829,1.7180000000000002,0,0,4.47,-0.99,0,0.0,0,0,,0,0,3,4,12,6,8,4,4,3,667.0,600.0,0.2,0.1,0.1,9.331,636.58
59,59,1,1,2,1.1017,-10.257,0.1306,0.3014,1.1,0.2972,0,0,1.49,-0.33,0,0.0,0,0,,0,0,3,172,12,295,8,115,4,125,258.82,220.0,0.1,0.05,0.05,14.0014,220.00000000000003
60,60,1,1,2,1.05,-8.4,0.2612,0.5024,5.35,1.7745,0,0,3.63,-0.47,0,0.0,0,0,,0,0,3,220,11,378,4,35,0,0,1166.0,1050.0,0.2,0.1,0.1,7.922,1070.0
61,61,1,1,2,1.05,-8.3931,0.2612,0.5024,5.6,0.3663,0,0,3.48,-1.0,0,0.0,0,0,,0,0,3,220,11,378,4,35,0,0,1166.0,1050.0,0.2,0.1,0.1,7.922,1120.0
70,70,1,1,2,1.1084,-8.8777,0.1306,0.3014,1.29,-0.06,0,0,1.05,-0.11,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,258.0
71,71,1,1,2,1.1084,-8.8793,0.1306,0.3014,1.29,0.5533,0,0,2.04,-0.21,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,258.0
72,72,1,1,2,1.0433,-9.2651,0.1306,0.3014,1.29,-0.11,0,0,2.1,-0.22,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,258.0
73,73,1,1,2,1.0433,-9.2666,0.2612,0.6029,2.58,-0.21,0,0,2.04,-0.21,0,0.0,0,0,,0,0,3,156,12,260,7,80,4,109,722.2,500.0,0.2,0.1,0.1,10.4,516.0
74,74,1,1,2,1.0986,-11.203,1.4971,0.6029,1.12,0.6,0,0,0.6,0.0,0,0.0,0,0,,0,0,3,172,12,295,8,115,4,125,258.82,220.0,0.1,0.05,0.05,14.0014,224.00000000000003
