bus_i,bus_namezx,bus_name,type,Vpu,Pg,Qg,Pd,Qd,type1,Vpu1,Va1,Pg1,Qg1,Pd1,Qd1,match,TypeMismatch
1,四川.一颗印厂.110.14945,一颗印厂/1#变压器.高压端,1,1.008817,0,0,0.000399712,-0.000445871,1,1.0067,12.1163,0,0,0.000399712,-0.000445871,1,
2,四川.一颗印厂.6.14948,一颗印厂.6.3kV.Ⅰ母线,2,0.914984,0.0140952,0,0,0,2,0.911848,12.2802,0.0140952,0.00339962,0,0,1,
3,四川.一颗印厂/1#变压器.中性点,一颗印厂/1#变压器.中性点,1,0,0,0,-0.000105527,0.000356938,1,0.957121,12.2071,0,0,-0.000105527,0.000356938,1,
4,四川.万和厂.10.3044,万和厂.10.5kV.Ⅰ母线,2,0.96354,0.26562,0,0,0,2,0.962375,-5.91795,0.26562,0.00230475,0,0,1,
5,四川.万和厂.10.3045,万和厂.10.5kV.Ⅱ母线,2,0.958538,0.331638,0,0,0,2,0.960648,-5.39348,0.331638,-0.00943505,0,0,1,
6,四川.万和厂.220.3043,万和厂.220kV.Ⅰ母线,1,1.011259,0,0,-0.598578,0.00989571,1,1.01205,-8.05651,0,0,-0.598578,0.00989571,1,
7,四川.万安.10.456,万安.10.5kV.901负荷,1,0.949405,0,0,0.000399345,-0.1293,1,0.95237,-12.8453,0,0,0.000399345,-0.1293,1,
8,四川.万安.10.457,万安.10.5kV.902负荷,1,0.94633,0,0,0.00039966,-0.0632,1,0.948702,-12.6286,0,0,0.00039966,-0.0632,1,
9,四川.万安.110.454,万安.110kV.101负荷,1,0.990844,0,0,0.515202,0.230301,1,0.993289,-12.5492,0,0,0.515202,0.230301,1,
10,四川.万安.110.455,万安.110kV.102负荷,1,0.992713,0,0,0.610103,0.171801,1,0.994671,-12.3559,0,0,0.610103,0.171801,1,
11,四川.万安.220.453,万安.220kV.Ⅰ母线,1,0.999063,0,0,-0.0246802,0.000256331,1,0.99884,-9.07513,0,0,-0.0246802,0.000256331,1,
12,四川.万安/1#变压器.中性点,万安/1#变压器.中性点,1,0,0,0,-0.00225225,0.00270518,1,0.942522,-12.8268,0,0,-0.00225225,0.00270518,1,
13,四川.万安/2#变压器.中性点,万安/2#变压器.中性点,1,0,0,0,-0.000471581,0.00454508,1,0.944708,-12.6209,0,0,-0.000471581,0.00454508,1,
14,四川.万林.10.3049,万林.10.5kV.901负荷,1,0.952144,0,0,-3.39874e-07,-0.0812,1,0.951516,-15.5196,0,0,-3.39874e-07,-0.0812,1,
15,四川.万林.10.3050,万林.10.5kV.902负荷,1,0.952583,0,0,-0,-0,1,0.95132,-15.5458,0,0,-0,-0,1,
16,四川.万林.110.3047,万林.110kV.101负荷,1,0.996902,0,0,0.510802,0.150801,1,0.996456,-15.3109,0,0,0.510802,0.150801,1,
17,四川.万林.110.3048,万林.110kV.102负荷,1,1.001638,0,0,0.510801,0.0161004,1,1.00069,-15.2861,0,0,0.510801,0.0161004,1,
18,四川.万林.220.3046,万林.220kV.Ⅰ母线,1,1.009247,0,0,0.00753333,-0.0283915,1,1.00929,-12.7686,0,0,0.00753333,-0.0283915,1,
19,四川.万林/1#变压器.中性点,万林/1#变压器.中性点,1,0,0,0,-0.00253033,0.00721269,1,0.946416,-15.5123,0,0,-0.00253033,0.00721269,1,
20,四川.万林/2#变压器.中性点,万林/2#变压器.中性点,1,0,0,0,-0.00655214,0.0058272,1,0.95132,-15.5458,0,0,-0.00655214,0.0058272,1,
21,四川.万福.110.9803,万福.110kV.101负荷,1,0.997092,0,0,0.517201,0.0882006,1,0.998147,-12.7859,0,0,0.517201,0.0882006,1,
22,四川.万福.110.9804,万福.110kV.102负荷,1,0.997088,0,0,0.409101,0.0448006,1,0.998153,-12.7709,0,0,0.409101,0.0448006,1,
23,四川.万福.220.9802,万福.220kV.Ⅰ母线,1,1.00125,0,0,-0.0525364,-0.0085851,1,1.00212,-11.1225,0,0,-0.0525364,-0.0085851,1,
24,四川.万福.35.9805,万福.35kV.301负荷,1,0.98598,0,0,0.000100076,-0.000800106,1,0.986946,-12.929,0,0,0.000100076,-0.000800106,1,
25,四川.万福.35.9806,万福.35kV.302负荷,1,0.984329,0,0,0.0980001,0.0398998,1,0.985427,-13.1022,0,0,0.0980001,0.0398998,1,
26,四川.万福/1#变压器.中性点,万福/1#变压器.中性点,1,0,0,0,0.00309234,0.00238783,1,0.948463,-12.9287,0,0,0.00309234,0.00238783,1,
27,四川.万福/2#变压器.中性点,万福/2#变压器.中性点,1,0,0,0,0.000440338,0.00218334,1,0.94862,-12.8832,0,0,0.000440338,0.00218334,1,
28,四川.三圣.10.6327,三圣.10.5kV.902负荷,1,0.984471,0,0,0.1281,-0.123,1,0.98422,-19.0485,0,0,0.1281,-0.123,1,
29,四川.三圣.110.6324,三圣.110kV.102负荷,1,1.014912,0,0,1.4216,0.3071,1,1.01557,-17.372,0,0,1.4216,0.3071,1,
30,四川.三圣.220.6323,三圣.220kV.Ⅰ母线,1,1.005493,0,0,1.70154,0.411917,1,1.00654,-12.0858,0,0,1.70154,0.411917,1,
31,四川.三圣/2#变压器.中性点,三圣/2#变压器.中性点,1,0,0,0,0.00224873,0.0107954,1,0.96429,-17.7665,0,0,0.00224873,0.0107954,1,
32,四川.三地风电厂.220.12470,三地风电厂.220kV.Ⅰ母线,1,0.996719,0,0,0.00204122,-0.00139991,1,0.990325,19.3941,0,0,0.00204122,-0.00139991,1,
33,四川.三地风电厂.35.12471,三地风电厂.35kV.Ⅱ母线,2,0.970402,0.00541653,0,0,0,2,0.964768,19.4573,0.00541653,0.0338289,0,0,1,
34,四川.三地风电厂.35.19798,三地风电厂.35kV.Ⅰ母线,2,0.968226,0.0039715,0,0,0,2,0.962615,19.448,0.0039715,0.0161636,0,0,1,
35,四川.三垭河厂.10.6121,三垭河厂.10.5kV.1#机组,2,0.970902,0,0,0,0,2,0.951395,22.2379,0,0,0,0,1,
36,四川.三垭河厂.10.6122,三垭河厂.10.5kV.2#机组,2,0.966458,0,0,0,0,2,0.952144,21.4983,0,0,0,0,1,
37,四川.三垭河厂.110.6119,三垭河厂.110kV.Ⅰ母线,1,1.013427,0,0,-0.00136034,0.00719503,1,0.998884,20.2069,0,0,-0.00136034,0.00719503,1,
38,四川.三垭河厂.35.6120,三垭河厂.35kV.Ⅰ母线,1,0.917206,0,0,0.00145388,0.0112851,1,0.899794,22.1428,0,0,0.00145388,0.0112851,1,
39,四川.三垭河厂/1#变压器.中性点,三垭河厂/1#变压器.中性点,1,0,0,0,-0.0751537,0.00421508,1,0.951395,22.2379,0,0,-0.0751537,0.00421508,1,
40,四川.三垭河厂/2#变压器.中性点,三垭河厂/2#变压器.中性点,1,0,0,0,-0.09332,-0.0123362,1,0.952144,21.4983,0,0,-0.09332,-0.0123362,1,
41,四川.上通坝厂.10.18626,上通坝厂.10.5kV.Ⅱ母线,2,0.956666,0.791475,0,0,0,2,0.942038,44.2461,0.791475,0.0463554,0,0,1,
