Par_Group,Name_Ctrl,Type_Ctrl,Value_Ctrl,Gen_Model,Gen_Par,AVR_Model,AVR_Par,GOV_Model,GOV_Par,PSS_Model,PSS_Par,Rate_MVA,Rate_MW,Xdp,Xdpp,X2,Tj
0,,0,0,3,220,11,377,4,34,4,173,1166,1050,0.2,0.1,0.1,7.922
0,,0,0,3,220,11,378,4,35,0,0,1166,1050,0.2,0.1,0.1,7.922
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,1694,12,62,8,185,4,29,888.9,1000,0.2,0.1,0.1,7.704
0,,0,0,3,220,12,42,4,7,4,21,1166,1000,0.2,0.1,0.1,7.922
0,,0,0,3,220,12,42,4,7,4,21,1166,1000,0.2,0.1,0.1,7.922
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,0,0,0,0,0,0,0,0,1100,1000,0.0001,0.0001,0.0001,999999.875
0,,0,0,3,40,12,62,8,25,4,29,888.9,800,0.2,0.1,0.1,7.704
0,,0,0,3,40,12,63,8,26,4,29,888.9,800,0.2,0.1,0.1,7.704
0,,0,0,3,40,12,64,8,27,4,30,888.9,800,0.2,0.1,0.1,7.704
0,,0,0,3,40,12,65,8,28,4,29,888.9,800,0.2,0.1,0.1,7.704
0,,0,0,3,41,12,66,8,29,4,31,888.9,800,0.2,0.1,0.1,8.501
0,,0,0,3,41,12,67,8,30,4,31,888.9,800,0.2,0.1,0.1,8.501
0,,0,0,3,41,12,68,8,31,4,31,888.9,800,0.2,0.1,0.1,8.501
0,,0,0,3,41,12,69,8,30,4,31,888.9,800,0.2,0.1,0.1,8.501
0,,0,0,3,37,12,51,8,19,4,27,855.6,770,0.2,0.1,0.1,9
0,,0,0,3,37,12,52,8,20,4,27,855.6,770,0.2,0.1,0.1,9
0,,0,0,3,37,12,53,8,20,4,27,855.6,770,0.2,0.1,0.1,9
0,,0,0,3,37,12,54,8,20,4,27,855.6,770,0.2,0.1,0.1,9
0,,0,0,3,37,12,55,8,21,4,27,855.6,770,0.2,0.1,0.1,9
0,,0,0,3,37,12,56,8,20,4,27,855.6,770,0.2,0.1,0.1,9
0,,0,0,3,38,12,57,8,22,4,27,855.6,770,0.2,0.1,0.1,9.09
0,,0,0,3,38,12,58,8,23,4,27,855.6,770,0.2,0.1,0.1,9.09
0,,0,0,3,38,12,59,8,24,4,27,855.6,770,0.2,0.1,0.1,9.09
0,,0,0,3,1252,0,0,0,0,0,0,660,660,0.2,0.1,0.1,10.083
0,,0,0,3,1252,0,0,0,0,0,0,660,660,0.2,0.1,0.1,10.083
0,,0,0,3,193,12,329,3,1,4,144,100,660,0.2,0.1,0.1,83.9752
0,,0,0,3,194,12,330,3,1,4,144,100,660,0.2,0.1,0.1,59.79
0,,0,0,3,226,12,388,1,7,4,179,100,660,0.2,0.1,0.1,55.389
0,,0,0,3,227,12,389,1,7,4,179,100,660,0.2,0.1,0.1,55.389
0,,0,0,3,223,12,383,4,38,4,177,100,660,0.2,0.1,0.1,55.6349
0,,0,0,3,224,12,384,4,38,4,178,100,660,0.2,0.1,0.1,55.6349
0,,0,0,3,231,12,395,8,124,4,184,722.3,650,0.2,0.1,0.1,10.3
0,,0,0,3,239,12,403,8,124,4,184,722.3,650,0.2,0.1,0.1,10.3
0,,0,0,3,239,12,405,8,124,4,188,722.3,650,0.2,0.1,0.1,10.3
0,,0,0,3,239,12,408,8,124,4,184,722.3,650,0.2,0.1,0.1,10.3
0,,0,0,3,156,12,260,8,102,4,109,722.2,650,0.2,0.1,0.1,10.4
0,,0,0,3,156,12,261,8,103,4,109,722.2,650,0.2,0.1,0.1,10.4
0,,0,0,3,156,12,262,8,104,4,109,722.2,650,0.2,0.1,0.1,10.4
0,,0,0,3,156,12,263,8,105,4,109,722.2,650,0.2,0.1,0.1,10.4
0,,0,0,3,4,12,6,8,4,4,3,667,600,0.2,0.1,0.1,9.331
0,,0,0,3,4,12,7,8,5,4,3,667,600,0.2,0.1,0.1,9.331
0,,0,0,3,4,12,8,8,6,4,4,667,600,0.2,0.1,0.1,9.331
0,,0,0,3,4,12,9,8,7,4,4,667,600,0.2,0.1,0.1,9.331
0,,0,0,3,32,12,46,8,16,4,24,667,600,0.2,0.1,0.1,7.71
0,,0,0,3,32,12,76,8,32,4,24,667,600,0.2,0.1,0.1,7.71
0,,0,0,3,32,12,77,8,33,4,24,667,600,0.2,0.1,0.1,7.71
0,,0,0,3,32,12,78,8,33,4,24,667,600,0.2,0.1,0.1,7.71
0,,0,0,3,32,12,79,8,34,4,24,667,600,0.2,0.1,0.1,7.71
0,,0,0,3,32,12,80,8,35,4,24,667,600,0.2,0.1,0.1,7.71
0,,0,0,3,32,12,82,8,34,4,35,667,600,0.2,0.1,0.1,7.71
0,,0,0,3,32,12,81,8,36,4,35,666.7,600,0.2,0.1,0.1,7.71
0,,0,0,3,81,12,138,8,59,4,63,666.7,600,0.2,0.1,0.1,9
0,,0,0,3,81,12,139,8,60,4,63,666.7,600,0.2,0.1,0.1,9
0,,0,0,3,81,12,140,8,61,4,64,666.7,600,0.2,0.1,0.1,9
0,,0,0,3,81,12,141,8,62,4,64,666.7,600,0.2,0.1,0.1,9
0,,0,0,3,81,12,142,8,63,4,64,666.7,600,0.2,0.1,0.1,9
0,,0,0,3,81,12,143,8,64,4,64,666.7,600,0.2,0.1,0.1,9
0,,0,0,3,85,12,147,4,11,4,67,666.7,600,0.2,0.1,0.1,8.38
0,,0,0,3,85,12,148,4,12,4,67,666.7,600,0.2,0.1,0.1,8.38
0,,0,0,3,190,12,325,4,22,4,143,666.7,600,0.2,0.1,0.1,7.718
0,,0,0,3,165,12,279,4,17,4,114,666.67,600,0.2,0.1,0.1,8
0,,0,0,3,166,12,280,4,18,4,114,666.67,600,0.2,0.1,0.1,8
0,,0,0,3,7,12,12,4,3,4,6,666.67,600,0.2,0.1,0.1,6.4
