Bus_Name,Vm,Va,P,Q
四川.一颗印厂.110.14945,1.0589,-8.19075,-1.27095e-10,-8.13969e-10
四川.一颗印厂.6.14948,0.960667,-8.0625,-0.01243,-0.0123498
四川.一颗印厂/1#变压器.中性点,1.00766,-8.11975,2.13606e-10,-2.34905e-11
四川.万和厂.10.3044,1.0117,-24.0882,-0.53002,-0.168619
四川.万和厂.10.3045,1.0065,-23.0879,-0.66358,-0.135166
四川.万和厂.220.3043,1.04237,-28.002,3.62427e-10,-2.622e-08
四川.万安.10.456,0.973391,-32.5822,-0.00213,-0.1234
四川.万安.10.457,0.970268,-32.3792,-0.00158,-0.05684
四川.万安.110.454,1.01197,-32.8187,0.51257,0.23652
四川.万安.110.455,1.01536,-32.6144,0.608,0.17845
四川.万安.220.453,1.0228,-29.0172,-8.47204e-09,-5.66044e-08
四川.万安/1#变压器.中性点,0.96419,-32.5764,1.71633e-09,-2.50145e-09
四川.万安/2#变压器.中性点,0.966753,-32.3796,2.61752e-09,-4.448e-11
四川.万林.10.3049,0.968325,-35.3124,0.00154,-0.08505
四川.万林.10.3050,0.968105,-35.3412,0.00019,-0.0045
四川.万林.110.3047,1.01203,-35.4838,0.51224,0.1461
四川.万林.110.3048,1.01783,-35.5901,0.51091,0.01081
四川.万林.220.3046,1.02562,-32.6164,-1.73162e-08,-7.37413e-08
四川.万林/1#变压器.中性点,0.963078,-35.2993,8.74615e-09,7.67869e-10
四川.万林/2#变压器.中性点,0.967824,-35.3401,4.96055e-09,-7.41892e-10
四川.万福.110.9803,1.0023,-34.042,0.51167,0.08564
四川.万福.110.9804,1.00277,-33.9716,0.40279,0.04216
四川.万福.220.9802,1.00675,-32.1653,7.333e-10,4.60632e-08
四川.万福.35.9805,0.991935,-33.8944,-0.00531,-0.0027
四川.万福.35.9806,0.990481,-34.0669,0.09165,0.03798
四川.万福/1#变压器.中性点,0.953183,-33.9061,3.07621e-09,4.4067e-09
四川.万福/2#变压器.中性点,0.953391,-33.8642,3.54918e-09,2.94355e-09
四川.三圣.10.6327,0.992225,-40.0749,0.13542,-0.12895
四川.三圣.110.6324,1.02024,-39.1208,1.42888,0.30016
四川.三圣.220.6323,1.01363,-33.0972,1.7113,0.439429
四川.三圣/2#变压器.中性点,0.971515,-38.7408,-3.74323e-08,-1.00672e-07
四川.三地风电厂.220.12470,1.01877,-0.321649,3.06272e-10,-1.82666e-10
四川.三地风电厂.35.12471,0.993183,-0.258117,-0.00589,-0.04858
四川.三地风电厂.35.19798,0.991187,-0.260598,-0.00525,-0.03058
四川.三垭河厂.10.6121,1.0194,2.55649,-0.07585,0.00683558
四川.三垭河厂.10.6122,1.0148,2.04368,-0.09371,0.00735276
四川.三垭河厂.110.6119,1.07059,0.157718,-2.21175e-09,-2.44066e-09
四川.三垭河厂.35.6120,0.96557,2.03646,-6.81122e-14,-1.95399e-13
四川.三垭河厂/1#变压器.中性点,1.02019,1.95499,5.13078e-09,1.0061e-09
四川.三垭河厂/2#变压器.中性点,1.01565,1.29401,-2.87641e-10,-2.91074e-11
四川.上通坝厂.10.18626,1.0045,27.8304,-1.58624,-0.2665
四川.上通坝厂.10.18627,1.0172,23.243,-0.79543,-0.313704
四川.上通坝厂.220.18625,1.04056,18.7923,1.28857e-09,-1.19779e-08
四川.下坪.10.5078,1.05623,-2.49261,0.00505,-0.0989
四川.下坪.10.5079,1.05622,-2.49575,0.00502,-0.09713
四川.下坪.110.5076,1.0515,-2.24062,-0.70534,0.06171
四川.下坪.110.5077,1.05153,-2.2495,-0.6985,0.05989
四川.下坪.220.5075,1.03637,-5.46061,5.92577e-09,6.48205e-09
四川.下坪/1#变压器.中性点,1.05158,-2.47605,1.82568e-09,-6.29439e-09
四川.下坪/2#变压器.中性点,1.05154,-2.4727,1.77521e-09,-6.58355e-09
四川.下大沟光伏厂.10.14484,0.965361,9.11012,1.22202e-12,-8.30003e-13
四川.下大沟光伏厂.220.14448,1.03516,6.64284,6.19252e-10,-1.31161e-09
四川.下大沟光伏厂.35.14450,1.01363,9.11012,-0.21737,-0.0861781
四川.下孟.10.4388,1.01099,-13.0369,0.00272,0.00125
四川.下孟.10.4389,1.01099,-13.0264,0.00272,0.00123
四川.下孟.110.4386,1.06364,-12.9762,-0.12435,0.03313
四川.下孟.110.4387,1.06363,-12.9655,-0.12596,0.03311
四川.下孟.220.4385,1.05488,-13.6536,-1.09221e-08,2.32438e-08
四川.下孟/1#变压器.中性点,1.01106,-13.0173,7.10364e-09,-1.04504e-09
四川.下孟/2#变压器.中性点,1.01107,-13.0277,7.09352e-09,-1.04836e-09
四川.下索子厂.10.3843,1.0109,-6.77336,-0.243128,-0.115913
四川.下索子厂.220.3830,1.04906,-7.93529,-3.0669e-09,1.5577e-08
四川.下索子厂.35.3842,1.05107,-6.94137,0.0577,-0.00571
四川.下索子厂.6.3846,1.0185,-3.11967,-0.01318,-0.00143946
四川.下索子厂/1#变压器.中性点,1.00993,-6.75624,-1.22702e-05,-1.56389e-06
四川.东兴.110.3895,1.02408,-26.5181,0.73935,0.33035
四川.东兴.110.3896,1.02198,-26.5196,0.73414,0.31636
四川.东兴.220.3894,1.02905,-23.0295,1.18739e-09,-3.19457e-08
四川.东兴.35.3897,1.02415,-26.2689,0.001,-0.18781
四川.东兴.35.3898,1.02009,-26.2694,0.00139,-0.14681
四川.东兴/2#变压器.中性点,0.975753,-26.256,4.23073e-10,-3.49183e-09
四川.东兴/3#变压器.中性点,0.973671,-26.2578,5.88464e-10,-3.42175e-09
四川.东坡.220.788,1.01367,-21.6755,1.6811e-07,2.88875e-07
四川.东坡.35.791,0.987397,-21.3068,-0.01464,-0.02359
四川.东坡.500.786,1.01464,-17.915,-5.13238e-07,-7.64824e-06
四川.东坡/1#变压器.中性点,1.0138,-21.3494,2.44438e-09,-8.3962e-08
四川.东坡/2#变压器.中性点,1.01379,-21.3421,-5.09374e-10,-1.03382e-07
四川.东客牵引站.220.19775,1.01409,-33.0503,0.12915,-0.01438
四川.东客牵引站.220.7085,1.01382,-33.1035,0.03741,-0.00779
四川.东山.220.5186,1.02618,-28.5756,0.33951,-3.00063e-05
四川.东岳厂.20.820,1.00635,-22.7227,-1.7345,0.259017
四川.东岳厂.20.822,1.06376,-26.4708,0.00697,0.00056
四川.东岳厂.220.819,1.01753,-26.4573,-2.29363e-11,-1.38043e-08
四川.东郊.10.4220,1.03959,-42.2178,0.00275,-0.1856
四川.东郊.10.4221,1.03534,-42.2014,0.00277,-0.08795
四川.东郊.10.4222,0.962301,-45.331,1.11824,0.0497499
四川.东郊.110.4217,1.08265,-42.5706,1.18706,0.18681
四川.东郊.110.4218,1.08377,-42.5658,1.19311,0.0853599
四川.东郊.110.4219,1.02028,-41.8674,0.00431,-0.21831
四川.东郊.220.4216,0.993036,-36.3905,-3.11898e-08,-8.28281e-07
四川.东郊/1#变压器.中性点,1.03103,-42.1885,-2.17719e-07,-1.77729e-07
四川.东郊/2#变压器.中性点,1.03057,-42.1985,-2.13877e-07,-1.77468e-07
四川.东郊/3#变压器.中性点,0.968292,-41.8588,7.22736e-08,-1.3165e-07
四川.东风厂.10.784,1.0064,-8.79654,-0.06658,-0.0986296
四川.东风厂.220.782,1.04255,-9.91225,-1.40069e-10,-1.01779e-08
四川.东风厂.35.783,1.04479,-8.5151,-0.05079,0.01082
四川.东风厂/1#变压器.中性点,1.00512,-8.83393,2.78474e-10,3.81296e-09
四川.两河口.220.9791,1.04827,-7.98759,7.96341e-09,4.36538e-08
四川.中电熊猫.220.18612,1.01015,-33.2692,0.97596,0.17276
四川.丰岩堡厂.10.6386,0.978,-15.3956,-0.20731,-0.108363
四川.丰岩堡厂.10.6387,1.0003,-15.5419,-0.21639,-0.0430175
四川.丰岩堡厂.110.6384,1.02867,-15.1785,-2.69424e-10,-1.13317e-09
四川.丰岩堡厂.220.6383,1.05065,-15.9805,-1.69473e-09,8.19165e-09
四川.丰岩堡厂.35.6385,1.03904,-15.9805,3.50808e-12,-4.60076e-12
四川.丰岩堡厂/1#变压器.中性点,0.977029,-15.4344,2.17572e-07,1.21032e-07
四川.丰收.10.7172,0.973844,-26.2096,0.00387,-0.0929499
四川.丰收.10.7173,0.968767,-26.1916,0.00156,-0.00186
四川.丰收.110.7170,1.01762,-26.3159,0.32463,0.12637
四川.丰收.110.7171,1.01881,-26.3155,0.32746,0.03105
四川.丰收.220.7169,1.02107,-24.3536,-1.7508e-08,-5.29842e-08
四川.丰收/1#变压器.中性点,0.968185,-26.1858,4.46133e-09,-2.38049e-09
四川.丰收/2#变压器.中性点,0.968655,-26.1857,2.36186e-09,-5.61442e-10
四川.丰谷.220.920,1.02434,-30.0606,1.53934,0.18184
四川.临巴厂.20.1583,1.02265,-21.4945,-1.74527,0.415455
四川.临巴厂.500.1581,1.015,-25.4286,-3.24535e-09,-1.69131e-08
四川.临邛.10.1588,0.958734,-31.6919,0.03084,-0.13882
四川.临邛.10.1589,0.966656,-31.8278,0.05356,-0.13378
四川.临邛.110.1586,0.998281,-31.8629,0.8198,0.15255
四川.临邛.110.1587,1.002,-31.7645,0.79822,0.1127
四川.临邛.220.1584,1.01082,-26.9075,7.74172e-11,-5.64989e-09
四川.临邛/1#变压器.中性点,0.953514,-31.4978,8.74913e-10,-3.12951e-10
四川.临邛/2#变压器.中性点,0.950159,-31.5349,-3.65521e-11,-1.59193e-09
四川.丹巴.220.7654,1.04287,-5.58542,-7.38248e-10,-1.39814e-09
四川.丹巴.35.7660,0.942891,-6.09746,4.01346e-14,-8.17124e-14
四川.丹巴.500.7649,1.04218,-8.80497,2.05631e-11,-4.08079e-10
四川.丹巴/1#变压器.中性点,0.991449,-6.10754,9.37532e-10,-1.75362e-10
四川.丹巴/2#变压器.中性点,0.989849,-6.10994,9.83895e-10,-1.79682e-10
四川.丹景.220.640,1.02957,-28.1016,8.66996e-08,2.17898e-07
四川.丹景.35.647,1.06179,-27.593,1.05471e-15,1.19478e-11
四川.丹景.35.648,1.06221,-27.5994,1.94289e-16,1.21148e-11
四川.丹景.35.651,1.06082,-27.6346,6.10623e-16,1.83498e-11
四川.丹景.500.634,1.01775,-23.1555,-8.59196e-08,-4.33463e-07
四川.丹景/1#变压器.中性点,1.03084,-27.5635,-2.05965e-08,-8.26038e-08
四川.丹景/2#变压器.中性点,1.03078,-27.5695,-2.0987e-08,-8.76441e-08
四川.丹景/3#变压器.中性点,1.03089,-27.5986,-1.93297e-08,-6.83353e-08
四川.久铁厂.10.3798,1.0185,-1.52836,-0.22137,-0.191665
四川.久铁厂.220.3797,1.03108,-4.07492,1.15695e-09,-7.52421e-09
四川.乐德.110.5932,1.04415,-27.3626,0.4556,0.01816
四川.乐德.110.5933,1.04431,-27.3706,0.45442,0.01705
四川.乐德.220.5925,1.03252,-24.6857,-2.20934e-08,-1.86832e-07
四川.乐德.35.5936,1.03352,-27.2848,0.02828,-0.00956
四川.乐德.35.5937,1.03371,-27.2945,0.02907,-0.01012
四川.乐德/1#变压器.中性点,0.992766,-27.1958,-3.82574e-09,-2.73621e-09
四川.乐德/2#变压器.中性点,0.992916,-27.2024,-3.81942e-09,-2.66647e-09
四川.九岭.10.5263,0.928593,-31.0875,0.00025,0.00154
四川.九岭.10.5264,0.974118,-31.1294,0.00288,-0.08645
四川.九岭.110.5261,0.977207,-31.2171,0.2889,-0.03617
四川.九岭.110.5262,1.01852,-31.2207,0.29128,0.09627
四川.九岭.220.5260,1.0191,-29.534,-4.99216e-09,-1.37195e-08
四川.九岭/1#变压器.中性点,0.96883,-31.1113,1.38229e-09,5.53314e-10
四川.九岭/2#变压器.中性点,0.928693,-31.0867,8.49531e-09,1.37732e-09
四川.九里.110.1388,1.07833,-17.6051,0.64522,0.16306
四川.九里.110.1389,1.07796,-18.3847,0.6304,0.13109
四川.九里.220.1387,1.03811,-13.1967,-5.91635e-09,-1.00412e-07
四川.九里.35.1390,1.0638,-18.6072,0.11752,0.05138
四川.九里.35.1391,1.06727,-17.4381,0.01818,0.01392
四川.九里/1#变压器.中性点,1.02667,-17.369,-9.82288e-09,-2.05055e-08
四川.九里/2#变压器.中性点,1.02596,-18.1694,-1.46455e-08,-2.78457e-08
四川.九龙.220.1399,1.05848,-1.75237,-8.32897e-09,3.43972e-07
四川.九龙.500.1394,1.05795,-5.76484,-3.99166e-08,9.49733e-08
四川.九龙/1#变压器.中性点,1.00777,-2.03945,1.60427e-08,1.06828e-07
四川.九龙/2#变压器.中性点,1.00778,-2.13615,-4.73177e-09,9.71347e-08
四川.乡城.220.7883,1.03619,13.8571,-1.1623e-08,3.00576e-08
四川.乡城.35.7891,0.919687,13.2269,2.98706e-13,-6.9349e-12
四川.乡城.35.7892,0.921088,13.3581,2.87714e-13,-7.28662e-12
四川.乡城.500.7879,1.03529,9.8054,-5.31794e-09,-3.7637e-08
四川.乡城/1#变压器.中性点,0.982747,13.3315,-6.56905e-09,-1.11051e-08
四川.乡城/2#变压器.中性点,0.982272,13.2004,-6.17893e-09,-1.05462e-08
四川.争西.10.16816,1.0309,11.4522,-0.09717,0.17098
四川.争西.110.16815,1.04513,11.1092,-0.15435,-0.19774
四川.争西.220.16814,1.0399,9.37122,8.24447e-10,1.37648e-09
四川.争西/1#变压器.中性点,1.04321,11.0394,-2.15012e-10,-1.0271e-09
四川.二台山.10.882,0.999937,-29.2594,0.03233,-0.14172
四川.二台山.110.880,1.03798,-29.4274,0.63495,0.49509
四川.二台山.220.878,1.04391,-25.5096,-1.30329e-08,1.16079e-08
四川.二台山/1#变压器.中性点,0.99117,-29.129,-9.0459e-10,-4.13371e-09
四川.二道桥厂.10.877,1.0048,-12.7789,-0.23669,0.00826877
四川.二道桥厂.220.876,1.05829,-15.0223,3.51701e-10,-4.73636e-09
四川.二重.10.896,0.980387,-32.4884,0.2231,0.06652
四川.二重.220.893,1.01422,-29.5937,-3.27594e-09,-1.07061e-08
四川.二重.35.894,0.97699,-31.5022,0.29,0.21258
四川.二重.35.895,0.981693,-31.9066,0.25791,0.12353
四川.云台.10.16838,0.979378,-28.8578,-0.00638,-0.0923999
四川.云台.10.16839,0.960162,-28.8527,-0.00538,-0.00327
四川.云台.110.16836,1.00867,-29.0644,0.68859,0.18361
四川.云台.110.16837,1.00867,-29.0774,0.69203,0.10087
四川.云台.220.16833,1.01756,-25.819,7.34559e-08,-2.0818e-07
四川.云台/1#变压器.中性点,0.959681,-28.9169,2.68534e-08,1.51598e-08
四川.云台/2#变压器.中性点,0.95943,-28.9218,2.84917e-08,2.61543e-08
四川.云潭二期.22.7364,0.989909,-19.2165,-3.33125,0.0281982
四川.云潭二期.500.7363,1.01674,-23.0581,1.91062e-09,-1.58721e-07
四川.云潭厂.20.3508,0.915,-22.884,-1.66721,0.579083
四川.云潭厂.220.3504,1.00988,-26.4772,-9.77191e-09,-2.05669e-07
四川.云绣.10.3523,0.962138,-35.9619,-6.00003e-05,-0.08081
四川.云绣.10.3524,0.962062,-35.951,-5.00003e-05,-0.07974
四川.云绣.110.3521,1.00692,-36.2021,0.72181,0.12455
四川.云绣.110.3522,1.00696,-36.1831,0.71176,0.12318
四川.云绣.220.3520,1.00529,-32.5811,-2.18911e-08,-1.90926e-07
四川.云绣/1#变压器.中性点,0.957977,-35.9425,-4.39292e-09,-1.61701e-08
四川.云绣/2#变压器.中性点,0.957963,-35.9534,-4.52297e-09,-1.67735e-08
四川.云西.10.3516,0.959211,-31.8197,0.00276,-0.17809
四川.云西.10.3517,0.953145,-31.8983,0.00167,-0.07905
四川.云西.110.3514,0.995803,-32.032,0.53208,0.15248
