id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,交流线路名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
1,西南.谭德二线,500,西南.谭家湾站.500.2846,国调.德阳换流站.500.6424,18887,22949,56,1067
2,西南.谭德一线,500,西南.谭家湾站.500.2846,国调.德阳换流站.500.6424,18430,22954,56,1067
3,国调.德宝直流极1线路,500,国调.德阳换流站.500.6424,重庆.宝鸡等值虚厂.500.364,22947,26814,1067,38
4,西南.泸复二线,500,西南.泸州站.500.3630,国调.复龙换流站.500.2,18959,17386,315,1
5,西南.泸复三线,500,西南.泸州站.500.3630,国调.复龙换流站.500.2,18749,17388,315,1
6,西南.泸复一线,500,西南.泸州站.500.3630,国调.复龙换流站.500.2,18961,17383,315,1
7,国调.德宝直流极2线路,500,国调.德阳换流站.500.6424,重庆.宝鸡等值虚厂.500.365,22952,28024,1067,38
8,国调.官月Ⅰ线,500,国调.官地电厂.500.189,国调.月城站.500.3933,17402,19374,12,426
9,国调.官月Ⅱ线,500,国调.官地电厂.500.189,国调.月城站.500.3933,17403,19376,12,426
10,国调.向复一线,500,国调.向家坝.500.277,国调.复龙换流站.500.2,17468,17384,20,1
11,国调.向复二线,500,国调.向家坝.500.277,国调.复龙换流站.500.2,17471,17381,20,1
12,国调.向复三线,500,国调.向家坝.500.276,国调.复龙换流站.500.2,17487,17379,20,1
13,国调.向复四线,500,国调.向家坝.500.276,国调.复龙换流站.500.2,17481,17378,20,1
14,国调.宾复Ⅱ线,500,国调.宜宾换流.500.8912,国调.复龙换流站.500.2,24180,17377,1685,1
15,国调.溪宾Ⅰ线,500,国调.溪洛渡电厂.500.286,国调.宜宾换流.500.8912,17511,24185,22,1685
16,国调.溪宾Ⅱ线,500,国调.溪洛渡电厂.500.286,国调.宜宾换流.500.8912,17512,24189,22,1685
17,国调.溪宾Ⅲ线,500,国调.溪洛渡电厂.500.286,国调.宜宾换流.500.8912,17513,24192,22,1685
18,国调.德宝直流接地线路,500,国调.德阳换流站.500.nd50333,国调.德阳换流直流部分.500.nd50160,50333,50160,1067,27
19,国调.德宝直流接地极址,500,国调.德阳换流站.500.nd50334,国调.德阳换流直流部分.500.nd50161,50334,50161,1067,27
20,国调.复奉直流接地线路,500,国调.复龙换流站.500.nd50162,国调.复龙换流直流部分.500.nd50163,50162,50163,1,2
21,国调.复奉直流接地极址,500,国调.复龙换流站.500.nd50164,国调.复龙换流直流部分.500.nd50165,50164,50165,1,2
22,国调.宾金直流接地极址,500,国调.宜宾换流.500.nd50335,国调.宜宾换流直流部分.500.nd50336,50335,50336,1685,1686
23,国调.宾金直流接地线路,500,国调.宜宾换流.500.nd50337,国调.宜宾换流直流部分.500.nd50338,50337,50338,1685,1686
24,国调.锦苏直流极1线路,500,国调.锦屏换流站.500.nd50166,国调.锦屏换流站直流部分.500.nd50167,50166,50167,15,28
25,国调.锦苏直流极2线路,500,国调.锦屏换流站.500.nd50168,国调.锦屏换流站直流部分.500.nd50169,50168,50169,15,28
26,国调.宾金直流极1线路,500,国调.宜宾换流.500.nd50339,国调.宜宾换流直流部分.500.nd50340,50339,50340,1685,1686
27,国调.宾金直流极2线路,500,国调.宜宾换流.500.nd50341,国调.宜宾换流直流部分.500.nd50342,50341,50342,1685,1686
28,国调.锦苏直流接地线路,500,国调.锦屏换流站.500.nd50170,国调.锦屏换流站直流部分.500.nd50171,50170,50171,15,28
29,国调.锦苏直流接地极址,500,国调.锦屏换流站.500.nd50172,国调.锦屏换流站直流部分.500.nd50173,50172,50173,15,28
30,四川.金苏北线,220,四川.金鹅.220.1348,重庆.来苏等值虚厂.220.358,17983,22,149,35
31,四川.金苏南线,220,四川.金鹅.220.1348,重庆.来苏等值虚厂.220.358,17984,22,149,35
32,西南.黄万一线,500,西南.黄岩站.500.1144,重庆.万县等值虚厂.500.359,17914,17550,135,36
33,西南.黄万二线,500,西南.黄岩站.500.1144,重庆.万县等值虚厂.500.359,17912,17556,135,36
34,西南.洪板二线,500,西南.洪沟站.500.990,重庆.板桥等值虚厂.500.325,17891,24,127,32
35,西南.洪板一线,500,西南.洪沟站.500.990,重庆.板桥等值虚厂.500.325,17887,2458,127,32
36,四川.板陈二线,500,重庆.陈家桥等值虚厂.500.nd20,重庆.板桥等值虚厂.500.nd50174,20,50174,37,32
37,四川.板陈一线,500,重庆.陈家桥等值虚厂.500.nd20,重庆.板桥等值虚厂.500.nd50175,20,50175,37,32
38,四川.长万二线,500,重庆.万县等值虚厂.500.nd50176,重庆.长寿等值虚厂.500.nd2430,50176,2430,36,34
39,四川.长万一线,500,重庆.万县等值虚厂.500.nd50177,重庆.长寿等值虚厂.500.nd2429,50177,2429,36,34
40,四川.陈长二线,500,重庆.陈家桥等值虚厂.500.nd20,重庆.长寿等值虚厂.500.nd2426,20,2426,37,34
41,四川.陈长一线,500,重庆.陈家桥等值虚厂.500.nd20,重庆.长寿等值虚厂.500.nd2425,20,2425,37,34
42,四川.万龙二线,500,重庆.陈家桥等值虚厂.500.nd20,重庆.板桥等值虚厂.500.nd50178,20,50178,37,32
43,四川.万龙一线,500,重庆.陈家桥等值虚厂.500.nd20,重庆.板桥等值虚厂.500.nd50179,20,50179,37,32
44,四川.张恩二线,500,重庆.万县等值虚厂.500.nd50180,重庆.长寿等值虚厂.500.nd2429,50180,2429,36,34
45,四川.张恩一线,500,重庆.万县等值虚厂.500.nd50181,重庆.长寿等值虚厂.500.nd2429,50181,2429,36,34
46,四川.白寿线,220,四川.白马新厂.220.488,四川.寿溪桥.220.2634,17586,18334,62,215
47,四川.白新线,220,四川.新广兴.220.3134,四川.白石岩.220.499,18528,17597,261,63
48,四川.坝棉线,220,四川.新棉.220.3149,四川.姚河坝厂.220.3400,18537,18593,262,276
49,四川.巴南线,500,四川.临巴厂.500.1581,四川.南充.500.1822,18068,18206,168,57
50,四川.宝白线,220,四川.白石岩.220.499,四川.宝珠寺厂.220.543,17600,17624,63,72
51,四川.保荆线,220,四川.荆溪.220.1369,四川.保宁.220.nd50182,17997,50182,154,68
52,四川.宝袁一线,220,四川.袁家坝.220.3490,四川.宝珠寺厂.220.543,18652,17626,293,72
53,四川.赤白线,220,四川.赤化.220.584,四川.白石岩.220.499,17648,17598,78,63
54,四川.赤天二线,220,四川.天明.220.2991,四川.赤化.220.584,18446,17653,235,78
55,四川.充荆北线,220,四川.南充.220.nd50183,四川.荆溪.220.nd50184,50183,50184,189,154
56,四川.充荆南线,220,四川.南充.220.nd50185,四川.荆溪.220.nd50186,50185,50186,189,154
57,四川.东平二线,220,四川.平春.220.2165,四川.东坡.220.788,18235,17734,197,94
58,四川.东平三线,220,四川.平春.220.2165,四川.东坡.220.788,18236,17733,197,94
59,四川.东平一线,220,四川.平春.220.2165,四川.东坡.220.788,18234,17735,197,94
60,四川.东石线,220,四川.石棉.220.2477,四川.滨东厂.220.559,18318,17635,212,75
61,四川.东文二线,220,四川.修文.220.3184,四川.东坡.220.788,18549,17737,264,94
62,四川.东文三线,220,四川.修文.220.19755,四川.东坡.220.788,18550,17738,264,94
63,四川.东文一线,220,四川.修文.220.19755,四川.东坡.220.788,18548,17736,264,94
64,四川.豆沙线,220,四川.豆坝.220.nd50254,四川.白沙.220.nd50187,50254,50187,443,44
65,西南.二普一线,500,西南.普提站.500.nd50188,西南.二滩厂.500.nd50189,50188,50189,201,103
66,西南.二石一线,500,西南.石板箐站.500.2311,西南.二滩厂.500.885,18310,17764,211,103
67,西南.二石二线,500,西南.石板箐站.500.2311,西南.二滩厂.500.885,18312,17774,211,103
68,四川.龚九二线,220,四川.龚嘴上厂.220.945,四川.九里.220.1387,17832,18014,115,156
69,四川.龚九一线,220,四川.龚嘴下厂.220.949,四川.九里.220.1387,19459,18013,116,156
70,四川.龚桥二线,220,四川.龚嘴下厂.220.nd50190,四川.桥沟.220.2250,50190,18269,116,202
71,四川.龚桥一线,220,四川.龚嘴上厂.220.nd50191,四川.桥沟.220.2250,50191,18270,115,202
72,四川.龚山线,220,四川.屏山.220.2173,四川.龚嘴上厂.220.19747,18241,17830,198,115
73,四川.龚永二线,220,四川.六六六.220.5168,四川.龚嘴上厂.220.945,20775,17833,511,115
74,四川.龚永一线,220,四川.六六六.220.5168,四川.龚嘴下厂.220.949,20774,17840,511,116
75,四川.广代东线,220,四川.广安厂.220.961,四川.代市.220.627,17855,17691,120,86
76,四川.广代西线,220,四川.广安厂.220.961,四川.代市.220.627,17856,17690,120,86
77,四川.广黄二线,500,西南.黄岩站.500.1144,四川.广安二厂.500.4944,17909,19451,135,444
78,四川.广黄一线,500,西南.黄岩站.500.1144,四川.广安二厂.500.4944,17913,19444,135,444
79,四川.黑双线,220,四川.双合.220.2781,四川.黑河塘厂.220.988,18364,17869,220,124
80,四川.虹九线,220,四川.九里.220.1387,四川.海虹厂.220.nd17868,18012,17868,156,122
81,四川.洪舒北线,220,四川.舒平.220.2642,西南.洪沟站.220.995,18346,17874,216,125
82,四川.洪舒南线,220,四川.舒平.220.2642,西南.洪沟站.220.995,18347,17875,216,125
83,四川.花天线,220,四川.天井坎.220.2978,四川.百花滩厂.220.517,18433,17603,232,66
84,四川.回云二线,220,四川.云西.220.3512,四川.回龙.220.446,18662,17929,295,46
85,四川.回云三线,220,四川.云西.220.3512,四川.回龙.220.446,18663,17930,295,46
86,四川.回云一线,220,四川.云西.220.3512,四川.回龙.220.446,18661,17928,295,46
87,四川.尖长二线,220,四川.尖山.220.1296,四川.长顺.220.574,21243,17644,142,77
88,四川.尖长一线,220,四川.尖山.220.1296,四川.长顺.220.574,21308,17643,142,77
89,四川.尖大线,220,四川.尖山.220.nd50192,四川.大面铺.220.611,50192,17680,142,83
90,四川.尖渡线,220,四川.徐家渡.220.19756,四川.尖山.220.1296,18555,17951,265,142
91,四川.江大北线,220,四川.江油新厂.220.1336,四川.大康.220.604,17976,17667,148,82
92,四川.江大南线,220,四川.江油新厂.220.1336,四川.大康.220.604,17975,17669,148,82
93,四川.江龙西线,220,四川.龙头.220.1604,四川.江南.220.1328,18086,17967,173,147
94,四川.江龙东线,220,四川.龙头.220.1604,四川.江南.220.1328,18085,17966,173,147
95,四川.姜茂线,220,四川.茂县.220.1759,四川.姜射坝厂.220.1325,18143,17963,181,146
96,四川.江山线,220,四川.江油新厂.220.1336,四川.东山.220.5186,17979,22939,148,514
97,四川.江天线,220,四川.江油新厂.220.1336,四川.天明.220.2991,17977,18443,148,235
98,四川.尖石二线,220,四川.尖山.220.1296,四川.石羊.220.5280,17948,21302,142,547
