id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,断路器名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
1,国调.三峡左岸/500kV.5113开关,500,1,28798,28799,国调.三峡左岸厂.500.nd28798,国调.三峡左岸厂.500.nd28799
2,国调.三峡左岸/500kV.5123开关,500,1,28800,28801,国调.三峡左岸厂.500.nd28800,国调.三峡左岸厂.500.nd28801
3,国调.三峡左岸/500kV.5133开关,500,1,28802,28803,国调.三峡左岸厂.500.nd28802,国调.三峡左岸厂.500.nd28803
4,国调.三峡左岸/500kV.5143开关,500,1,28804,28805,国调.三峡左岸厂.500.nd28804,国调.三峡左岸厂.500.nd28805
5,国调.三峡左岸/500kV.5153开关,500,1,28806,28807,国调.三峡左岸厂.500.nd28806,国调.三峡左岸厂.500.nd28807
6,国调.三峡左岸/500kV.5112开关,500,1,28808,28809,国调.三峡左岸厂.500.nd28808,国调.三峡左岸厂.500.nd28809
7,国调.三峡左岸/500kV.5122开关,500,1,28810,28811,国调.三峡左岸厂.500.nd28810,国调.三峡左岸厂.500.nd28811
8,国调.三峡左岸/500kV.5132开关,500,1,28812,28813,国调.三峡左岸厂.500.nd28812,国调.三峡左岸厂.500.nd28813
9,国调.三峡左岸/500kV.5152开关,500,1,28814,28815,国调.三峡左岸厂.500.nd28814,国调.三峡左岸厂.500.nd28815
10,国调.三峡左岸/500kV.5111开关,500,1,28816,28817,国调.三峡左岸厂.500.nd28816,国调.三峡左岸厂.500.nd28817
11,国调.三峡左岸/500kV.5131开关,500,1,28818,28819,国调.三峡左岸厂.500.nd28818,国调.三峡左岸厂.500.nd28819
12,国调.三峡左岸/500kV.5141开关,500,1,28820,28821,国调.三峡左岸厂.500.nd28820,国调.三峡左岸厂.500.nd28821
13,国调.三峡左岸/500kV.5151开关,500,1,28822,28823,国调.三峡左岸厂.500.nd28822,国调.三峡左岸厂.500.nd28823
14,国调.三峡左岸/500kV.5213开关,500,1,28824,28825,国调.三峡左岸厂.500.nd28824,国调.三峡左岸厂.500.nd28825
15,国调.三峡左岸/500kV.5223开关,500,1,28826,28827,国调.三峡左岸厂.500.nd28826,国调.三峡左岸厂.500.nd28827
16,国调.三峡左岸/500kV.5233开关,500,1,28828,28829,国调.三峡左岸厂.500.nd28828,国调.三峡左岸厂.500.nd28829
17,国调.三峡左岸/500kV.5212开关,500,1,28830,28831,国调.三峡左岸厂.500.nd28830,国调.三峡左岸厂.500.nd28831
18,国调.三峡左岸/500kV.5222开关,500,1,28832,28833,国调.三峡左岸厂.500.nd28832,国调.三峡左岸厂.500.nd28833
19,国调.三峡左岸/500kV.5232开关,500,1,28834,28835,国调.三峡左岸厂.500.nd28834,国调.三峡左岸厂.500.nd28835
20,国调.三峡左岸/500kV.5211开关,500,1,28836,28837,国调.三峡左岸厂.500.nd28836,国调.三峡左岸厂.500.nd28837
21,国调.三峡左岸/500kV.5221开关,500,1,28838,28839,国调.三峡左岸厂.500.nd28838,国调.三峡左岸厂.500.nd28839
22,国调.三峡左岸/500kV.5231开关,500,1,28840,28841,国调.三峡左岸厂.500.nd28840,国调.三峡左岸厂.500.nd28841
23,国调.三峡左岸/500kV.5824开关,500,1,28842,28843,国调.三峡左岸厂.500.nd28842,国调.三峡左岸厂.500.nd28843
24,国调.三峡左岸/500kV.5813开关,500,1,28844,28845,国调.三峡左岸厂.500.nd28844,国调.三峡左岸厂.500.nd28845
25,国调.复龙换流/500kV.5111开关,500,1,2070,2071,国调.复龙换流站.500.2,国调.复龙换流站.500.2
26,国调.复龙换流/500kV.5112开关,500,1,2072,2073,国调.复龙换流站.500.2,国调.复龙换流站.500.2
27,国调.复龙换流/500kV.5113开关,500,1,2074,2075,国调.复龙换流站.500.2,国调.复龙换流站.500.2
28,国调.复龙换流/500kV.5121开关,500,1,2076,2077,国调.复龙换流站.500.2,国调.复龙换流站.500.2
29,国调.复龙换流/500kV.5122开关,500,1,2078,2079,国调.复龙换流站.500.2,国调.复龙换流站.500.2
30,国调.复龙换流/500kV.5123开关,500,1,2080,2081,国调.复龙换流站.500.2,国调.复龙换流站.500.2
31,国调.复龙换流/500kV.5131开关,500,1,2082,2083,国调.复龙换流站.500.2,国调.复龙换流站.500.2
32,国调.复龙换流/500kV.5132开关,500,1,2084,2085,国调.复龙换流站.500.2,国调.复龙换流站.500.2
33,国调.复龙换流/500kV.5133开关,500,1,2086,2087,国调.复龙换流站.500.2,国调.复龙换流站.500.2
34,国调.复龙换流/500kV.5141开关,500,1,2088,2089,国调.复龙换流站.500.2,国调.复龙换流站.500.2
35,国调.复龙换流/500kV.5142开关,500,1,2090,2091,国调.复龙换流站.500.2,国调.复龙换流站.500.2
36,国调.复龙换流/500kV.5143开关,500,1,2092,2093,国调.复龙换流站.500.2,国调.复龙换流站.500.2
37,国调.复龙换流/500kV.5151开关,500,1,2094,2095,国调.复龙换流站.500.2,国调.复龙换流站.500.2
38,国调.复龙换流/500kV.5152开关,500,1,2096,2097,国调.复龙换流站.500.2,国调.复龙换流站.500.2
39,国调.复龙换流/500kV.5153开关,500,1,2098,2099,国调.复龙换流站.500.2,国调.复龙换流站.500.2
40,国调.复龙换流/500kV.5211开关,500,1,2100,2101,国调.复龙换流站.500.2,国调.复龙换流站.500.2
41,国调.复龙换流/500kV.5212开关,500,1,2102,2103,国调.复龙换流站.500.2,国调.复龙换流站.500.2
42,国调.复龙换流/500kV.5213开关,500,1,2104,2105,国调.复龙换流站.500.2,国调.复龙换流站.500.2
43,国调.复龙换流/500kV.5221开关,500,1,2106,2107,国调.复龙换流站.500.2,国调.复龙换流站.500.2
44,国调.复龙换流/500kV.5222开关,500,1,2108,2109,国调.复龙换流站.500.2,国调.复龙换流站.500.2
45,国调.复龙换流/500kV.5223开关,500,1,2110,2111,国调.复龙换流站.500.2,国调.复龙换流站.500.2
46,国调.复龙换流/500kV.5231开关,500,1,2112,2113,国调.复龙换流站.500.2,国调.复龙换流站.500.2
47,国调.复龙换流/500kV.5232开关,500,1,2114,2115,国调.复龙换流站.500.2,国调.复龙换流站.500.2
48,国调.复龙换流/500kV.5233开关,500,1,2116,2117,国调.复龙换流站.500.2,国调.复龙换流站.500.2
49,国调.复龙换流/500kV.5251开关,500,1,2118,2119,国调.复龙换流站.500.2,国调.复龙换流站.500.2
50,国调.复龙换流/500kV.5252开关,500,1,2120,2121,国调.复龙换流站.500.2,国调.复龙换流站.500.2
51,国调.复龙换流/500kV.5253开关,500,1,2122,2123,国调.复龙换流站.500.2,国调.复龙换流站.500.2
52,国调.复龙换流/500kV.5243开关,500,1,2124,2125,国调.复龙换流站.500.2,国调.复龙换流站.500.2
53,国调.复龙换流/500kV.5621开关,500,1,2126,2127,国调.复龙换流站.500.2,国调.复龙换流站.500.2
54,国调.复龙换流/500kV.5622开关,500,1,2128,2129,国调.复龙换流站.500.2,国调.复龙换流站.500.2
55,国调.复龙换流/500kV.5623开关,500,1,2130,2131,国调.复龙换流站.500.2,国调.复龙换流站.500.2
56,国调.复龙换流/500kV.5624开关,500,0,2132,2133,国调.复龙换流站.500.nd2132,国调.复龙换流站.500.2
57,国调.复龙换流/500kV.5631开关,500,1,2134,2135,国调.复龙换流站.500.2,国调.复龙换流站.500.2
58,国调.复龙换流/500kV.5632开关,500,1,2136,2137,国调.复龙换流站.500.2,国调.复龙换流站.500.2
59,国调.复龙换流/500kV.5633开关,500,1,2138,2139,国调.复龙换流站.500.2,国调.复龙换流站.500.2
60,国调.复龙换流/500kV.5634开关,500,1,2140,2141,国调.复龙换流站.500.2,国调.复龙换流站.500.2
61,国调.复龙换流/500kV.5611开关,500,1,2142,2143,国调.复龙换流站.500.2,国调.复龙换流站.500.2
62,国调.复龙换流/500kV.5612开关,500,1,2144,2145,国调.复龙换流站.500.2,国调.复龙换流站.500.2
63,国调.复龙换流/500kV.5613开关,500,1,2146,2147,国调.复龙换流站.500.2,国调.复龙换流站.500.2
64,国调.复龙换流/500kV.5614开关,500,1,2148,2149,国调.复龙换流站.500.2,国调.复龙换流站.500.2
65,国调.复龙换流/500kV.5641开关,500,1,2150,2151,国调.复龙换流站.500.2,国调.复龙换流站.500.2
66,国调.复龙换流/500kV.5642开关,500,1,2152,2153,国调.复龙换流站.500.2,国调.复龙换流站.500.2
67,国调.复龙换流/500kV.5643开关,500,1,2154,2155,国调.复龙换流站.500.2,国调.复龙换流站.500.2
68,国调.复龙换流/500kV.5644开关,500,1,2156,2157,国调.复龙换流站.500.2,国调.复龙换流站.500.2
69,国调.长治/500kV.5012开关,500,0,28846,28847,国调.长治站.500.nd28846,国调.长治站.500.nd28847
70,国调.长治/500kV.5013开关,500,0,28848,28849,国调.长治站.500.nd28848,国调.长治站.500.nd28849
71,国调.长治/500kV.T011开关,1000,0,28850,28851,国调.长治站.1000.nd28850,国调.长治站.1000.nd28851
72,国调.长治/500kV.T012开关,1000,0,28852,28853,国调.长治站.1000.nd28852,国调.长治站.1000.nd28853
73,国调.南阳/1000kV.T022开关,1000,0,28854,28855,国调.南阳.1000.nd28854,国调.南阳.1000.nd28855
74,国调.南阳/1000kV.T023开关,1000,0,28856,28857,国调.南阳.1000.nd28856,国调.南阳.1000.nd28857
75,国调.南阳/1000kV.T031开关,1000,0,28858,28859,国调.南阳.1000.nd28858,国调.南阳.1000.nd28859
76,国调.南阳/1000kV.T032开关,1000,0,28860,28861,国调.南阳.1000.nd28860,国调.南阳.1000.nd28861
77,国调.荆门/1000kV.T021开关,1000,0,28862,28863,国调.荆门.1000.nd28862,国调.荆门.1000.nd28863
78,国调.荆门/1000kV.T022开关,1000,0,28864,28865,国调.荆门.1000.nd28864,国调.荆门.1000.nd28865
79,国调.荆门/500kV.5011开关,500,0,28866,28867,国调.荆门.500.nd28866,国调.荆门.500.nd28867
80,国调.荆门/500kV.5012开关,500,0,28868,28869,国调.荆门.500.nd28868,国调.荆门.500.nd28869
81,国调.官地电厂/500kV.5011开关,500,1,2158,2159,国调.官地电厂.500.189,国调.官地电厂.500.189
82,国调.官地电厂/500kV.5012开关,500,1,2160,2161,国调.官地电厂.500.189,国调.官地电厂.500.189
83,国调.官地电厂/500kV.5013开关,500,1,2162,2163,国调.官地电厂.500.189,国调.官地电厂.500.189
84,国调.官地电厂/500kV.5021开关,500,1,2164,2165,国调.官地电厂.500.189,国调.官地电厂.500.189
