id,I_nd,J_nd
1,28798,28799
2,28800,28801
3,28802,28803
4,28804,28805
5,28806,28807
6,28808,28809
7,28810,28811
8,28812,28813
9,28814,28815
10,28816,28817
11,28818,28819
12,28820,28821
13,28822,28823
14,28824,28825
15,28826,28827
16,28828,28829
17,28830,28831
18,28832,28833
19,28834,28835
20,28836,28837
21,28838,28839
22,28840,28841
23,28842,28843
24,28844,28845
25,2070,2071
26,2072,2073
27,2074,2075
28,2076,2077
29,2078,2079
30,2080,2081
31,2082,2083
32,2084,2085
33,2086,2087
34,2088,2089
35,2090,2091
36,2092,2093
37,2094,2095
38,2096,2097
39,2098,2099
40,2100,2101
41,2102,2103
42,2104,2105
43,2106,2107
44,2108,2109
45,2110,2111
46,2112,2113
47,2114,2115
48,2116,2117
49,2118,2119
50,2120,2121
51,2122,2123
52,2124,2125
53,2126,2127
54,2128,2129
55,2130,2131
56,2132,2133
57,2134,2135
58,2136,2137
59,2138,2139
60,2140,2141
61,2142,2143
62,2144,2145
63,2146,2147
64,2148,2149
65,2150,2151
66,2152,2153
67,2154,2155
68,2156,2157
69,28846,28847
70,28848,28849
71,28850,28851
72,28852,28853
73,28854,28855
74,28856,28857
75,28858,28859
76,28860,28861
77,28862,28863
78,28864,28865
79,28866,28867
80,28868,28869
81,2158,2159
82,2160,2161
83,2162,2163
84,2164,2165
85,2166,2167
86,2168,2169
87,2170,2171
88,2172,2173
89,2174,2175
90,2176,2177
91,2178,2179
92,2180,2181
93,2182,2183
94,2184,2185
95,2186,2187
96,2188,2189
97,2190,2191
98,2192,2193
99,2194,2195
100,2196,2197
101,2198,2199
102,2200,2201
103,2202,2203
104,2204,2205
105,2206,2207
106,2208,2209
107,2210,2211
108,2212,2213
109,2214,2215
110,2216,2217
111,2218,2219
112,2220,2221
113,2222,2223
114,2224,2225
115,2226,2227
116,2228,2229
117,2230,2231
118,2232,2233
119,2234,2235
120,2236,2237
121,2238,2239
122,2240,2241
123,2242,2243
124,2244,2245
125,2246,2247
126,2248,2249
127,2250,2251
128,2252,2253
129,2254,2255
130,2256,2257
131,2258,2259
132,2260,2261
133,2262,2263
134,2264,2265
135,2266,2267
136,2268,2269
137,2270,2271
138,2272,2273
139,2274,2275
140,2276,2277
141,28870,28871
142,28872,28873
143,28874,28875
144,28876,28877
145,28878,28879
146,28880,28881
147,28882,28883
148,28884,28885
149,28886,28887
150,2278,2279
151,2280,2281
152,2282,2283
153,2284,2285
154,2286,2287
155,2288,2289
156,2290,2291
157,2292,2293
158,2294,2295
159,2296,2297
160,2298,2299
161,2300,2301
162,2302,2303
163,2304,2305
164,2306,2307
165,2308,2309
166,2310,2311
167,2312,2313
168,2314,2315
169,2316,2317
170,2318,2319
171,2320,2321
172,2322,2323
173,2324,2325
174,2326,2327
175,2328,2329
