component_id,component_name,volt,sub_name,nd,island,sub_id
序号,并补名,电压等级,,物理节点,电气岛号,厂站索引
1,国调.三峡左岸/500kV.5113电抗器,500,国调.三峡左岸厂,50399,-1,4
2,国调.复龙换流/500kV.5611ACF,500,国调.复龙换流站,2143,0,1
3,国调.复龙换流/500kV.5612ACF,500,国调.复龙换流站,2145,0,1
4,国调.复龙换流/500kV.5641ACF,500,国调.复龙换流站,2151,0,1
5,国调.复龙换流/500kV.5642ACF,500,国调.复龙换流站,2153,0,1
6,国调.复龙换流/500kV.5643ACF,500,国调.复龙换流站,2155,0,1
7,国调.复龙换流/500kV.5621ACF,500,国调.复龙换流站,2126,0,1
8,国调.复龙换流/500kV.5622ACF,500,国调.复龙换流站,2128,0,1
9,国调.复龙换流/500kV.5624ACF,500,国调.复龙换流站,2132,0,1
10,国调.复龙换流/500kV.5631ACF,500,国调.复龙换流站,2134,0,1
11,国调.复龙换流/500kV.5632ACF,500,国调.复龙换流站,2136,0,1
12,国调.锦屏换流站/500kV.5611ACF,500,国调.锦屏换流站,2231,0,15
13,国调.锦屏换流站/500kV.5612ACF,500,国调.锦屏换流站,2233,0,15
14,国调.锦屏换流站/500kV.5613SC,500,国调.锦屏换流站,2235,0,15
15,国调.锦屏换流站/500kV.5621ACF,500,国调.锦屏换流站,2239,0,15
16,国调.锦屏换流站/500kV.5622ACF,500,国调.锦屏换流站,2241,0,15
17,国调.锦屏换流站/500kV.5623SC,500,国调.锦屏换流站,2243,0,15
18,国调.锦屏换流站/500kV.5624SC,500,国调.锦屏换流站,2245,0,15
19,国调.锦屏换流站/500kV.5631ACF,500,国调.锦屏换流站,2247,0,15
20,国调.锦屏换流站/500kV.5632ACF,500,国调.锦屏换流站,2249,0,15
21,国调.锦屏换流站/500kV.5633ACF,500,国调.锦屏换流站,2251,0,15
22,国调.锦屏换流站/500kV.5634SC,500,国调.锦屏换流站,2253,0,15
23,国调.锦屏换流站/500kV.5641ACF,500,国调.锦屏换流站,2255,0,15
24,国调.锦屏换流站/500kV.5642ACF,500,国调.锦屏换流站,2257,0,15
25,国调.锦屏换流站/500kV.5643SC,500,国调.锦屏换流站,2259,0,15
26,国调.锦屏换流站/35kV.311L,35,国调.锦屏换流站,2265,-1,16
27,国调.锦屏换流站/35kV.312L,35,国调.锦屏换流站,2267,-1,16
28,国调.锦屏换流站/35kV.313L,35,国调.锦屏换流站,2269,-1,16
29,国调.锦屏换流站/35kV.321L,35,国调.锦屏换流站,2273,-1,16
30,国调.锦屏换流站/35kV.322L,35,国调.锦屏换流站,2275,-1,16
31,国调.锦屏换流站/35kV.323L,35,国调.锦屏换流站,2277,-1,16
32,国调.锦东电厂/500kV.东天一线电抗器,500,国调.锦东厂,17489,0,18
33,国调.锦东电厂/500kV.东天二线电抗器,500,国调.锦东厂,17488,0,18
34,国调.复龙换流/500kV.5623ACF,500,国调.复龙换流站,50400,-1,1
35,国调.复龙换流/500kV.5613ACF,500,国调.复龙换流站,50401,-1,1
36,国调.复龙换流/500kV.5614ACF,500,国调.复龙换流站,50402,-1,1
37,国调.复龙换流/500kV.5633ACF,500,国调.复龙换流站,50403,-1,1
38,国调.复龙换流/500kV.5644ACF,500,国调.复龙换流站,50404,-1,1
39,重庆.万县等值虚厂/500kV.万龙二线电抗器,500,重庆.万县等值虚厂,17555,0,36
40,重庆.万县等值虚厂/500kV.万龙一线电抗器,500,重庆.万县等值虚厂,17553,0,36
41,重庆.万县等值虚厂/500kV.黄万一线电抗器,500,重庆.万县等值虚厂,17551,0,36
42,重庆.万县等值虚厂/500kV.黄万二线电抗器,500,重庆.万县等值虚厂,17557,0,36
43,重庆.张家坝/500kV.张恩二线电抗器,500,重庆.张家坝,50405,-1,39
44,重庆.张家坝/500kV.张恩一线电抗器,500,重庆.张家坝,50406,-1,39
45,重庆.张家坝/500kV.张隆一线电抗器,500,重庆.张家坝,50407,-1,39
46,重庆.张家坝/500kV.张隆二线电抗器,500,重庆.张家坝,50408,-1,39
47,重庆.张家坝/500kV.张长一线电抗器,500,重庆.张家坝,50409,-1,39
48,重庆.张家坝/500kV.张长二线电抗器,500,重庆.张家坝,50410,-1,39
49,重庆.张家坝/500kV.水张一线电抗器,500,重庆.张家坝,50411,-1,39
50,重庆.张家坝/500kV.水张二线电抗器,500,重庆.张家坝,50412,-1,39
51,重庆.板桥等值虚厂/500kV.隆板一线电抗器,500,重庆.板桥等值虚厂,50413,-1,32
52,重庆.思源/500kV.资思Ⅰ线电抗器,500,重庆.思源,17563,0,41
53,重庆.思源/500kV.资思Ⅱ线电抗器,500,重庆.思源,17565,0,41
54,四川.葫芦坝厂/10.5kV.1#电抗器,10,四川.葫芦坝厂,3442,0,132
55,四川.东坡/35kV.2-1#电容器,35,四川.东坡,3026,0,95
56,四川.东坡/35kV.2-2#电容器,35,四川.东坡,3028,0,95
57,四川.东坡/35kV.2-3#电容器,35,四川.东坡,3030,0,95
58,四川.东坡/35kV.2-1#电抗器,35,四川.东坡,3032,0,95
