id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,刀闸名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
1,国调.三峡左岸/500kV.51132刀闸,500,1,34552,34553,国调.三峡左岸厂.500.nd34552,国调.三峡左岸厂.500.nd34553
2,国调.三峡左岸/500kV.51131刀闸,500,1,34554,34555,国调.三峡左岸厂.500.nd34554,国调.三峡左岸厂.500.nd34555
3,国调.三峡左岸/500kV.51122刀闸,500,1,34556,34557,国调.三峡左岸厂.500.nd34556,国调.三峡左岸厂.500.nd34557
4,国调.三峡左岸/500kV.51121刀闸,500,1,34558,34559,国调.三峡左岸厂.500.nd34558,国调.三峡左岸厂.500.nd34559
5,国调.三峡左岸/500kV.51112刀闸,500,1,34560,34561,国调.三峡左岸厂.500.nd34560,国调.三峡左岸厂.500.nd34561
6,国调.三峡左岸/500kV.51111刀闸,500,1,34562,34563,国调.三峡左岸厂.500.nd34562,国调.三峡左岸厂.500.nd34563
7,国调.三峡左岸/500kV.51136刀闸,500,1,34564,34565,国调.三峡左岸厂.500.nd34564,国调.三峡左岸厂.500.nd34565
8,国调.三峡左岸/500kV.51232刀闸,500,1,34566,34567,国调.三峡左岸厂.500.nd34566,国调.三峡左岸厂.500.nd34567
9,国调.三峡左岸/500kV.51231刀闸,500,1,34568,34569,国调.三峡左岸厂.500.nd34568,国调.三峡左岸厂.500.nd34569
10,国调.三峡左岸/500kV.51236刀闸,500,1,34570,34571,国调.三峡左岸厂.500.nd34570,国调.三峡左岸厂.500.nd34571
11,国调.三峡左岸/500kV.51222刀闸,500,1,34572,34573,国调.三峡左岸厂.500.nd34572,国调.三峡左岸厂.500.nd34573
12,国调.三峡左岸/500kV.51221刀闸,500,1,34574,34575,国调.三峡左岸厂.500.nd34574,国调.三峡左岸厂.500.nd34575
13,国调.三峡左岸/500kV.51332刀闸,500,1,34576,34577,国调.三峡左岸厂.500.nd34576,国调.三峡左岸厂.500.nd34577
14,国调.三峡左岸/500kV.51331刀闸,500,1,34578,34579,国调.三峡左岸厂.500.nd34578,国调.三峡左岸厂.500.nd34579
15,国调.三峡左岸/500kV.51336刀闸,500,1,34580,34581,国调.三峡左岸厂.500.nd34580,国调.三峡左岸厂.500.nd34581
16,国调.三峡左岸/500kV.51322刀闸,500,1,34582,34583,国调.三峡左岸厂.500.nd34582,国调.三峡左岸厂.500.nd34583
17,国调.三峡左岸/500kV.51321刀闸,500,1,34584,34585,国调.三峡左岸厂.500.nd34584,国调.三峡左岸厂.500.nd34585
18,国调.三峡左岸/500kV.51312刀闸,500,1,34586,34587,国调.三峡左岸厂.500.nd34586,国调.三峡左岸厂.500.nd34587
19,国调.三峡左岸/500kV.51311刀闸,500,1,34588,34589,国调.三峡左岸厂.500.nd34588,国调.三峡左岸厂.500.nd34589
20,国调.三峡左岸/500kV.51432刀闸,500,1,34590,34591,国调.三峡左岸厂.500.nd34590,国调.三峡左岸厂.500.nd34591
21,国调.三峡左岸/500kV.51431刀闸,500,1,34592,34593,国调.三峡左岸厂.500.nd34592,国调.三峡左岸厂.500.nd34593
22,国调.三峡左岸/500kV.51436刀闸,500,1,34594,34595,国调.三峡左岸厂.500.nd34594,国调.三峡左岸厂.500.nd34595
23,国调.三峡左岸/500kV.51412刀闸,500,1,34596,34597,国调.三峡左岸厂.500.nd34596,国调.三峡左岸厂.500.nd34597
24,国调.三峡左岸/500kV.51411刀闸,500,1,34598,34599,国调.三峡左岸厂.500.nd34598,国调.三峡左岸厂.500.nd34599
25,国调.三峡左岸/500kV.51532刀闸,500,1,34600,34601,国调.三峡左岸厂.500.nd34600,国调.三峡左岸厂.500.nd34601
26,国调.三峡左岸/500kV.51531刀闸,500,1,34602,34603,国调.三峡左岸厂.500.nd34602,国调.三峡左岸厂.500.nd34603
27,国调.三峡左岸/500kV.51522刀闸,500,1,34604,34605,国调.三峡左岸厂.500.nd34604,国调.三峡左岸厂.500.nd34605
28,国调.三峡左岸/500kV.51521刀闸,500,1,34606,34607,国调.三峡左岸厂.500.nd34606,国调.三峡左岸厂.500.nd34607
