component_id,component_name,volt,sub_name,nd,island,sub_id
序号,负荷名,电压等级,,物理节点,电气岛号,厂站索引
1,国调.复龙换流/500kV.511负荷,500,国调.复龙换流站,41055,-1,1
2,国调.复龙换流/500kV.5611负荷,500,国调.复龙换流站,26804,-1,1
3,国调.复龙换流/500kV.5612负荷,500,国调.复龙换流站,26805,-1,1
4,国调.复龙换流/500kV.5613负荷,500,国调.复龙换流站,2147,0,1
5,国调.复龙换流/500kV.5614负荷,500,国调.复龙换流站,2149,0,1
6,国调.复龙换流/500kV.5621负荷,500,国调.复龙换流站,26806,-1,1
7,国调.复龙换流/500kV.5622负荷,500,国调.复龙换流站,26807,-1,1
8,国调.复龙换流/500kV.5623负荷,500,国调.复龙换流站,2130,0,1
9,国调.复龙换流/500kV.5624负荷,500,国调.复龙换流站,26808,-1,1
10,国调.复龙换流/500kV.5631负荷,500,国调.复龙换流站,26809,-1,1
11,国调.复龙换流/500kV.5632负荷,500,国调.复龙换流站,26810,-1,1
12,国调.复龙换流/500kV.5633负荷,500,国调.复龙换流站,2138,0,1
13,国调.复龙换流/500kV.5641负荷,500,国调.复龙换流站,26811,-1,1
14,国调.复龙换流/500kV.5642负荷,500,国调.复龙换流站,26812,-1,1
15,国调.复龙换流/500kV.5643负荷,500,国调.复龙换流站,26813,-1,1
16,国调.复龙换流/500kV.5644负荷,500,国调.复龙换流站,2157,0,1
17,国调.锦屏换流站/500kV.极1一线等值负荷,500,国调.锦屏换流站,17417,0,15
18,国调.锦屏换流站/500kV.极1二线等值负荷,500,国调.锦屏换流站,17414,0,15
19,国调.锦屏换流站/500kV.极2一线等值负荷,500,国调.锦屏换流站,17410,0,15
20,国调.锦屏换流站/500kV.极2二线等值负荷,500,国调.锦屏换流站,17411,0,15
21,国调.锦屏换流站/35kV.310等值负荷,35,国调.锦屏换流站,2263,-1,16
22,国调.锦屏换流站/35kV.320等值负荷,35,国调.锦屏换流站,2271,-1,16
23,重庆.板桥等值虚厂/500kV.板陈一等值负荷,500,重庆.板桥等值虚厂,24,0,32
24,重庆.长寿等值虚厂/220kV.长寿虚拟等值负荷,220,重庆.长寿等值虚厂,2422,-1,33
25,重庆.长寿等值虚厂/500kV.500KV虚拟等值负荷,500,重庆.长寿等值虚厂,19,-1,34
26,重庆.陈家桥等值虚厂/500kV.陈家桥虚拟等值负荷,500,重庆.陈家桥等值虚厂,20,-1,37
27,重庆.来苏等值虚厂/220kV.来苏虚拟负荷,220,重庆.来苏等值虚厂,22,0,35
28,重庆.来苏等值虚厂/220kV.2#虚拟负荷,220,重庆.来苏等值虚厂,21,0,35
29,重庆.万县等值虚厂/500kV.长万一等值负荷,500,重庆.万县等值虚厂,17560,0,36
30,重庆.宝鸡等值虚厂/500kV.1等值负荷,500,重庆.宝鸡等值虚厂,26814,0,38
31,重庆.宝鸡等值虚厂/500kV.2等值负荷,500,重庆.宝鸡等值虚厂,26814,0,38
32,重庆.万县等值虚厂/500kV.长万二等值负荷,500,重庆.万县等值虚厂,17559,0,36
33,重庆.万县等值虚厂/500kV.万龙一等值负荷,500,重庆.万县等值虚厂,17552,0,36
34,重庆.万县等值虚厂/500kV.万龙二等值负荷,500,重庆.万县等值虚厂,17554,0,36
35,重庆.板桥等值虚厂/500kV.板陈二等值负荷,500,重庆.板桥等值虚厂,41056,-1,32
36,重庆.板桥等值虚厂/500kV.隆板一等值负荷,500,重庆.板桥等值虚厂,41057,-1,32
37,重庆.思源/500kV.屏思一线等值负荷,500,重庆.思源,2460,0,41
38,重庆.思源/500kV.屏思二线等值负荷,500,重庆.思源,2461,0,41
39,重庆.思源/500kV.两思一线等值负荷,500,重庆.思源,2462,0,41
40,重庆.思源/500kV.两思二线等值负荷,500,重庆.思源,2459,0,41
41,重庆.思源/500kV.思长一线等值负荷,500,重庆.思源,2474,0,41
42,重庆.思源/500kV.思长二线等值负荷,500,重庆.思源,2473,0,41
43,重庆.思源/220kV.201负荷,220,重庆.思源,26815,-1,42
44,重庆.思源/220kV.202负荷,220,重庆.思源,26816,-1,42
45,重庆.思源/35kV.301负荷,35,重庆.思源,26817,-1,43
46,重庆.思源/35kV.302负荷,35,重庆.思源,26818,-1,43
47,四川.海虹厂/220kV.海虹高备变等值负荷,13,四川.海虹厂,26819,-1,327
48,四川.峨铝/220kV.1#ZLB等值负荷,220,四川.峨铝,41058,-1,98
49,四川.峨铝/220kV.2#ZLB等值负荷,220,四川.峨铝,41059,-1,98
50,四川.峨铝/220kV.3#ZLB等值负荷,220,四川.峨铝,41060,-1,98
51,四川.峨铝/220kV.4#ZLB等值负荷,220,四川.峨铝,41061,-1,98
52,四川.修文/220kV.1#动力变等值负荷,220,四川.修文,20855,0,264
53,四川.修文/220kV.2#动力变等值负荷,220,四川.修文,20856,0,264
54,四川.修文/220kV.3#动力变等值负荷,220,四川.修文,20857,0,264
55,四川.修文/220kV.4#动力变等值负荷,220,四川.修文,20858,0,264
56,四川.修文/220kV.1#调压变等值负荷,220,四川.修文,8486,0,264
57,四川.修文/220kV.10#调压变等值负荷,220,四川.修文,8508,0,264
58,四川.修文/220kV.11#调压变等值负荷,220,四川.修文,8510,0,264
59,四川.修文/220kV.2#调压变等值负荷,220,四川.修文,8488,0,264
60,四川.修文/220kV.3#调压变等值负荷,220,四川.修文,8490,0,264
61,四川.修文/220kV.4#调压变等值负荷,220,四川.修文,8492,0,264
