transformer_id,middle_point,CN_transformer,taid
1,-1,41380,11
2,-1,41382,12
3,-1,41381,13
4,-2,41383,21
5,-2,41385,22
6,-2,41384,23
7,-3,41386,31
8,-3,41388,32
9,-3,41387,33
10,-4,41389,41
11,-4,41391,42
12,-4,41390,43
13,-42,2463,421
14,-42,26815,422
15,-42,26817,423
16,-43,2472,431
17,-43,26816,432
18,-43,26818,433
19,-57,18962,571
20,-57,20661,572
21,-57,17683,573
22,-103,944,1031
23,-103,8468,1032
24,-103,18513,1033
25,-108,18517,1081
26,-108,7983,1082
27,-108,18522,1083
28,-110,18571,1101
29,-110,20699,1102
30,-110,19479,1103
31,-123,5660,1231
32,-123,5650,1232
33,-123,27720,1233
34,-129,18723,1291
35,-129,7749,1292
36,-129,18721,1293
37,-147,18224,1471
38,-147,26828,1472
39,-147,19460,1473
40,-154,2975,1541
41,-154,26838,1542
42,-154,17728,1543
43,-170,18484,1701
44,-170,8027,1702
45,-170,417,1703
46,-225,7617,2251
47,-225,7609,2252
48,-225,27596,2253
49,-239,18949,2391
50,-239,27662,2392
51,-239,6319,2393
52,-240,3713,2401
53,-240,26830,2402
54,-240,26827,2403
55,-243,18793,2431
56,-243,5926,2432
57,-243,510,2433
58,-244,4995,2441
59,-244,7847,2442
60,-244,27721,2443
61,-249,17579,2491
62,-249,26824,2492
63,-249,26852,2493
64,-250,17580,2501
65,-250,26825,2502
66,-250,26829,2503
67,-253,19861,2531
68,-253,26845,2532
69,-253,26832,2533
70,-254,19862,2541
71,-254,26846,2542
72,-254,26833,2543
73,-255,3513,2551
74,-255,26834,2552
75,-255,26835,2553
76,-256,17748,2561
77,-256,17729,2562
78,-256,17744,2563
79,-257,17747,2571
80,-257,17730,2572
81,-257,17745,2573
82,-258,3667,2581
83,-258,26848,2582
84,-258,26837,2583
85,-259,19881,2591
86,-259,26849,2592
87,-259,26836,2593
88,-260,18728,2601
89,-260,18726,2602
90,-260,18730,2603
91,-265,7952,2651
92,-265,7955,2652
93,-265,733,2653
94,-268,18266,2681
95,-268,18257,2682
96,-268,18261,2683
97,-276,19200,2761
98,-276,19196,2762
99,-276,19198,2763
100,-277,19214,2771
101,-277,19197,2772
102,-277,19199,2773
103,-278,18566,2781
104,-278,18557,2782
105,-278,18563,2783
106,-279,18983,2791
107,-279,18980,2792
108,-279,18981,2793
109,-281,2724,2811
110,-281,20287,2812
111,-281,755,2813
112,-285,17896,2851
113,-285,17894,2852
114,-285,48,2853
115,-286,18579,2861
116,-286,18572,2862
117,-286,18577,2863
118,-287,5860,2871
119,-287,8136,2872
120,-287,759,2873
121,-288,20342,2881
122,-288,20343,2882
123,-288,26841,2883
124,-290,18024,2901
125,-290,18017,2902
126,-290,18021,2903
127,-291,18325,2911
128,-291,18314,2912
129,-291,18323,2913
130,-292,18331,2921
131,-292,18315,2922
132,-292,18324,2923
133,-293,17910,2931
134,-293,17899,2932
135,-293,17908,2933
136,-294,17911,2941
137,-294,18767,2942
138,-294,18768,2943
139,-295,18220,2951
140,-295,18213,2952
141,-295,18218,2953
142,-296,8203,2961
143,-296,26842,2962
144,-296,766,2963
145,-300,18745,3001
146,-300,18734,3002
147,-300,18743,3003
148,-301,18747,3011
149,-301,18735,3012
150,-301,18744,3013
151,-302,18155,3021
152,-302,18141,3022
153,-302,18151,3023
154,-303,18154,3031
155,-303,18142,3032
156,-303,18152,3033
157,-304,18201,3041
158,-304,18192,3042
159,-304,18200,3043
160,-305,18941,3051
161,-305,18939,3052
162,-305,18940,3053
163,-306,19288,3061
164,-306,19286,3062
165,-306,19287,3063
166,-307,24242,3071
167,-307,20486,3072
168,-307,20494,3073
169,-309,8281,3091
170,-309,27622,3092
171,-309,773,3093
172,-310,18421,3101
173,-310,18411,3102
174,-310,18419,3103
175,-311,18424,3111
176,-311,18412,3112
177,-311,18420,3113
178,-312,19098,3121
179,-312,19094,3122
180,-312,19115,3123
181,-313,19102,3131
182,-313,19095,3132
183,-313,19116,3133
184,-314,18088,3141
185,-314,18096,3142
186,-314,18109,3143
187,-315,18091,3151
188,-315,18097,3152
189,-315,18110,3153
190,-316,20512,3161
191,-316,20528,3162
192,-316,20533,3163
193,-317,17877,3171
194,-317,17871,3172
195,-317,17876,3173
196,-318,17889,3181
197,-318,18799,3182
198,-318,18802,3183
199,-319,17955,3191
200,-319,17944,3192
201,-319,17953,3193
202,-320,17960,3201
203,-320,17945,3202
204,-320,17954,3203
205,-321,17706,3211
206,-321,17693,3212
207,-321,17704,3213
208,-322,17709,3221
209,-322,17694,3222
210,-322,17705,3223
211,-324,20572,3241
212,-324,20567,3242
213,-324,20569,3243
214,-325,18309,3251
215,-325,18297,3252
216,-325,18307,3253
217,-326,18311,3261
218,-326,18298,3262
219,-326,18308,3263
220,-327,18356,3271
221,-327,18348,3272
222,-327,18353,3273
223,-328,7605,3281
224,-328,20597,3282
225,-328,26822,3283
226,-329,19206,3291
227,-329,19126,3292
228,-329,19128,3293
229,-330,19205,3301
230,-330,19127,3302
231,-330,19129,3303
232,-331,41392,3311
233,-331,20608,3312
234,-331,20609,3313
235,-333,5374,3331
236,-333,5379,3332
237,-333,79,3333
238,-334,18811,3341
239,-334,26823,3342
240,-334,26840,3343
241,-335,7666,3351
242,-335,26844,3352
243,-335,26843,3353
244,-336,18989,3361
245,-336,19038,3362
246,-336,19046,3363
247,-337,19047,3371
248,-337,19037,3372
249,-337,19045,3373
250,-338,21871,3381
251,-338,20323,3382
252,-338,20324,3383
253,-339,19049,3391
254,-339,19060,3392
255,-339,19061,3393
256,-340,19054,3401
257,-340,19410,3402
258,-340,19062,3403
259,-341,19403,3411
