CN,name,Tx_node,Tx
41380,国调.长治/1#变压器,41380,11
41382,国调.长治/1#变压器,41382,12
41381,国调.长治/1#变压器,41381,13
41383,国调.长治/2#变压器,41383,21
41385,国调.长治/2#变压器,41385,22
41384,国调.长治/2#变压器,41384,23
41386,国调.荆门/2#变压器,41386,31
41388,国调.荆门/2#变压器,41388,32
41387,国调.荆门/2#变压器,41387,33
41389,国调.荆门/1#变压器,41389,41
41391,国调.荆门/1#变压器,41391,42
41390,国调.荆门/1#变压器,41390,43
2463,重庆.思源/1#变压器,2463,421
26815,重庆.思源/1#变压器,26815,422
26817,重庆.思源/1#变压器,26817,423
2472,重庆.思源/2#变压器,2472,431
26816,重庆.思源/2#变压器,26816,432
26818,重庆.思源/2#变压器,26818,433
18962,四川.大桥厂/2#变压器,18962,571
20661,四川.大桥厂/2#变压器,20661,572
17683,四川.大桥厂/2#变压器,17683,573
944,四川.小沟头厂/1#变压器,944,1031
8468,四川.小沟头厂/1#变压器,8468,1032
18513,四川.小沟头厂/1#变压器,18513,1033
18517,四川.小天都厂/3#变压器,18517,1081
7983,四川.小天都厂/3#变压器,7983,1082
18522,四川.小天都厂/3#变压器,18522,1083
18571,四川.薛城厂/2#变压器,18571,1101
20699,四川.薛城厂/2#变压器,20699,1102
19479,四川.薛城厂/2#变压器,19479,1103
5660,四川.竹格多厂/3#变压器,5660,1231
5650,四川.竹格多厂/3#变压器,5650,1232
27720,四川.竹格多厂/3#变压器,27720,1233
18723,四川.自一里厂/1#变压器,18723,1291
7749,四川.自一里厂/1#变压器,7749,1292
18721,四川.自一里厂/1#变压器,18721,1293
18224,四川.攀煤电厂/11#变压器,18224,1471
26828,四川.攀煤电厂/11#变压器,26828,1472
19460,四川.攀煤电厂/11#变压器,19460,1473
2975,四川.东风厂/1#变压器,2975,1541
26838,四川.东风厂/1#变压器,26838,1542
17728,四川.东风厂/1#变压器,17728,1543
18484,四川.威州厂/2#变压器,18484,1701
8027,四川.威州厂/2#变压器,8027,1702
417,四川.威州厂/2#变压器,417,1703
7617,四川.江边厂/4#变压器,7617,2251
7609,四川.江边厂/4#变压器,7609,2252
27596,四川.江边厂/4#变压器,27596,2253
18949,四川.下索子厂/1#变压器,18949,2391
27662,四川.下索子厂/1#变压器,27662,2392
6319,四川.下索子厂/1#变压器,6319,2393
3713,四川.金堂厂/205启备变压器,3713,2401
26830,四川.金堂厂/205启备变压器,26830,2402
26827,四川.金堂厂/205启备变压器,26827,2403
18793,四川.柳坪厂/1#变压器,18793,2431
5926,四川.柳坪厂/1#变压器,5926,2432
510,四川.柳坪厂/1#变压器,510,2433
4995,四川.铁厂河厂/2#变压器,4995,2441
7847,四川.铁厂河厂/2#变压器,7847,2442
27721,四川.铁厂河厂/2#变压器,27721,2443
17579,四川.白马新厂/27#变压器,17579,2491
26824,四川.白马新厂/27#变压器,26824,2492
26852,四川.白马新厂/27#变压器,26852,2493
17580,四川.白马新厂/28#变压器,17580,2501
26825,四川.白马新厂/28#变压器,26825,2502
26829,四川.白马新厂/28#变压器,26829,2503
19861,四川.广安厂/3#变压器,19861,2531
26845,四川.广安厂/3#变压器,26845,2532
26832,四川.广安厂/3#变压器,26832,2533
19862,四川.广安厂/4#变压器,19862,2541
26846,四川.广安厂/4#变压器,26846,2542
26833,四川.广安厂/4#变压器,26833,2543
3513,四川.黄桷庄厂/20#变压器,3513,2551
26834,四川.黄桷庄厂/20#变压器,26834,2552
26835,四川.黄桷庄厂/20#变压器,26835,2553
17748,四川.东坡/1#变压器,17748,2561
17729,四川.东坡/1#变压器,17729,2562
17744,四川.东坡/1#变压器,17744,2563
17747,四川.东坡/2#变压器,17747,2571
17730,四川.东坡/2#变压器,17730,2572
17745,四川.东坡/2#变压器,17745,2573
3667,四川.江油新厂/1#变压器,3667,2581
26848,四川.江油新厂/1#变压器,26848,2582
26837,四川.江油新厂/1#变压器,26837,2583
19881,四川.江油新厂/2#变压器,19881,2591
26849,四川.江油新厂/2#变压器,26849,2592
26836,四川.江油新厂/2#变压器,26836,2593
18728,四川.棕坪溪/1#变压器,18728,2601
18726,四川.棕坪溪/1#变压器,18726,2602
18730,四川.棕坪溪/1#变压器,18730,2603
7952,四川.红叶厂/2#变压器,7952,2651
7955,四川.红叶厂/2#变压器,7955,2652
733,四川.红叶厂/2#变压器,733,2653
18266,四川.普提/2#变压器,18266,2681
18257,四川.普提/2#变压器,18257,2682
18261,四川.普提/2#变压器,18261,2683
19200,四川.达州/1#变压器,19200,2761
19196,四川.达州/1#变压器,19196,2762
19198,四川.达州/1#变压器,19198,2763
19214,四川.达州/2#变压器,19214,2771
19197,四川.达州/2#变压器,19197,2772
19199,四川.达州/2#变压器,19199,2773
18566,四川.叙府/1#变压器,18566,2781
18557,四川.叙府/1#变压器,18557,2782
18563,四川.叙府/1#变压器,18563,2783
18983,四川.叙府/2#变压器,18983,2791
18980,四川.叙府/2#变压器,18980,2792
18981,四川.叙府/2#变压器,18981,2793
2724,四川.滨东厂/3#变压器,2724,2811
20287,四川.滨东厂/3#变压器,20287,2812
755,四川.滨东厂/3#变压器,755,2813
17896,四川.红房子厂/1#变压器,17896,2851
17894,四川.红房子厂/1#变压器,17894,2852
48,四川.红房子厂/1#变压器,48,2853
18579,四川.雅安/2#变压器,18579,2861
18572,四川.雅安/2#变压器,18572,2862
18577,四川.雅安/2#变压器,18577,2863
5860,四川.五一桥厂/3#变压器,5860,2871
8136,四川.五一桥厂/3#变压器,8136,2872
759,四川.五一桥厂/3#变压器,759,2873
20342,四川.五一桥厂/4#变压器,20342,2881
20343,四川.五一桥厂/4#变压器,20343,2882
26841,四川.五一桥厂/4#变压器,26841,2883
18024,四川.九龙/2#变压器,18024,2901
18017,四川.九龙/2#变压器,18017,2902
18021,四川.九龙/2#变压器,18021,2903
18325,四川.石棉/1#变压器,18325,2911
18314,四川.石棉/1#变压器,18314,2912
18323,四川.石棉/1#变压器,18323,2913
18331,四川.石棉/2#变压器,18331,2921
18315,四川.石棉/2#变压器,18315,2922
18324,四川.石棉/2#变压器,18324,2923
17910,四川.黄岩/2#变压器,17910,2931
17899,四川.黄岩/2#变压器,17899,2932
17908,四川.黄岩/2#变压器,17908,2933
17911,四川.黄岩/1#变压器,17911,2941
18767,四川.黄岩/1#变压器,18767,2942
18768,四川.黄岩/1#变压器,18768,2943
18220,四川.南天/2#变压器,18220,2951
18213,四川.南天/2#变压器,18213,2952
18218,四川.南天/2#变压器,18218,2953
8203,四川.热枯河厂/1#变压器,8203,2961
26842,四川.热枯河厂/1#变压器,26842,2962
766,四川.热枯河厂/1#变压器,766,2963
18745,四川.泸州/1#变压器,18745,3001
18734,四川.泸州/1#变压器,18734,3002
18743,四川.泸州/1#变压器,18743,3003
18747,四川.泸州/2#变压器,18747,3011
18735,四川.泸州/2#变压器,18735,3012
18744,四川.泸州/2#变压器,18744,3013
18155,四川.茂县/1#变压器,18155,3021
18141,四川.茂县/1#变压器,18141,3022
18151,四川.茂县/1#变压器,18151,3023
18154,四川.茂县/2#变压器,18154,3031
18142,四川.茂县/2#变压器,18142,3032
18152,四川.茂县/2#变压器,18152,3033
18201,四川.南充/1#变压器,18201,3041
18192,四川.南充/1#变压器,18192,3042
18200,四川.南充/1#变压器,18200,3043
18941,四川.南充/2#变压器,18941,3051
18939,四川.南充/2#变压器,18939,3052
18940,四川.南充/2#变压器,18940,3053
19288,四川.康定/1#变压器,19288,3061
19286,四川.康定/1#变压器,19286,3062
19287,四川.康定/1#变压器,19287,3063
24242,四川.康定/2#变压器,24242,3071
20486,四川.康定/2#变压器,20486,3072
20494,四川.康定/2#变压器,20494,3073
8281,四川.龙潭厂/1#变压器,8281,3091
27622,四川.龙潭厂/1#变压器,27622,3092
773,四川.龙潭厂/1#变压器,773,3093
18421,四川.谭家湾/1#变压器,18421,3101
18411,四川.谭家湾/1#变压器,18411,3102
18419,四川.谭家湾/1#变压器,18419,3103
18424,四川.谭家湾/2#变压器,18424,3111
18412,四川.谭家湾/2#变压器,18412,3112
18420,四川.谭家湾/2#变压器,18420,3113
19098,四川.桃乡/1#变压器,19098,3121
19094,四川.桃乡/1#变压器,19094,3122
19115,四川.桃乡/1#变压器,19115,3123
19102,四川.桃乡/2#变压器,19102,3131
19095,四川.桃乡/2#变压器,19095,3132
19116,四川.桃乡/2#变压器,19116,3133
18088,四川.龙王/1#变压器,18088,3141
18096,四川.龙王/1#变压器,18096,3142
18109,四川.龙王/1#变压器,18109,3143
18091,四川.龙王/2#变压器,18091,3151
18097,四川.龙王/2#变压器,18097,3152
18110,四川.龙王/2#变压器,18110,3153
20512,四川.桃乡/3#变压器,20512,3161
20528,四川.桃乡/3#变压器,20528,3162
20533,四川.桃乡/3#变压器,20533,3163
17877,四川.洪沟/1#变压器,17877,3171
