component_id,component_name,volt,sub_name,nd,island,sub_id
序号,发电机名,,,物理节点,电气岛号,厂站索引
1,国调.官地电厂/20kV.1#机组,20,国调.官地电厂,2177,0,13
2,国调.官地电厂/20kV.2#机组,20,国调.官地电厂,2179,0,13
3,国调.官地电厂/20kV.3#机组,20,国调.官地电厂,2181,0,13
4,国调.官地电厂/20kV.4#机组,20,国调.官地电厂,2183,0,13
5,国调.向家坝电厂/20kV.1#机组,20,国调.向家坝,2355,0,21
6,国调.向家坝电厂/20kV.2#机组,20,国调.向家坝,2357,0,21
7,国调.向家坝电厂/20kV.3#机组,20,国调.向家坝,2359,0,21
8,国调.向家坝电厂/20kV.4#机组,20,国调.向家坝,2361,0,21
9,国调.向家坝电厂/20kV.5#机组,20,国调.向家坝,2363,0,21
10,国调.向家坝电厂/20kV.6#机组,20,国调.向家坝,2365,0,21
11,国调.向家坝电厂/20kV.7#机组,20,国调.向家坝,2367,0,21
12,国调.向家坝电厂/20kV.8#机组,20,国调.向家坝,2369,0,21
13,国调.锦东厂/22kV.1#机组,22,国调.锦东厂,2303,0,19
14,国调.锦东厂/22kV.2#机组,22,国调.锦东厂,2305,0,19
15,国调.锦东厂/22kV.3#机组,22,国调.锦东厂,2307,0,19
16,国调.锦东厂/22kV.4#机组,22,国调.锦东厂,2309,0,19
17,国调.锦东厂/22kV.5#机组,22,国调.锦东厂,2311,-1,19
18,国调.锦东厂/22kV.6#机组,22,国调.锦东厂,2313,0,19
19,国调.锦东厂/22kV.7#机组,22,国调.锦东厂,2315,0,19
20,国调.锦东厂/22kV.8#机组,22,国调.锦东厂,2317,0,19
21,国调.溪洛渡电厂/22kV.1#机组,22,国调.溪洛渡电厂,2371,0,23
22,国调.溪洛渡电厂/22kV.2#机组,22,国调.溪洛渡电厂,2373,0,23
23,国调.溪洛渡电厂/22kV.3#机组,22,国调.溪洛渡电厂,2375,0,23
24,国调.溪洛渡电厂/22kV.4#机组,22,国调.溪洛渡电厂,2377,0,23
25,国调.溪洛渡电厂/22kV.5#机组,22,国调.溪洛渡电厂,2379,0,23
26,国调.溪洛渡电厂/22kV.6#机组,22,国调.溪洛渡电厂,2381,0,23
27,国调.溪洛渡电厂/22kV.7#机组,22,国调.溪洛渡电厂,2383,0,23
28,国调.溪洛渡电厂/22kV.8#机组,22,国调.溪洛渡电厂,2385,0,23
29,国调.溪洛渡电厂/22kV.9#机组,22,国调.溪洛渡电厂,2387,0,23
30,国调.锦西厂/22kV.1#机组,22,国调.锦西厂,12537,0,25
31,国调.锦西厂/22kV.2#机组,22,国调.锦西厂,12539,0,25
32,国调.锦西厂/22kV.3#机组,22,国调.锦西厂,12541,0,25
33,国调.锦西厂/22kV.4#机组,22,国调.锦西厂,12543,0,25
34,国调.锦西厂/22kV.5#机组,22,国调.锦西厂,12545,0,25
35,国调.锦西厂/22kV.6#机组,22,国调.锦西厂,12547,0,25
36,四川.海虹厂/13.8kV.11#机组,13,四川.海虹厂,19838,-1,327
37,四川.海虹厂/13.8kV.12#机组,13,四川.海虹厂,19843,-1,327
38,四川.百花滩厂/10.5kV.1#机组,10,四川.百花滩厂,2634,0,65
39,四川.百花滩厂/10.5kV.2#机组,10,四川.百花滩厂,2642,0,65
40,四川.百花滩厂/10.5kV.3#机组,10,四川.百花滩厂,2644,-1,65
41,四川.滨东厂/10.5kV.1#机组,10,四川.滨东厂,2716,0,74
42,四川.滨东厂/10.5kV.2#机组,10,四川.滨东厂,2718,0,74
43,四川.宝珠寺厂/13.8kV.11#机组,13,四川.宝珠寺厂,17620,0,71
44,四川.宝珠寺厂/13.8kV.12#机组,13,四川.宝珠寺厂,17622,0,71
45,四川.宝珠寺厂/13.8kV.13#机组,13,四川.宝珠寺厂,17628,0,71
46,四川.宝珠寺厂/13.8kV.14#机组,13,四川.宝珠寺厂,17630,0,71
47,四川.大金坪厂/13.8kV.1#机组,13,四川.大金坪厂,2788,0,80
48,四川.大金坪厂/13.8kV.2#机组,13,四川.大金坪厂,2790,0,80
49,四川.大金坪厂/13.8kV.3#机组,13,四川.大金坪厂,2799,0,80
50,四川.大桥厂/10.5kV.1#机组,10,四川.大桥厂,2838,0,84
51,四川.大桥厂/10.5kV.2#机组,10,四川.大桥厂,2839,0,84
52,四川.大桥厂/10.5kV.3#机组,10,四川.大桥厂,2846,0,84
53,四川.大桥厂/10.5kV.4#机组,10,四川.大桥厂,2847,0,84
54,西南.二滩厂/18kV.1#机组,18,西南.二滩厂,3093,-1,1313
55,西南.二滩厂/18kV.2#机组,18,西南.二滩厂,3095,0,1313
