ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
1,1,0.000000,0.020000,200.000000,0.000000,1.000000,4.000000,0.100000,0.100000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.360000,-3.670000,0.075000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#7
2,2,0.050000,0.020000,310.000000,1.000000,1.000000,1.000000,1.000000,7.160000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.600000,-5.000000,0.042000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____
3,3,-0.020000,0.020000,40.000000,1.000000,1.000000,4.000000,0.100000,0.100000,5.810000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.640000,-4.800000,0.075000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#1
4,4,-0.020000,0.020000,40.000000,1.000000,1.000000,4.000000,0.100000,0.100000,6.190000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.040000,-5.290000,0.075000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#2
5,5,-0.020000,0.020000,40.000000,1.000000,1.000000,4.000000,0.100000,0.100000,5.880000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.560000,-4.970000,0.076000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____#3
6,6,0.000000,0.020000,10.000000,0.000000,1.800000,1.800000,0.010000,0.010000,13.040000,0.020000,20.000000,-20.000000,0.000000,1.000000,6.320000,-5.370000,0.085500,0,0,1000000.000000,-1000000.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
7,7,0.000000,0.020000,10.000000,0.000000,1.800000,1.800000,0.010000,0.010000,15.560000,0.020000,20.000000,-20.000000,0.000000,1.000000,6.420000,-5.670000,0.085500,0,0,1000000.000000,-1000000.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0.000000
8,8,0.000000,0.020000,10.000000,0.000000,1.800000,1.800000,0.100000,0.100000,20.115000,0.010000,20.000000,-20.000000,0.000000,1.000000,5.970000,-5.370000,0.086000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___3
9,9,0.000000,0.030000,10.000000,0.000000,1.800000,1.800000,0.100000,0.100000,14.520000,0.020000,20.000000,-20.000000,0.000000,1.000000,6.170000,-4.220000,0.086000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#4
10,10,0.000000,0.020000,45.000000,0.000000,14.500000,14.500000,0.100000,0.100000,1.250000,0.010000,10.000000,-10.000000,0.000000,1.000000,6.960000,-5.420000,0.062400,1,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___33_
11,11,0.000000,0.020000,45.000000,0.000000,14.850000,14.850000,0.100000,0.010000,1.000000,0.020000,7.420000,-5.700000,0.000000,1.000000,7.380000,-5.740000,0.083000,1,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___34_
12,12,0.000000,0.020000,4.930000,0.000000,1.000000,1.000000,1.000000,1.000000,9.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,8.350000,-7.070000,0.103000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#61
13,13,0.000000,0.020000,4.920000,0.000000,1.000000,1.000000,1.000000,1.000000,9.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,7.890000,-6.610000,0.103000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#62
14,14,0.050000,0.020000,20.000000,0.000000,1.200000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.840000,-5.690000,0.041000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1
15,15,0.050000,0.020000,20.000000,0.000000,1.200000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.380000,-5.320000,0.041000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,__#1
16,16,0.092000,0.020000,135.000000,1.000000,2.000000,2.000000,1.000000,4.000000,1.000000,0.020000,20.000000,-20.000000,0.000000,1.000000,5.200000,-4.400000,0.054000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,2,2,1,0,0,0,0,0,0,_____
17,17,0.000000,0.020000,47.000000,1.000000,0.010000,0.010000,1.000000,7.010000,7.240000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.886000,-4.980000,0.044000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___G1_
18,18,0.000000,0.020000,30.000000,0.000000,10.000000,10.000000,1.000000,1.000000,1.000000,0.010000,7.420000,-5.700000,0.000000,1.000000,5.800000,-4.400000,0.068000,1,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,____
19,19,0.040000,0.020000,47.000000,1.000000,0.010000,0.010000,1.000000,7.010000,7.240000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.886000,-4.980000,0.044000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___G1_
20,20,0.040000,0.020000,47.000000,1.000000,0.010000,0.010000,1.000000,7.010000,7.240000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.925000,-4.945000,0.044000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___G1_
21,21,0.040000,0.020000,47.000000,1.000000,0.010000,0.010000,1.000000,7.010000,7.240000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.560000,-4.820000,0.044000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___G1_
22,22,0.000000,0.010000,330.000000,1.000000,0.500000,2.500000,0.180000,0.020000,1.000000,0.010000,10.000000,-10.000000,0.000000,1.000000,5.420000,-3.940000,0.063000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,12__#2
