ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
1,1,0,1.013,0.3613,0.263,0.746,0.746,0.246,0.209,0,6.58,0.07,0,0.171,7.6669,1,0.126,6.8337,0,___2_?
2,2,0,1.037,0.242,0.175,0.619,0.619,0.167,0.171,0,7.026,0.068,0.211,0.145,6.9,1,0.116,6.9,0,__________0.005779
3,3,0,1,0.272,0.184,0.632,0.632,0.197,0.2502,0,7.797,0.085,0.205,0.064,6.93,1,0,2,0,___#1____0.003942_
4,4,0,1.057,0.314,0.233,0.745,0.745,0.247,0.224,0.001864,10.602,0.135,0.336,0.336,9.331,1,0.132,11.58922,0,__1-1#_
5,5,0,1.997,0.2957,0.1759,1.93,0.4177,0.2073,0.2146,0,8.51,0.03,0.76,0.05,6.4,1,0.103,5.8,0,___32_
6,6,0,1.8548,0.2568,0.1693,1.8548,0.2568,0.1694,0.1867,0,7.88,0.05,1.025,0.05,7.36,1,0.073,7.84,0,___34_
7,7,0,1.8928,0.2751,0.1985,1.8929,0.2751,0.1985,0.2223,0,8.446,0.1792,0.938,0.1792,6.4,1,0.175,5.9816,0,___61_
8,8,0,1.104,0.272,0.191,0.653,0.653,0.297,0.238,0.003483,6.06,0.067,0.073,0.033,5.91,1,0,2,0,_____
9,9,0,0.9381,0.3537,0.2839,0.6475,0.6475,0.3144,0.2988,0,3.44,0.0466,0.0944,0.05,2.16,1,0.11,9.7,0,_____
10,10,0,1.038,0.259,0.163,0.651,0.651,0.186,0.181,0.01042,1.313,0.037,0.151,0.151,6.7,1,0,2,0,_____
11,11,0,0.9856,0.2955,0.1854,0.6194,0.6194,0.1903,0.188,0,6.59,0.102,0.237,0.073,4.97,1,0.156,4.91,0,_____
12,12,0,1.1128,0.2961,0.2019,0.7168,0.7168,0.2184,0.21,0,6.547,0.0661,0.3263,0.0326,4.9893,1,0,2,0,_____
13,13,0,1.037,0.327,0.245,0.624,0.624,0.271,0.258,0,8.521,0.092,0.181,0.077,10.4,1,0.076,7.145,0,___1_?
14,14,0,0.94,0.252,0.167,0.566,0.566,0.174,0.892,0,3.04,0.03,0,0.03,4.245,1,0,2,0,_____
15,15,0,1.085,0.282,0.186,0.665,0.665,0.196,0.191,0,6.8,0.081,0.22,0.0544,4.7,1,0.1,6.8,0,_____
16,16,0,0.9702,0.2877,0.217,0.6436,0.6436,0.2491,0.2323,0.0038,8.226,0.1042,0.227,0.0879,8.78,1,0,2,0,_____
17,17,0,0.9702,0.2877,0.217,0.6436,0.6436,0.2491,0.2323,0.0038,8.226,0.1042,0.227,0.0879,4.39,1,0,2,0,_____
18,18,0,0.995,0.301,0.215,0.656,0.656,0.192,0.21,0,8.668,0.145,0.351,0.351,7.95,1,0,2,0,_____
19,19,0,1.11,0.291,0.192,0.689,0.689,0.201,0.22,0,4.48,0.03,0.9,0.045,8,1,0.13,8.3885,0,___1_?
20,20,0,0.9172,0.2226,0.1653,0.5282,0.5282,0.1716,0.1685,0,5,0.057,0.2015,0.06,5.45,1,0.12,6.9,0,_____
21,21,0,0.93,0.31,0.23,0.64,0.64,0.25,0.24,0,7.47,0.06,0,0.12,6.13,1,0.06,9.24957,0,____
22,22,0,1.76,0.305,0.216,1.66,1.66,0.236,0.226,0,5.5,0.04,0.96,0.03,7.62,1,0.19,8.885,0,___32_
23,23,0,0.9462,0.3111,0.2123,0.615,0.615,0.221,0.2166,0,5.83,0.0797,0.176,0.06,6.8,1,0.13,6.6,0,_____
24,24,0,0.99,0.3,0.211,0.643,0.643,0.228,0.219,0,5.3,0.06,0.18,0.08,6.17,1,0.07,6.8,0,_____
25,25,0,1.0087,0.2609,0.1836,0.6831,0.6831,0.1724,0.1779,0,8.4597,0.1293,0,0.4635,6.9243,0.9375,0.0625,5.84,0,_____
26,26,0,1.066,0.2792,0.2018,0.6752,0.6752,0.2388,0.2195,0,8.34,0.0848,0.2383,0.1,4.9126,0.87,0.13,7.067,0,______
