ID,Par_No,Type,Regu_Ratio,T_Service,Dead_Range,Valve_Max,Valve_Min,Gate_Max,Gate_Min,T0_Steam,Tw_Hydro,K_Overheat,T_Overheat,K_Measure,K_Sfeed,T_Sfeed,Note
1,1,2,4.000000,5.000000,0.002000,1.000000,-1.000000,1.010000,0.000000,0.500000,1.000000,1.000000,100000.000000,20.000000,0.500000,5.000000,GO1_  2_
2,2,1,3.030303,0.200000,0.001000,1.000000,-1.000000,1.010000,0.000000,0.240000,0.000000,0.267000,10.000000,33.000000,0.000000,100000.000000,GO1_  4_
3,3,1,5.000000,0.500000,0.002000,1.000000,-1.000000,1.000000,0.000000,0.200000,0.000000,1.000000,100000.000000,20.000000,0.000000,100000.000000,GO1_  1_
4,4,1,5.000000,0.500000,0.002000,1.000000,-1.000000,1.000000,0.000000,0.200000,0.000000,0.333000,8.000000,20.000000,0.000000,100000.000000,GO1_  5_
5,5,1,5.000000,2.000000,0.002000,1.000000,-1.000000,1.100000,0.010000,0.100000,0.000000,1.000000,0.220000,20.000000,0.000000,100000.000000,____
6,6,1,5.000000,0.500000,0.004000,1.000000,-1.000000,1.002000,0.000000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,GOV 1_
7,7,1,5.000000,0.500000,0.001000,0.050000,-0.500000,1.010000,0.300000,0.200000,0.000000,0.333000,8.400000,20.000000,0.000000,100000.000000,BPAGOV_
8,8,1,5.000000,0.500000,0.004000,1.000000,-1.000000,1.010000,0.000000,0.200000,0.000000,1.000000,100000.000000,20.000000,0.000000,100000.000000,GO1_  4
9,9,1,5.000000,0.500000,0.002000,1.000000,-1.000000,1.010000,0.000000,0.200000,0.000000,0.333000,8.000000,20.000000,0.000000,100000.000000,GO1_  5
10,10,2,4.000000,11.000000,0.004000,1.000000,-1.000000,1.100000,0.250000,1.000000,2.000000,1.000000,100000.000000,20.000000,0.176000,13.400000,GO1_  1
11,11,2,5.000000,7.000000,0.002000,1.000000,-1.000000,1.100000,0.000000,0.500000,1.000000,1.000000,100000.000000,20.000000,0.072000,3.000000,GO1_  2
12,12,2,4.000000,5.000000,0.002000,1.000000,-1.000000,1.100000,0.000000,0.500000,1.000000,1.000000,100000.000000,20.000000,0.500000,5.000000,GO1_  3
13,13,1,5.000000,0.500000,0.001000,0.050000,-0.500000,1.000000,0.275400,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
14,14,1,5.050000,0.500000,0.001000,0.050000,-0.500000,1.000000,0.297001,0.200000,0.000000,0.333000,8.400000,19.801979,0.000000,100000.000000,
15,15,2,4.000000,1.250000,0.001330,0.041250,-0.075000,1.000000,0.000000,0.600000,1.200000,1.000000,100000.000000,25.000000,0.125000,6.000000,
16,16,2,4.000000,1.250000,0.001330,0.040000,-0.075000,1.000000,0.000000,0.600000,1.200000,1.000000,100000.000000,25.000000,0.125000,6.000000,
17,17,2,5.000000,5.000000,0.001000,1.000000,-1.000000,1.010000,0.000000,0.500000,1.000000,1.000000,100000.000000,20.000000,10.000000,5.000000,_____
18,18,1,5.050000,0.500000,0.001000,0.050000,-0.495000,1.000000,0.300000,0.200000,0.000000,0.333000,8.400000,19.801979,0.000000,100000.000000,
19,19,1,5.000000,0.500000,0.001000,0.050000,-0.500000,1.000000,0.306000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
20,20,2,4.400000,6.250000,0.002000,1.250000,-1.250000,1.000000,0.000000,0.500000,1.000000,1.000000,100000.000000,22.727274,0.620455,5.000000,
21,21,1,5.000000,0.500000,0.001330,0.050000,-0.500000,1.000000,0.275000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
22,22,1,5.000000,0.500000,0.001330,0.050000,-0.500000,1.000000,0.266129,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
23,23,1,5.000000,0.500000,0.001330,0.050000,-0.500000,1.000000,0.000000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
24,24,1,5.000000,5.000000,0.004000,1.000000,-1.000000,1.000000,0.000000,2.000000,0.000000,1.000000,100000.000000,20.000000,0.000000,100000.000000,_____
25,25,1,5.000000,0.500000,0.001000,0.050000,-0.500000,1.000000,0.330000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
26,26,1,5.050000,0.500000,0.001330,0.050000,-0.500000,1.000000,0.297000,0.200000,0.000000,0.333000,8.400000,19.801979,0.000000,100000.000000,
27,27,1,5.000000,0.500000,0.001330,0.050000,-0.500000,1.000000,0.330000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
28,28,1,5.000000,0.020000,0.000000,1.000000,0.000000,1.000000,0.000000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,__GO1_
29,29,2,5.000000,5.000000,0.001330,1.500000,-1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,100000.000000,20.000000,6.000000,5.000000,
30,30,2,4.000000,10.000000,0.002000,2.000000,-2.000000,1.000000,0.000000,0.500000,1.000000,1.000000,100000.000000,25.000000,5.000000,5.000000,
31,31,1,5.000000,0.500000,0.004000,1.000000,-1.000000,1.000000,0.000000,0.200000,0.000000,1.000000,100000.000000,20.000000,0.000000,100000.000000,GO1_  4
32,32,2,4.000000,5.000000,0.002000,1.000000,-1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,100000.000000,20.000000,0.500000,5.000000,GOV1
33,33,1,5.000000,0.500000,0.002000,1.000000,-1.000000,1.010000,0.000000,0.200000,0.000000,1.000000,100000.000000,20.000000,0.000000,100000.000000,
34,34,1,5.000000,0.500000,0.001000,0.050000,-0.500000,1.000000,0.000000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,
35,35,2,5.000000,5.100000,0.004000,1.000000,-1.000000,1.000000,0.000000,0.600000,1.200000,1.000000,100000.000000,20.000000,0.500000,2.500000,___
36,36,1,100.000000,0.500000,0.004000,1.000000,-1.000000,1.000000,0.000000,0.200000,0.000000,1.000000,100000.000000,1.000000,0.000000,100000.000000,GO1_  1
37,37,2,4.000000,5.000000,0.004000,1.000000,-1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,100000.000000,20.000000,0.500000,5.000000,GO1_  2
38,38,2,100.000000,5.000000,0.004000,1.000000,-1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,100000.000000,0.800000,0.500000,5.000000,GO1_  2
39,39,1,5.000000,0.500000,0.004000,1.000000,-1.000000,1.000000,0.000000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,100000.000000,GOV 1
40,40,1,5.000000,0.500000,0.033000,1.000000,-1.000000,1.000000,0.000000,0.200000,0.000000,0.333000,10.000000,20.000000,0.000000,0.000000,___G7
