ID,Par_No,k_rotate,k_power,k_voltage,t_measure,t_washout1,t_washout2,t1_shift,t2_shift,t3_shift,t4_shift,t5_shift,t6_shift,vs_max,vs_min,Note
1,1,0.000000,10.440000,0.000000,6.000000,6.000000,10000000.000000,0.240000,0.040000,0.120000,0.030000,2.000000,2.500000,0.050000,-0.050000,_____
2,2,0.000000,0.042490,0.000000,0.020000,7.000000,99999.000000,0.200000,7.000000,0.400000,0.050000,0.280000,0.230000,0.050000,-0.050000,___31_
3,3,0.000000,8.500000,0.000000,0.010000,5.000000,9999999.000000,0.400000,3.500000,0.120000,0.030000,0.100000,0.100000,0.200000,-0.200000,___33_
4,4,0.000000,8.498583,0.000000,0.010000,5.000000,99999.000000,0.400000,4.000000,0.120000,0.030000,0.100000,0.100000,2.250000,-2.250000,___34_
5,5,0.000000,20.850000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.140000,0.020000,1.000000,2.000000,0.050000,-0.050000,_____
6,6,0.000000,232.000000,0.000000,0.020000,4.000000,999999.000000,0.200000,5.000000,0.200000,0.030000,0.100000,0.100000,0.500000,-0.500000,____
7,7,0.000000,46.700001,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.200000,0.020000,1.400000,2.000000,0.050000,-0.050000,_____
8,8,0.000000,18.100000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.200000,0.020000,1.000000,2.000000,0.050000,-0.050000,_____
9,9,0.000000,875.000000,0.000000,0.020000,6.000000,99999.000000,0.300000,2.900000,0.100000,0.020000,0.100000,0.100000,1.000000,-1.000000,__#1#2#3
10,10,0.000000,22.629999,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.160000,0.020000,1.200000,2.000000,0.050000,-0.050000,_____
11,11,0.000000,3.300000,0.000000,5.000000,5.000000,999999.000000,0.200000,0.020000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,____
12,12,0.000000,2.330000,0.000000,0.200000,5.000000,99999.000000,0.500000,0.015000,0.500000,6.000000,0.209000,0.020000,0.050000,-0.050000,_____
13,13,0.000000,24.860001,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.200000,0.020000,0.900000,1.400000,0.050000,-0.050000,_____
14,14,0.000000,8.470000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.240000,0.030000,1.300000,2.500000,0.050000,-0.050000,_____
15,15,0.000000,4.950000,0.000000,0.020000,6.000000,99999.000000,0.300000,0.030000,0.100000,4.000000,0.180000,0.030000,0.050000,-0.050000,___#1
16,16,0.000000,4.950000,0.000000,0.020000,6.000000,99999.000000,0.300000,0.030000,0.100000,4.000000,0.200000,0.020000,0.050000,-0.050000,___#2
17,17,0.000000,8.690000,0.000000,6.000000,6.000000,10000000.000000,0.240000,0.030000,0.160000,0.020000,0.100000,0.100000,0.050000,-0.050000,_____
18,18,0.000000,6.050000,0.000000,6.000000,6.000000,10000000.000000,0.320000,0.040000,0.150000,0.030000,1.200000,2.500000,0.050000,-0.050000,_____
19,19,0.000000,22.600000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.200000,0.020000,1.000000,1.000000,0.050000,-0.050000,_____
20,20,0.000000,11.940000,0.000000,6.000000,6.000000,10000000.000000,0.140000,0.020000,0.300000,0.030000,1.300000,2.500000,0.050000,-0.050000,_____
21,21,0.000000,2.999900,0.000000,0.200000,5.000000,999999.000000,0.150000,0.050000,0.200000,5.000000,0.200000,0.030000,0.050000,-0.050000,_____
22,22,0.000000,2.920000,0.000000,6.000000,6.000000,10000000.000000,0.210000,0.030000,0.200000,0.020000,1.000000,1.000000,0.050000,-0.050000,_____
23,23,0.000000,8.500000,0.000000,0.020000,7.000000,99999.000000,0.500000,5.000000,0.100000,0.090000,1.000000,1.000000,2.500000,-2.500000,___31_
24,24,0.000000,7.060000,0.000000,6.000000,6.000000,10000000.000000,0.210000,0.030000,0.160000,0.020000,0.100000,0.100000,0.050000,-0.050000,_____
25,25,0.000000,4.760000,0.000000,6.000000,6.000000,10000000.000000,0.300000,0.030000,0.270000,0.030000,0.800000,2.500000,0.050000,-0.050000,_____
26,26,0.000000,13.000000,0.000000,7.000000,7.000000,10000000.000000,0.200000,0.020000,0.120000,0.020000,0.100000,0.100000,0.050000,-0.050000,_____
27,27,0.000000,32.529999,0.000000,6.000000,6.000000,10000000.000000,0.120000,0.020000,0.180000,0.020000,0.100000,0.100000,0.050000,-0.050000,_____
28,28,0.000000,2.760000,0.000000,0.200000,5.000000,10000.000000,0.280000,0.040000,0.200000,6.000000,0.270000,0.030000,0.050000,-0.050000,___12_
29,29,0.000000,11.860000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.180000,0.020000,1.200000,2.000000,0.050000,-0.050000,_____
30,30,0.000000,0.950000,0.000000,0.040000,6.000000,99999.000000,0.410000,5.000000,0.200000,0.030000,1.000000,1.000000,0.050000,-0.050000,___11_
31,31,0.000000,8.500000,0.000000,6.000000,6.000000,10000000.000000,0.300000,0.030000,0.210000,0.030000,1.000000,1.500000,0.050000,-0.050000,_____
32,32,0.000000,9.300000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.030000,0.500000,0.040000,1.000000,1.000000,0.050000,-0.050000,_____
33,33,0.000000,18.150000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.150000,0.030000,1.300000,2.500000,0.050000,-0.050000,_____
34,34,0.000000,25.799999,0.000000,6.000000,6.000000,10000000.000000,0.240000,0.030000,0.200000,0.020000,1.000000,1.200000,0.050000,-0.050000,_____
35,35,0.000000,9.260000,0.000000,6.000000,6.000000,10000000.000000,0.090000,0.030000,0.280000,0.040000,1.000000,1.000000,0.050000,-0.050000,_____
36,36,0.000000,8.500000,0.000000,0.020000,6.000000,99999.000000,0.400000,4.000000,0.100000,0.030000,1.000000,1.000000,0.100000,-0.100000,___#31
37,37,0.000000,8.500000,0.000000,0.020000,6.000000,99999.000000,0.400000,4.000000,0.100000,0.030000,1.000000,1.000000,1.800000,-1.800000,___#31
38,38,0.000000,9.090000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.200000,0.020000,0.500000,0.800000,0.050000,-0.050000,_____
39,39,0.000000,2.833000,0.000000,0.200000,5.000000,999999.000000,0.200000,0.050000,0.200000,0.200000,0.200000,0.030000,0.050000,-0.050000,_____
40,40,0.000000,76.923103,0.000000,0.020000,6.000000,99999.000000,0.170000,3.000000,0.100000,0.020000,0.500000,0.500000,5.000000,-5.000000,bpapss2
41,41,0.000000,3.080000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.120000,0.020000,1.000000,1.600000,0.050000,-0.050000,___1-4?
42,42,0.000000,35.060001,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.140000,0.020000,1.600000,2.500000,0.050000,-0.050000,___5_?
43,43,0.000000,7.500000,0.000000,0.010000,4.000000,10000000.000000,0.200000,0.020000,0.160000,0.040000,0.100000,0.100000,0.050000,-0.050000,_____
44,44,0.000000,7.200000,0.000000,6.000000,6.000000,10000000.000000,0.300000,0.030000,0.200000,0.020000,1.000000,2.000000,0.050000,-0.050000,_____
45,45,0.000000,4.550000,0.000000,6.000000,6.000000,10000000.000000,0.300000,0.030000,0.360000,0.040000,0.100000,0.100000,0.050000,-0.050000,_____
46,46,0.000000,5.940000,0.000000,6.000000,6.000000,999999.000000,0.200000,0.030000,0.200000,0.030000,0.100000,0.100000,0.050000,-0.050000,___
47,47,0.000000,7.875000,0.000000,6.000000,6.000000,10000000.000000,0.300000,0.030000,0.300000,0.030000,1.000000,1.400000,0.050000,-0.050000,_____
48,48,0.000000,6.140000,0.000000,6.000000,6.000000,99999.000000,0.400000,0.040000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,____
49,49,0.000000,18.200001,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.300000,0.030000,1.000000,2.000000,0.050000,-0.050000,_____
50,50,0.000000,6.900000,0.000000,6.000000,6.000000,9999999.000000,0.300000,0.030000,0.200000,0.020000,0.100000,0.100000,0.050000,-0.050000,_____
51,51,0.000000,11.331444,0.000000,0.020000,5.000000,99999.000000,0.140000,2.500000,0.120000,0.030000,1.000000,1.000000,0.040000,-0.040000,___31_
52,52,0.000000,11.331444,0.000000,0.020000,5.000000,100000.000000,0.140000,2.500000,0.120000,0.030000,1.000000,1.000000,0.040000,-0.040000,___32_
53,53,0.000000,9.660000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.140000,0.020000,1.300000,1.600000,0.050000,-0.050000,_____
54,54,24.400000,3.700000,0.000000,0.020000,6.000000,10000000.000000,0.200000,0.020000,0.080000,0.240000,0.300000,0.030000,0.100000,-0.100000,_____
55,55,0.000000,7.220000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.180000,0.020000,1.000000,1.200000,0.050000,-0.050000,_____
56,56,0.000000,8.260000,0.000000,6.000000,6.000000,10000000.000000,0.200000,0.020000,0.240000,0.030000,1.000000,2.000000,0.050000,-0.050000,_____
57,57,0.000000,3.000000,0.000000,0.200000,5.000000,99999.000000,0.320000,0.040000,0.200000,5.000000,0.270000,0.030000,0.050000,-0.050000,_____
58,58,0.000000,27.799999,0.000000,6.000000,6.000000,10000000.000000,0.270000,0.030000,0.150000,0.020000,1.300000,2.500000,0.050000,-0.050000,_____
59,59,0.000000,20.600000,0.000000,6.000000,6.000000,10000000.000000,0.240000,0.030000,0.180000,0.020000,0.500000,1.500000,0.050000,-0.050000,_____
60,60,0.000000,3.333000,0.000000,0.020000,4.000000,99999.000000,0.400000,6.000000,0.300000,0.040000,0.100000,0.100000,0.050000,-0.050000,_____
61,61,0.000000,0.600000,0.000000,0.020000,8.000000,999999.000000,0.120000,8.000000,0.300000,0.010000,0.100000,0.100000,0.050000,-0.050000,___#134
62,62,0.000000,1.259000,0.000000,0.020000,6.000000,99999.000000,0.210000,2.400000,0.100000,0.080000,0.100000,0.100000,0.050000,-0.050000,___#1
63,63,0.000000,1.259260,0.000000,0.020000,6.000000,99999.000000,0.210000,2.400000,0.100000,0.080000,0.100000,0.100000,0.050000,-0.050000,___2
64,64,0.000000,0.083798,0.000000,2.000000,2.000000,999.900024,0.120000,0.040000,0.280000,0.040000,1.000000,1.000000,0.050000,-0.050000,____
65,65,0.020000,2.577000,0.000000,0.020000,5.000000,9999.000000,0.100000,0.040000,0.200000,2.000000,0.100000,0.100000,0.050000,-0.050000,24_25___
66,66,0.000000,0.404900,0.000000,0.020000,9999.000000,6.000000,0.300000,3.900000,0.100000,0.030000,0.100000,0.100000,0.050000,-0.050000,__#8
67,67,0.000000,0.340000,0.000000,0.040000,99999.000000,4.000000,0.250000,3.000000,0.400000,0.020000,0.100000,0.100000,0.050000,-0.050000,__#1
68,68,0.000000,0.317000,0.000000,0.020000,5.000000,999.000000,0.100000,5.000000,0.200000,0.020000,0.100000,0.100000,0.050000,-0.050000,___01_
69,69,0.000000,0.340000,0.000000,0.020000,9999.000000,4.000000,0.250000,3.000000,0.400000,0.020000,0.100000,0.100000,0.050000,-0.050000,___01_
70,70,0.020000,0.317000,0.000000,0.020000,5.000000,9999.000000,0.250000,3.000000,0.400000,0.020000,0.100000,0.100000,0.050000,-0.050000,24_25___
71,71,0.000000,0.340000,0.000000,0.020000,4.000000,9999.000000,0.200000,5.000000,0.250000,0.035000,1.000000,1.000000,0.050000,-0.050000,
72,72,0.000000,0.340000,0.000000,0.020000,4.000000,9999.000000,0.200000,5.000000,0.250000,0.035000,0.100000,0.100000,0.050000,-0.050000,
73,73,0.000000,0.300000,0.000000,0.020000,2.400000,9999.000000,0.230000,2.000000,0.220000,0.050000,0.120000,0.040000,0.050000,-0.050000,
74,74,0.000000,2.991453,0.000000,0.020000,5.000000,9999.000000,5.000000,0.200000,0.020000,0.100000,0.010000,0.010000,0.050000,-0.050000,
75,75,0.000000,0.298000,0.298000,0.020000,7.500000,9999.000000,0.680000,4.000000,0.430000,0.360000,1.000000,1.000000,0.050000,-0.050000,
76,76,0.000000,0.500000,0.500000,0.020000,2.000000,9999.000000,0.450000,3.000000,0.200000,0.060000,0.450000,3.000000,0.050000,-0.050000,
77,77,0.000000,0.283000,0.000000,0.020000,10.000000,2.000000,0.350000,4.000000,0.200000,0.050000,0.080000,0.050000,0.050000,-0.050000,___01_
78,78,0.000000,0.210000,0.000000,0.020000,6.000000,99999.000000,0.300000,5.000000,0.300000,0.030000,0.100000,0.100000,0.050000,-0.050000,__#2
79,79,0.000000,0.851000,0.000000,0.020000,5.000000,9999.000000,0.400000,0.046000,0.230000,4.000000,1.000000,1.000000,0.050000,-0.050000,
