ID,Par_No,Trw,T5,T6,T7,Kr,Trp,Tw,Tw1,Tw2,Ks,T9,T10,T12,Kw,Kp,T1,T2,T13,T14,T3,T4,VSMAX,VSMIN,Note
1,1,0.020000,6.000000,6.000000,6.000000,0.772800,0.020000,0.800000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.180000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,__#7
2,2,0.020000,5.000000,5.000000,5.000000,1.060000,0.020000,0.580000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.200000,0.020000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,____#1
3,3,0.020000,6.000000,6.000000,6.000000,0.150000,0.020000,0.600000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.090000,0.010000,0.010000,0.010000,0.240000,0.010000,0.100000,-0.100000,__#1
4,4,0.020000,6.000000,6.000000,6.000000,0.150000,0.020000,0.600000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.090000,0.010000,0.240000,0.010000,0.010000,0.010000,0.100000,-0.100000,___3
5,5,0.020000,6.000000,6.000000,6.000000,0.283300,0.020000,1.000000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.180000,0.040000,0.110000,0.010000,0.300000,0.030000,0.050000,-0.050000,___32_
6,6,0.020000,5.000000,5.000000,5.000000,0.149925,0.020000,0.780000,5.000000,5.000000,1.000000,0.500000,0.100000,0.100000,1.000000,5.000000,0.350000,0.050000,1.980000,4.000000,0.100000,0.010000,0.050000,-0.050000,___61_
7,7,0.020000,5.000000,5.000000,5.000000,0.149925,0.020000,1.000000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.350000,0.050000,3.180000,7.000000,0.100000,0.030000,0.050000,-0.050000,___62_
8,8,0.020000,5.000000,5.000000,5.000000,3.330000,0.020000,0.850000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.200000,0.020000,0.100000,0.100000,0.200000,0.020000,0.100000,-0.100000,__#1
9,9,0.020000,6.000000,6.000000,6.000000,2.857000,0.020000,0.857000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.180000,0.020000,0.100000,0.100000,0.200000,0.030000,0.100000,-0.100000,___G1_
10,10,0.020000,5.000000,5.000000,5.000000,2.631600,0.020000,0.960000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.190000,0.020000,0.010000,0.010000,0.200000,0.020000,0.050000,-0.050000,___1_
