id,name,volt,Q_rate,V_rate,position,node,P,Q,off,Q_meas,nd,bs,island,type,base_value
序号,并补名,电压等级,额定容量,额定电压,连接位置,所在拓扑节点,有功功率,无功功率,停运标志,无功量测,物理节点,计算节点,电气岛号,类型,电压等级
1,三峡左岸.500kV.5113电抗器,500,60.000,525.000,0,国调.三峡左岸厂.500.nd50399,0.000,0.000,1,0,50399,122,-1,Compensator_P,525
2,复龙换流.500kV.5611ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2143,2,0,Compensator_P,525
3,复龙换流.500kV.5612ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2145,2,0,Compensator_P,525
4,复龙换流.500kV.5641ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2151,2,0,Compensator_P,525
5,复龙换流.500kV.5642ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2153,2,0,Compensator_P,525
6,复龙换流.500kV.5643ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2155,2,0,Compensator_P,525
7,复龙换流.500kV.5621ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2126,2,0,Compensator_P,525
8,复龙换流.500kV.5622ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2128,2,0,Compensator_P,525
9,复龙换流.500kV.5624ACF,500,-180.000,525.000,0,国调.复龙换流站.500.2,0.000,0.000,1,0,2132,2,0,Compensator_P,525
10,复龙换流.500kV.5631ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2134,2,0,Compensator_P,525
11,复龙换流.500kV.5632ACF,500,220.000,525.000,0,国调.复龙换流站.500.2,0.000,219.567,0,0,2136,2,0,Compensator_P,525
12,锦屏换流站.500kV.5611ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2231,240,0,Compensator_P,525
13,锦屏换流站.500kV.5612ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2233,240,0,Compensator_P,525
14,锦屏换流站.500kV.5613SC,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2235,240,0,Compensator_P,525
15,锦屏换流站.500kV.5621ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2239,240,0,Compensator_P,525
16,锦屏换流站.500kV.5622ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2241,240,0,Compensator_P,525
17,锦屏换流站.500kV.5623SC,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,0.000,1,0,2243,240,0,Compensator_P,525
18,锦屏换流站.500kV.5624SC,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,0.000,1,0,2245,240,0,Compensator_P,525
19,锦屏换流站.500kV.5631ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2247,240,0,Compensator_P,525
20,锦屏换流站.500kV.5632ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2249,240,0,Compensator_P,525
21,锦屏换流站.500kV.5633ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2251,240,0,Compensator_P,525
22,锦屏换流站.500kV.5634SC,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2253,240,0,Compensator_P,525
23,锦屏换流站.500kV.5641ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2255,240,0,Compensator_P,525
24,锦屏换流站.500kV.5642ACF,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2257,240,0,Compensator_P,525
25,锦屏换流站.500kV.5643SC,500,215.000,525.000,0,国调.锦屏换流站.500.240,0.000,212.937,0,0,2259,240,0,Compensator_P,525
26,锦屏换流站.35kV.311L,35,-60.000,37.000,0,国调.锦屏换流站.35.nd2265,0.000,0.000,1,0,2265,261,-1,Compensator_P,35
27,锦屏换流站.35kV.312L,35,-60.000,37.000,0,国调.锦屏换流站.35.nd2267,0.000,0.000,1,0,2267,261,-1,Compensator_P,35
