id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
1,国调.长治/1#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.0,1000.0,1,1,1,0.0,525.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.长治站.1000.nd41380,国调.长治站.500.nd41382,国调.长治站.110.nd41381,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,'','','','','','','','','','',41380,41382,41381,133,143,145,-1,-1,-1,0.0001,0.001,0.0001,0.001,0.0001,0.001,1.0,1.0,1.0,1000.0,525.0,115.0
2,国调.长治/2#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.0,1000.0,1,1,1,0.0,525.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.长治站.1000.nd41383,国调.长治站.500.nd41385,国调.长治站.110.nd41384,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,'','','','','','','','','','',41383,41385,41384,134,144,146,-1,-1,-1,0.0001,0.001,0.0001,0.001,0.0001,0.001,1.0,1.0,1.0,1000.0,525.0,115.0
3,国调.荆门/2#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.0,1000.0,1,1,1,0.0,525.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.荆门.1000.nd41386,国调.荆门.500.nd41388,国调.荆门.110.nd41387,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,'','','','','','','','','','',41386,41388,41387,173,183,185,-1,-1,-1,0.0001,0.001,0.0001,0.001,0.0001,0.001,1.0,1.0,1.0,1000.0,525.0,115.0
4,国调.荆门/1#变压器,3,1000,500,110,3000,3000,1500,1,1,1,0.0,1000.0,1,1,1,0.0,525.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.荆门.1000.nd41389,国调.荆门.500.nd41391,国调.荆门.110.nd41390,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,'','','','','','','','','','',41389,41391,41390,174,184,186,-1,-1,-1,0.0001,0.001,0.0001,0.001,0.0001,0.001,1.0,1.0,1.0,1000.0,525.0,115.0
42,重庆.思源/1#变压器,3,500,220,35,750,750,375,1,1,1,0.0,525.0,17,1,9,-0.0125,230.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,重庆.思源.500.420,重庆.思源.220.nd26815,重庆.思源.35.nd26817,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,355.20,73.07,-356.86,-43.48,-0.84,0.00,0.00,'','','',2463,26815,26817,420,421,423,0,-1,-1,0.0001,0.001,0.0001,0.001,0.0001,0.001,1.0,1.0,1.013514,525.0,230.0,37.0
43,重庆.思源/2#变压器,3,500,220,35,750,750,375,1,1,1,0.0,525.0,17,1,9,-0.0125,230.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,重庆.思源.500.420,重庆.思源.220.nd26816,重庆.思源.35.nd26818,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,354.18,72.05,-354.71,-50.37,-0.84,-0.84,-0.84,'','','',2472,26816,26818,420,422,424,0,-1,-1,0.0001,0.001,0.0001,0.001,0.0001,0.001,1.0,1.0,1.013514,525.0,230.0,37.0
57,四川.大桥厂/2#变压器,3,220,110,10,90,63,27,5,1,3,-0.025,242.0,1,1,1,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.大桥厂.220.620,四川.大桥厂.110.nd20661,四川.大桥厂.10.625,-24.605,2.89,0.0,0.0,24.636999999999997,-1.874,3,0,0,1,0,'','',-0.00,-0.00,'','','','','','',18962,20661,17683,620,622,625,0,-1,0,0.004635,0.161,0.014236000000000002,0.102552,0.000915,-0.006106,1.052174,1.052174,1.0,230.0,115.0,10.5
103,四川.小沟头厂/1#变压器,3,220,35,10,90,30,30,5,1,3,-0.025,242.0,1,1,1,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.小沟头厂.220.3113,四川.小沟头厂.35.3114,四川.小沟头厂.10.3115,-34.355,-12.3,4.13,2.509,30.318,12.241,0,0,0,0,0,-32.58,-11.63,'','','','','','','','',944,8468,18513,3113,3114,3115,0,0,0,0.0033399999999999997,0.174726,0.004057,0.091947,0.00317,-0.008499,1.052174,0.945946,1.0,230.0,37.0,10.5
108,四川.小天都厂/3#变压器,3,220,35,13,125,125,62,5,1,3,-0.025,242.0,1,1,1,0.0,35.0,13.8,0.0,0.0,0.0,-0.0,-0.0,0.0,四川.小天都厂.220.19754,四川.小天都厂.35.3121,四川.小天都厂.13.3124,-6.851,-2.845,-0.889,0.616,7.7379999999999995,2.342,0,0,0,0,0,-7.45,'',-0.35,0.00,'','','',0.00,'','',18517,7983,18522,19754,3121,3124,0,0,0,0.005255,0.117127,0.005473,-0.0062380000000000005,-0.004367,0.063837,1.052174,0.945946,1.0,230.0,37.0,13.8
110,四川.薛城厂/2#变压器,3,220,110,10,85,85,42,5,1,3,-0.025,242.0,1,1,1,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.薛城厂.220.3359,四川.薛城厂.110.nd20699,四川.薛城厂.10.3362,-13.892000000000001,-2.895,0.0,0.0,13.864,2.917,0,0,0,1,0,-21.58,-0.03,'','','','','','','','',18571,20699,19479,3359,3360,3362,0,-1,0,0.000261,0.0162,0.000172,0.009036,0.000321,-0.0015300000000000001,1.052174,0.956522,1.0,230.0,115.0,10.5
