id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
5,国调.官地电厂/1#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.官地电厂.500.189,'',国调.官地电厂.20.194,-455.39099999999996,-110.689,0.0,0.0,456.05199999999996,162.725,0,0,0,0,0,-458.20,-111.90,'','','','','','','','',17398,-1,17404,189,-2,194,0,-1,0,0.000283,0.022226,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
6,国调.官地电厂/2#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.官地电厂.500.189,'',国调.官地电厂.20.195,-536.924,-90.21700000000001,0.0,0.0,537.818,160.446,0,0,0,0,0,-538.80,-91.10,'','','','','','','','',17400,-1,17405,189,-2,195,0,-1,0,0.000283,0.022226,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
7,国调.官地电厂/3#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.官地电厂.500.189,'',国调.官地电厂.20.196,-522.097,-101.685,0.0,0.0,522.95,168.715,0,0,0,0,0,-524.10,-101.60,'','','','','','','','',17399,-1,17406,189,-2,196,0,-1,0,0.000283,0.022226,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
8,国调.官地电厂/4#变压器,2,500,0,20,669,0,669,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.官地电厂.500.189,'',国调.官地电厂.20.197,-527.721,-105.15700000000001,0.0,0.0,528.594,173.75599999999997,0,0,0,0,0,-529.50,-106.50,'','','','','','','','',17401,-1,17407,189,-2,197,0,-1,0,0.000283,0.022226,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
9,国调.锦屏换流站/511#变压器,2,500,0,35,2400,0,2400,5,1,3,-0.025,535.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.锦屏换流站.500.240,'',国调.锦屏换流站.35.nd7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.28,0.74,'','','','','','','','',2237,-1,7,240,-2,261,0,-1,-1,0.00028199999999999997,0.022422,0.0,0.0,0.00028,0.02242,1.077279,0.0,1.0,525.0,0.0,37.0
10,国调.锦屏换流站/512#变压器,2,500,0,35,2400,0,2400,5,1,3,-0.025,535.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.锦屏换流站.500.240,'',国调.锦屏换流站.35.nd8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.01,0.63,'','','','','','','','',2261,-1,8,240,-2,262,0,-1,-1,0.00028199999999999997,0.022422,0.0,0.0,0.00028,0.02242,1.077279,0.0,1.0,525.0,0.0,37.0
11,国调.向家坝电厂/1#变压器,2,500,0,20,880,0,880,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.向家坝.500.277,'',国调.向家坝.20.278,-728.6460000000001,35.111,0.0,0.0,730.3,98.314,0,0,0,0,0,-728.20,33.00,'','','','','','','','',17472,-1,17482,277,-2,278,0,-1,0,0.000283,0.022821,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
12,国调.向家坝电厂/2#变压器,2,500,0,20,890,0,890,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.向家坝.500.277,'',国调.向家坝.20.279,-722.84,24.956999999999997,0.0,0.0,724.466,106.20200000000001,0,0,0,0,0,-723.80,22.00,'','','','','','','','',17469,-1,17474,277,-2,279,0,-1,0,0.000283,0.022821,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
13,国调.向家坝电厂/3#变压器,2,500,0,20,890,0,890,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.向家坝.500.277,'',国调.向家坝.20.280,-713.847,50.523999999999994,0.0,0.0,715.439,77.87899999999999,0,0,0,0,0,-712.80,48.40,'','','','','','','','',17470,-1,17475,277,-2,280,0,-1,0,0.000283,0.022821,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
14,国调.向家坝电厂/4#变压器,2,500,0,20,890,0,890,5,1,3,-0.025,550.0,17,1,1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,国调.向家坝.500.277,'',国调.向家坝.20.281,-717.033,8.946,0.0,0.0,718.6310000000001,119.98100000000001,0,0,0,0,0,-717.20,2.20,'','','','','','','','',17473,-1,17476,277,-2,281,0,-1,0,0.000283,0.022821,0.0,0.0,0.0,0.0,1.047619,0.0,1.0,525.0,0.0,20.0
