Bus_Name,Vm,Va,P,Q
BUS1,1,0,-6.21304,-1.80163
BUS10,1.00453,-18.7033,-8.12063e-06,-9.17417e-06
BUS11,1.03106,-22.4498,-5.66226e-07,-1.06052e-05
BUS12,1.01547,-29.683,-1.48544e-08,-4.36068e-07
BUS13,1.00103,-36.7894,-1.50037e-07,9.35355e-07
BUS14,0.990657,-28.6895,-2.67016e-07,-1.85093e-06
BUS15,0.990673,-28.5582,-1.09647e-06,-3.34458e-07
BUS16,0.990403,-39.8908,5.00002,2.29999
BUS17,0.966222,-39.6072,-3.99112e-08,1.11314e-06
BUS18,0.984896,-39.8592,4.3,2.2
BUS19,0.994908,-27.3833,0.864,0.661995
BUS2,1,-12.2155,-6,-3.85711
BUS20,1.00451,-36.4063,0.719,0.473997
BUS21,1.00069,-30.0303,0.7,0.499998
BUS22,1.04434,-28.6458,2.26499,1.68998
BUS23,0.99119,-19.0819,2.87,1.43996
BUS24,1.05343,-4.72056,1.86642e-05,-4.72444e-05
BUS25,1.03108,-22.4705,-2.06979e-05,-4.42484e-06
BUS26,1.01551,-29.6618,-3.05568e-05,-2.39174e-05
BUS27,1.01544,-29.7104,-2.88922e-05,-7.35567e-07
BUS28,1.00115,-36.7615,-7.79312e-08,2.35517e-06
BUS29,0.990364,-39.9058,5.2,0.0999997
BUS3,1,-26.6836,-3.1,-2.71088
BUS30,1.01991,-14.9204,2.70856e-07,-9.47788e-07
BUS31,1.0199,-14.9187,-4.41608e-08,-2.1333e-07
BUS33,1.01989,-14.9338,5.71196e-07,-1.63521e-06
BUS34,0.990335,-39.8904,-8.19449e-07,-3.1086e-06
BUS4,1,-21.6204,-1.6,-0.562474
BUS5,1,-31.0989,-4.3,-2.91235
BUS50,0.984896,-39.8592,0,0
BUS51,1.00453,-18.7033,0,0
BUS52,0.990673,-28.5582,0,0
BUS6,1,-39.6272,0.01,-1.00233
BUS7,1,-9.51112,-2.25,-0.225303
BUS8,1,-9.40926,-3.06,-0.306484
BUS9,1.00447,-19.1409,3.75999,2.20991
